count,pattern,example
34,Officium,Officium viri illustris praefecti praeterio Italiae
32,Sub dispositione,Sub dispositione viri illustris praefecti praetorio Italiae dioceses infrascriptae
17,Per,Per Pannoniam unus
12,Intra,Intra Italiam
10,In provincia,In provincia Venetia inferiore
6,Praesides,Praesides triginta unum
6,In,In Illyrico
5,Consulares,Consulares
4,Item,Item Vexillationes
2,Correctores,Correctores tres
2,Provinciae,Provinciae
2,Limitanei,Limitanei
2,Sub iurisdictione,Sub iurisdictione viri clarissimi correctoris Apuliae et Calabriae
1,Magistri scriniorum,Magistri scriniorum
1,Vicarii,Vicarii sex
1,Comites rei militaris,Comites rei militaris sex
1,Duces,Duces duodecim
1,Consulares viginti,Consulares viginti duo
1,Italiae et,Italiae decem et septem
1,Illyrici,Illyrici sex
1,Africae,Africae septem
1,Hispaniarum,Hispaniarum VII
1,provinciarum,Septem provinciarum XVII
1,Britanniarum,Britanniarum V
1,Comites limitum infrascriptorum...,Comites limitum infrascriptorum...
1,duces limitum infrascriptorum,duces limitum infrascriptorum decem
1,Legiones palatinae,Legiones palatinae XII
1,Auxilia palatina,Auxilia palatina sexaginta quinque
1,Legiones comitatenses,Legiones comitatenses XXXII
1,Pseudocomitatenses,Pseudocomitatenses XVIII
1,Vexillationes palatinae,Vexillationes palatinae decem
1,Vexillationes comitatenses.....,Vexillationes comitatenses.....
1,Fabricae infrascriptae,Fabricae infrascriptae
1,Italiae,Italiae
1,Rationales,Rationales
1,Praepositi thesauroum,Praepositi thesauroum
1,Procuratores monetarum,Procuratores monetarum
1,Procuratores gynaeciorum,Procuratores gynaeciorum
1,Procuratores linyfiorum,Procuratores linyfiorum
1,Procuratores bafiorum,Procuratores bafiorum
1,Praepositi branbaricariorum siue argentariorum,Praepositi branbaricariorum siue argentariorum
1,Praepositi bastagarum,Praepositi bastagarum
1,Orientalium,Orientalium
1,Gallicanarum,Gallicanarum
1,peditum,peditum
1,Sub cura,Sub cura viri spectabilis primicerii notariorum
1,Extenditur,Extenditur tamen tractus Armoricani et Neruicani limitis per provincias quinque
1,Hispaniae,Hispaniae
