document,chapter,title,lineStart,lineEnd
Occidentis,I,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis,5,128
Occidentis,II,Insignia viri illustris praefecti praetorio per Italias,129,182
Occidentis,III,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:,183,270
Occidentis,V,Insignia viri illustris magistri peditum,271,430
Occidentis,VI,Insignia viri illustris magistri equitum,431,486
Occidentis,VII,Qui numeri ex praedictis per infrascriptas provincias habeantur:,487,698
Occidentis,VIII,[Deest],699,700
Occidentis,IX,Insignia viri illustris magistri officiorum,701,747
Occidentis,X,Insignia viri illustris quaestoris,748,754
Occidentis,XI,Insignia viri illustris comitis sacrarum largitionum,755,853
Occidentis,XII,Insignia viri illustris comitis privatarum,854,890
Occidentis,XIII,Comes domesticorum equitum.ÝÝ |ÝÝÝ Comes domesticorum peditum,891,898
Occidentis,XIV,[Deest],899,902
Occidentis,XV,Castrensis sacri palatii,903,914
Occidentis,XVI,Primicerius notariorum,915,920
Occidentis,XVII,Magistri scriniorum. Memoriae.ÝÝ Epistolarum.ÝÝ Libellorum,921,926
Occidentis,XVIII,Proconsul Africae,927,942
Occidentis,XIX,Sub dispositione viri spectabilis vicarii urbis Romae provinciae infrascriptae:,943,969
Occidentis,XX,Vicarius Africae,970,991
Occidentis,XXI,Vicarius Hispaniae,992,1015
Occidentis,XXII,Vicarius Septem provinciarum,1016,1049
Occidentis,XXIII,Vicarius Britanniarum,1050,1071
Occidentis,XXIV,Comes Italiae,1072,1076
Occidentis,XXV,Comes Africae,1077,1107
Occidentis,XXVI,Comes Tingitaniae,1108,1130
Occidentis,XXVII,Comes Argentoratensis,1131,1135
Occidentis,XXVIII,Comes litoris Saxonici per Britanniam,1136,1157
Occidentis,XXIX,Comes Britanniae,1158,1171
Occidentis,XXX,Dux et praeses provinciae Mauritaniae,1172,1193
Occidentis,XXI,Dux provinciae Tripolitanae,1194,1221
Occidentis,XXXII,Dux Pannoniae,1222,1272
Occidentis,XXXIII,Dux provinciae Valeriae,1273,1327
Occidentis,XXXIV,Dux Pannoniae primae,1328,1373
Occidentis,XXXV,Dux Raetiae,1374,1407
Occidentis,XXXVI,Dux provinciae Sequanici,1408,1421
Occidentis,XXXVII,Dux tractus Armoricani,1422,1450
Occidentis,XXXVIII,Dux Belgicae secundae,1451,1466
Occidentis,XXXIX,[Dux Germaniae primae deest],1467,1468
Occidentis,XL,Dux Britanniarum,1469,1520
Occidentis,XLI,Dux Mogontiacensis,1521,1544
Occidentis,XLII,Item praepositurae magistri militum praesentalis a parte peditum,1545,1620
Occidentis,XLIII,Consularis Campaniae,1621,1635
Occidentis,XLIV,Corrector Apuliae et Calabriae,1636,1650
Occidentis,XLV,Praeses Dalmatiae,1651,1667
Oriens,I,"Notitia dignitatum omnium, tam civilium quam militarium, in partibus Orientis",1672,1801
Oriens,II,Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:,1802,1875
Oriens,III,Insignia viri illustris praefecti praetorio per Illyricum,1876,1908
Oriens,IV,[Deest],1909,1910
Oriens,V,Insignia viri illustris magistri militum praesentalis,1911,1963
Oriens,VI,Insignia viri illustris magistri militum praesentalis,1964,2017
Oriens,VII,Insignia viri illustris magistri militum per Orientem,2018,2066
Oriens,VIII,Insignia viri illustris magisteri militum per Thracias,2067,2109
Oriens,IX,Insignia viri illustris magistri militum per Illyricum,2110,2153
Oriens,X,[Deest?],2154,2158
Oriens,XI,Insignia viri illustris magistri officiorum,2159,2211
Oriens,XII,Insignia viri illustris quaestoris,2212,2218
Oriens,XIII,Insignia viri illustris comitis largitionum,2219,2253
Oriens,XIV,Insignia viri illustris comitis privatarum,2254,2269
Oriens,XV,Comes domesticorum equitum | Comes domesticorum peditum,2270,2277
Oriens,XVI,[Deest],2278,2279
Oriens,XVII,Sub dispositione viri spectabilis castrensis,2280,2291
Oriens,XVIII,Primicerius notariorum,2292,2298
Oriens,XIX,Magistri scriniorum. MemoriaeÝÝ EpistolarumÝÝ LibellorumÝÝ Graecarum,2299,2305
Oriens,XX,Proconsul Asiae,2306,2323
Oriens,XXI,Proconsul Achaiae,2324,2339
Oriens,XXII,Comes Orientis,2340,2369
Oriens,XXIII,Praefectus Augustalis,2370,2389
Oriens,XXIV,Vicarius dioceseos Asianae,2390,2411
Oriens,XXV,Vicarius dioceseos Ponticae,2412,2436
Oriens,XXVI,Vicarius dioceseos Thraciarum,2437,2456
Oriens,XXVII,[Deest],2457,2458
Oriens,XXVIII,Comes limitis Aegypti,2459,2503
Oriens,XXIX,Comes per Isauriam,2504,2519
Oriens,XXX,[Pars deest],2520,2528
Oriens,XXXI,Dux Thebaidos,2529,2584
Oriens,XXXII,Dux Foenicis,2585,2623
Oriens,XXXIII,Dux Syriae,2624,2655
Oriens,XXXIV,Dux Palaestinae,2656,2699
Oriens,XXXV,Dux Osrhoenae,2700,2731
Oriens,XXXVI,Dux Mesopotamiae,2732,2761
Oriens,XXXVII,Dux Arabiae,2762,2804
Oriens,XXXVIII,Dux Armeniae,2805,2844
Oriens,XXXIX,Dux Scythiae,2845,2881
Oriens,XL,Dux Moesiae secundae,2882,2925
Oriens,XLI,Dux Moesiae primae,2926,2964
Oriens,XLII,Dux Daciae ripensis,2965,3007
Oriens,XLIII,Consularis Palaestinae,3008,3022
Oriens,XLIV,Praeses Thebaidos,3023,3037
Oriens,XLV,Divina providentia,3038,3046
