geoId;parentGeoId;geoType;name;chapter;line
G000001;;area;Italiae decem et;Insignia viri illustris praefecti praetorio per Italias;134
G000002;G000001;province;Venetiae;Insignia viri illustris praefecti praetorio per Italias;135
G000003;G000001;province;Aemilae;Insignia viri illustris praefecti praetorio per Italias;136
G000004;G000001;province;Liguriae;Insignia viri illustris praefecti praetorio per Italias;137
G000005;G000001;province;Flaminiae et Piceni annonarii;Insignia viri illustris praefecti praetorio per Italias;138
G000006;G000001;province;Tusciae et Umbriae;Insignia viri illustris praefecti praetorio per Italias;139
G000007;G000001;province;Piceni suburbicarii;Insignia viri illustris praefecti praetorio per Italias;140
G000008;G000001;province;Campaniae;Insignia viri illustris praefecti praetorio per Italias;141
G000009;G000001;province;Siciliae;Insignia viri illustris praefecti praetorio per Italias;142
G000010;G000001;province;Apuliae et Campaniae;Insignia viri illustris praefecti praetorio per Italias;143
G000011;G000001;province;Lucaniae et Brittiorum;Insignia viri illustris praefecti praetorio per Italias;144
G000012;G000001;province;Alpium Cottiarum;Insignia viri illustris praefecti praetorio per Italias;145
G000013;G000001;province;Raetiae primae;Insignia viri illustris praefecti praetorio per Italias;146
G000014;G000001;province;Raetiae secundae;Insignia viri illustris praefecti praetorio per Italias;147
G000015;G000001;province;Samnii;Insignia viri illustris praefecti praetorio per Italias;148
G000016;G000001;province;Valeriae;Insignia viri illustris praefecti praetorio per Italias;149
G000017;G000001;province;Saradiniae;Insignia viri illustris praefecti praetorio per Italias;150
G000018;G000001;province;Corsicae;Insignia viri illustris praefecti praetorio per Italias;151
G000019;;area;Illyrici;Insignia viri illustris praefecti praetorio per Italias;152
G000020;G000019;province;Pannoniae secundae;Insignia viri illustris praefecti praetorio per Italias;153
G000021;G000019;province;Saviae;Insignia viri illustris praefecti praetorio per Italias;154
G000022;G000019;province;Dalmatiarum;Insignia viri illustris praefecti praetorio per Italias;155
G000023;G000019;province;Pannoniae primae;Insignia viri illustris praefecti praetorio per Italias;156
G000024;G000019;province;Norici mediterranei;Insignia viri illustris praefecti praetorio per Italias;157
G000025;G000019;province;Norici ripensis;Insignia viri illustris praefecti praetorio per Italias;158
G000026;;area;Africae;Insignia viri illustris praefecti praetorio per Italias;159
G000027;G000026;province;Byzacium;Insignia viri illustris praefecti praetorio per Italias;160
G000028;G000026;province;Numidia;Insignia viri illustris praefecti praetorio per Italias;161
G000029;G000026;province;Mauretaniae Sitifensis;Insignia viri illustris praefecti praetorio per Italias;162
G000030;G000026;province;Mauretaniae Caesariensis;Insignia viri illustris praefecti praetorio per Italias;163
G000031;G000026;province;Tripolis;Insignia viri illustris praefecti praetorio per Italias;164
G000032;G000026;province;Praefectus annonae Africae;Insignia viri illustris praefecti praetorio per Italias;165
G000033;G000026;province;Praefectus fundorum patrimonialium;Insignia viri illustris praefecti praetorio per Italias;166
G000034;;area;Hispaniarum;Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:;187
G000035;;area;Septem provinciarum;Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:;195
G000036;;area;Britanniarum;Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:;213
G000037;;area;Orientis;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;141
G000038;G000037;province;Palaestina;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;142
G000039;G000037;province;Foenice;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;143
G000040;G000037;province;Syria;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;144
G000041;G000037;province;Cilicia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;145
G000042;G000037;province;Cyprus;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;146
G000043;G000037;province;Arabia [et dux et comes rei militaris];Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;147
G000044;G000037;province;Isauria;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;148
G000045;G000037;province;Palaestina salutaris;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;149
G000046;G000037;province;Palaestina secunda;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;150
G000047;G000037;province;Foenice Libani;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;151
G000048;G000037;province;Eufratensis;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;152
G000049;G000037;province;Syria salutaris;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;153
G000050;G000037;province;Osrhoena;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;154
G000051;G000037;province;Mesopotamia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;155
G000052;G000037;province;Cilicia secunda;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;156
G000053;;area;Aegypti;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;157
G000054;G000053;province;Libya superior;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;158
G000055;G000053;province;Libya inferior;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;159
G000056;G000053;province;Thebais;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;160
G000057;G000053;province;Aegyptus;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;161
G000058;G000053;province;Arcadia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;162
G000059;;area;Asianae;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;163
G000060;G000059;province;Pamfylia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;164
G000061;G000059;province;Hellespontus;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;165
G000062;G000059;province;Lydia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;166
G000063;G000059;province;Pisidia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;167
G000064;G000059;province;Lycaonia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;168
G000065;G000059;province;Frygia Pacatiana;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;169
G000066;G000059;province;Frygia salutaris;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;170
G000067;G000059;province;Lycia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;171
G000068;G000059;province;Caria;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;172
G000069;G000059;province;Insulae;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;173
G000070;;area;Ponticae;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;174
G000071;G000070;province;Galatia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;175
G000072;G000070;province;Bithynia;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;176
G000073;G000070;province;Honorias;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;177
G000074;G000070;province;Cappadocia prima;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;178
G000075;G000070;province;Cappadocia secunda;Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:;179
