placeName,pleiadesId,pleiadesName,featureType,description,uri
Abina,915818,Abina,unknown,"An ancient place, cited: BAtlas 93 unlocated Abin(n)a",http://pleiades.stoa.org/places/915818
Afro,699887,Afro,unknown,"An ancient place, cited: BAtlas 71 unlocated Afro",http://pleiades.stoa.org/places/699887
Antiochiae,554187,Antiochia,unknown,"An ancient place, cited: BAtlas 56 unlocated Antiochia",http://pleiades.stoa.org/places/554187
Antiochiae,897709,Antiochia,unknown,"An ancient place, cited: BAtlas 91 unlocated Antiochia",http://pleiades.stoa.org/places/897709
Apadna,876567,Apadna,unknown,"An ancient place, cited: BAtlas 89 unlocated Apadna",http://pleiades.stoa.org/places/876567
Apuliae,442469,Apulia,unknown,Apulia is a region of the south-eastern Italian peninsula.,http://pleiades.stoa.org/places/442469
Arrabonae,197141,Arrabona,unknown,"An ancient place, cited: BAtlas 20 E2 Arrabona",http://pleiades.stoa.org/places/197141
Asabaia,699890,Asabaia,unknown,"An ancient place, cited: BAtlas 71 unlocated Asabaia",http://pleiades.stoa.org/places/699890
Asuada,699891,Asuada,unknown,"An ancient place, cited: BAtlas 71 unlocated Asuada",http://pleiades.stoa.org/places/699891
Auatha,699892,Auatha,unknown,"An ancient place, cited: BAtlas 71 unlocated Auatha",http://pleiades.stoa.org/places/699892
Augustae,123072,Augusta,unknown,"An ancient place, cited: BAtlas 12 unlocated *Augusta",http://pleiades.stoa.org/places/123072
Augustae,167659,Augusta,unknown,"An ancient place, cited: BAtlas 17 F2 Augusta",http://pleiades.stoa.org/places/167659
Augustae,206935,Augusta,unknown,"An ancient place, cited: BAtlas 21 F6 Augusta fl.",http://pleiades.stoa.org/places/206935
Augustae,393386,Augusta,unknown,"An ancient place, cited: BAtlas 40 C3 Augusta",http://pleiades.stoa.org/places/393386
Banasam,876582,Banasam,unknown,"An ancient place, cited: BAtlas 89 unlocated Banasam",http://pleiades.stoa.org/places/876582
Belgicae primae,981511,Belgica,unknown,The Roman province also called Gallia Belgica.,http://pleiades.stoa.org/places/981511
Belgicae secundae,981511,Belgica,unknown,The Roman province also called Gallia Belgica.,http://pleiades.stoa.org/places/981511
Bethallaha,876591,Bethallaha,unknown,"An ancient place, cited: BAtlas 89 unlocated Bethallaha",http://pleiades.stoa.org/places/876591
Caene - Parembole,465872,Caene,unknown,"An ancient place, cited: BAtlas 47 unlocated Caene Ins.",http://pleiades.stoa.org/places/465872
Caene - Parembole,690830,Parembole,unknown,"An ancient place, cited: BAtlas 70 unlocated Parembole",http://pleiades.stoa.org/places/690830
Caini,876602,Caini,unknown,"An ancient place, cited: BAtlas 89 unlocated Caini",http://pleiades.stoa.org/places/876602
