placeName,pleiadesId,latitude,longitude,nearestProvince,geojsonId,distanceKm,segmentStartLat,segmentStartLon,segmentEndLat,segmentEndLon
Regulbio,79654,51.379537,1.199796,BRITANNIAE I AND II,96,0.06,51.378609082125,1.19194424044219,51.3877720819418,1.38555524195159
Aliscae,197103,46.312562,18.757918,VALERIA,85,0.31,46.3201426297204,18.7559495252934,46.2951060367258,18.7488875786891
Motha,678289,32.41855,36.818713,ARABIA,16,0.44,33.1428273557821,37.1560980608611,30.8013870628228,36.0491986893142
Aleto,69556,48.635814,-2.027308,LUGDUNENSIS II,91,1.17,48.5970800798226,-1.99111076344765,48.6431080798531,-2.01419476232052
Ysiporto,857291,40.942435,40.039388,"PONTUS
POLEMONIACUS",73,1.3,40.9566570722804,39.9124912765813,40.9216540727602,40.0813822782021
Chiaca,629008,38.684258,38.39808,CAPPADOCIA,51,3.2,38.7239743636628,38.4662747034299,38.7111170640039,38.3821003289944
Apatna,894133,35.379381,40.564031,OSRHOENE,37,3.51,35.4109903418038,40.5398812592546,35.3470265881254,40.5014919289626
Miseno,432941,40.786279,14.084884,CAMPANIA,35,3.69,40.8069380723175,14.166942252985,40.8219380721816,14.0738892527765
Oraba,874688,36.244537,40.707477,OSRHOENE,37,3.74,36.4485373197303,40.6894556211327,35.4831356061752,40.5767127707068
Drobeta,207100,44.635584,22.660366,DACIA RIPENSIS,71,4.16,44.6658200200434,22.6104092379848,44.649131162042,22.6114199387992
Cirpi,197208,47.794589,19.034743,VALERIA,85,5.12,47.7912304002429,18.9663206717397,47.752140441173,18.9726644637834
Dascusa,628963,38.941935,38.715521,CAPPADOCIA,51,6.75,38.9532830686997,38.6377422170161,38.9156276447107,38.6368790608939
Amidae,874298,37.911777,40.224033,MESOPOTAMIA,45,8.65,37.8355193881289,40.1743754748672,37.8340344512325,40.2216277373643
Lussonio,197362,46.656784,18.881709,VALERIA,85,9.85,46.6721651829776,18.7520299861642,46.6353999922383,18.7534784045755
Campona,197187,47.393234,18.984598,VALERIA,85,12.64,47.4600337121628,18.845583929196,47.4132521030686,18.8127373479375
Guntiae,118716,48.454426,10.281491,RAETIA,90,18.54,48.3231918397675,10.517700972728,48.5964944860283,10.5509059359708
Metita,874603,38.161074,39.14419,CAPPADOCIA,51,19.79,38.0049679920405,39.0329354503529,37.9985746473389,39.0518319004266
Apollonos superioris,785976,24.498288,34.748068,THEBAIS,1,123.99,26.8188860600366,33.9477772712588,24.0080643080493,33.4106472145733
Ziganne,857385,42.631325,41.504797,"PONTUS
POLEMONIACUS",73,204.88,40.9835930717906,40.3452682768773,40.9925705091685,40.3599888778101
Pithiae,857283,43.162916,40.334472,"PONTUS
POLEMONIACUS",73,239.71,41.1067310727834,39.4142262764026,41.0975650727585,39.4873542770967
