placeName,component,candidate,rule,pleiadesId,pleiadesName
Adada,Adada,Adada,original,638733,Adada
Adada,Adada,Adada,original,668178,Adada
Adada,Adada,Adada,original,894070,Adada
Admatha,Admatha,Admatha,original,678131,Admatha
Admatha,Admatha,Admatha,original,697629,Admatha
Alta Ripa,Alta Ripa,Alta Ripa,original,108735,Alta Ripa
Alta Ripa,Alta Ripa,Alta Ripa,original,197109,Alta Ripa
Altino,Altino,Altinum,ending,197110,Altinum
Altino,Altino,Altinum,ending,216700,Altinum
Altino,Altino,Altinum,ending,393374,Altinum
Antiochiae,Antiochiae,Antiochia,word_rule,554187,Antiochia
Antiochiae,Antiochiae,Antiochia,word_rule,609307,Antiochia
Antiochiae,Antiochiae,Antiochia,word_rule,658381,Antiochia
Antiochiae,Antiochiae,Antiochia,word_rule,874623,Antiochia
Antiochiae,Antiochiae,Antiochia,word_rule,897709,Antiochia
Antiochiae,Antiochiae,Antiochia,word_rule,912872,Antiochia
Antiochiae,Antiochiae,Antiochia,word_rule,961873,Antiochia
Apadna,Apadna,Apadna,original,876567,Apadna
Apadna,Apadna,Apadna,original,894133,Apadna
Aquileiae,Aquileiae,Aquileia,word_rule,118569,Aquileia
Aquileiae,Aquileiae,Aquileia,word_rule,187290,Aquileia
Augustae,Augustae,Augusta,ending,123072,Augusta
Augustae,Augustae,Augusta,ending,167658,Augusta
Augustae,Augustae,Augusta,ending,167659,Augusta
Augustae,Augustae,Augusta,ending,206935,Augusta
Augustae,Augustae,Augustae,original,216719,Augustae
Augustae,Augustae,Augusta,ending,393386,Augusta
Augustae,Augustae,Augustae,original,471887,Augustae
Augustae,Augustae,Augusta,ending,648577,Augusta
Augustae,Augustae,Augusta,ending,79574,Augusta
Baiocas et Constantiae Lugdunensis secundae,Constantiae,Constantia,ending,187352,Constantia
Baiocas et Constantiae Lugdunensis secundae,Constantiae,Constantia,ending,668190,Constantia
Baiocas et Constantiae Lugdunensis secundae,Constantiae,Constantia,ending,682538,Constantia
Baiocas et Constantiae Lugdunensis secundae,Constantiae,Constantia,ending,687903,Constantia
Baiocas et Constantiae Lugdunensis secundae,Constantiae,Constantia,ending,69494,Constantia
Baiocas et Constantiae Lugdunensis secundae,Constantiae,Constantia,ending,874324,Constantia
Banasam,Banasam,Banasa,ending,275599,Banasa
Banasam,Banasam,Banasam,original,876582,Banasam
Bononia,Bononia,Bononia,original,109008,Bononia
Bononia,Bononia,Bononia,original,206975,Bononia
Bononia,Bononia,Bononia,original,393421,Bononia
Bononiae,Bononiae,Bononia,ending,109008,Bononia
Bononiae,Bononiae,Bononia,ending,206975,Bononia
Bononiae,Bononiae,Bononia,ending,393421,Bononia
Bononiae in Aemilia,Bononiae in Aemilia,Bononia,ending,109008,Bononia
Bononiae in Aemilia,Bononiae in Aemilia,Bononia,ending,206975,Bononia
Bononiae in Aemilia,Bononiae in Aemilia,Bononia,ending,393421,Bononia
Caene - Parembole,Caene - Parembole,Caene,alias,465872,Caene
Caene - Parembole,Caene - Parembole,Parembole,alias,481782,Parembole
Caene - Parembole,Caene - Parembole,Parembole,alias,690830,Parembole
Caene - Parembole,Caene - Parembole,Parembole,alias,736993,Parembole
Caene - Parembole,Caene - Parembole,Parembole,alias,795840,Parembole
Caesarea Cappadociae,Caesarea Cappadociae,Caesarea,first_word,266038,Caesarea
Caesarea Cappadociae,Caesarea Cappadociae,Caesarea,first_word,629035,Caesarea
