occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText,candidateRank,pleiadesId,pleiadesName,candidate,rule,tier,latitude,longitude,featureType,gisProvince,geojsonId,nearestProvince,nearestGeojsonId,nearestKm,nameSimilarity,contextStatus,contextScore,similarity
OCC000001,Occidentis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis,41,Mauretaniae Caesariensis,limes,,Limitis Mauretaniae Caesariensis,,,,,,,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis / Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis / Duces duodecim,1,1119,Mauretania,Mauretania,first_word_case,1,32.5,-2.5,unknown,,,MAURETANIA CAESARIENSIS,12,137.26,1.0,NO_POLYGON,0.000,1.000
OCC000001,Occidentis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis,41,Mauretaniae Caesariensis,limes,,Limitis Mauretaniae Caesariensis,,,,,,,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis / Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis / Duces duodecim,2,305106,Mauretania,Mauretania,first_word_case,1,36.607058,2.1918495,unknown,,,MAURETANIA CAESARIENSIS,12,0.36,1.0,NO_POLYGON,0.000,1.000
OCC000007,Occidentis,Insignia viri illustris magistri officiorum,722,Concordensis,factory,,Concordensis sagittaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae,1,108897,Concordia,Concordia,toponymic_ensis,1,49.030361,7.968095,unknown,GERMANIA I,93,,,,1.0,REGION_MISMATCH,0.000,1.000
OCC000007,Occidentis,Insignia viri illustris magistri officiorum,722,Concordensis,factory,,Concordensis sagittaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae,2,240912,Concordia,Concordia,toponymic_ensis,1,,,unknown,,,,,,1.0,REGION_UNVERIFIED,0.000,1.000
OCC000007,Occidentis,Insignia viri illustris magistri officiorum,722,Concordensis,factory,,Concordensis sagittaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae,3,260540,Concordia,Concordia,toponymic_ensis,1,,,unknown,,,,,,1.0,REGION_UNVERIFIED,0.000,1.000
OCC000028,Occidentis,Insignia viri illustris comitis sacrarum largitionum,782,Augustae Vindelicensis,unit,Praepositus,thesaurorum Augustae Vindelicensis,Raetiae secundae,,Raetiae secundae,,Raetiae secundae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,1,471887,Augustae,Augustae,first_word,1,40.071704,9.088906,unknown,SARDINIA,34,,,,1.0,HARD_MISMATCH,0.375,1.000
OCC000028,Occidentis,Insignia viri illustris comitis sacrarum largitionum,782,Augustae Vindelicensis,unit,Praepositus,thesaurorum Augustae Vindelicensis,Raetiae secundae,,Raetiae secundae,,Raetiae secundae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,2,79574,Augusta,Augusta,first_word_case,1,51.513335,-0.088949,unknown,BRITANNIAE I AND II,96,,,,1.0,HARD_MISMATCH,0.365,1.000
OCC000028,Occidentis,Insignia viri illustris comitis sacrarum largitionum,782,Augustae Vindelicensis,unit,Praepositus,thesaurorum Augustae Vindelicensis,Raetiae secundae,,Raetiae secundae,,Raetiae secundae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,3,216719,Augustae,Augustae,first_word,1,43.728324,23.814316,unknown,DACIA RIPENSIS,71,,,,1.0,HARD_MISMATCH,0.357,1.000
OCC000028,Occidentis,Insignia viri illustris comitis sacrarum largitionum,782,Augustae Vindelicensis,unit,Praepositus,thesaurorum Augustae Vindelicensis,Raetiae secundae,,Raetiae secundae,,Raetiae secundae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,4,206935,Augusta,Augusta,first_word_case,1,43.5,23.5,unknown,DACIA RIPENSIS,71,,,,1.0,HARD_MISMATCH,0.357,1.000
OCC000028,Occidentis,Insignia viri illustris comitis sacrarum largitionum,782,Augustae Vindelicensis,unit,Praepositus,thesaurorum Augustae Vindelicensis,Raetiae secundae,,Raetiae secundae,,Raetiae secundae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,5,393386,Augusta,Augusta,first_word_case,1,44.75,12.25,unknown,AEMILIA ET LIGURIA,77,,,,1.0,HARD_MISMATCH,0.310,1.000
