occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText,candidateRank,pleiadesId,pleiadesName,candidate,rule,tier,latitude,longitude,featureType,gisProvince,geojsonId,nearestProvince,nearestGeojsonId,nearestKm,nameSimilarity,contextStatus,contextScore,reason
OCC000327,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1549,Ravennae,tail,Praefectus,militum iuniorum Italicorum,Flaminia,,Flaminia,,Flaminia,ITALIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / In Italia / In provincia Flaminia,1,393480,Ravenna,Ravenna,original_case,0,44.415718,12.196604,unknown,AEMILIA ET LIGURIA,77,,,,1.0,HARD_MISMATCH,0.5,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000328,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1550,Ravennae,tail,Praefectus,classis Ravennatium cum curis eiusdem civitatis,Flaminia,,Flaminia,,Flaminia,ITALIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / In Italia / In provincia Flaminia,1,393480,Ravenna,Ravenna,original_case,0,44.415718,12.196604,unknown,AEMILIA ET LIGURIA,77,,,,1.0,HARD_MISMATCH,0.5,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000343,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1573,Brigantiae,tail,Tribunus,cohortis Celtiberae,Callaecia,,Callaecia,,Callaecia,HISPANIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / Hispaniae / In provincia Callaecia,1,167690,Brigantio,Brigantiae,original,0,45.532064,6.473626,settlement,ALPES GRAIAE ET POENINAE,75,,,,0.8888888888888888,HARD_MISMATCH,0.375,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000343,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1573,Brigantiae,tail,Tribunus,cohortis Celtiberae,Callaecia,,Callaecia,,Callaecia,HISPANIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / Hispaniae / In provincia Callaecia,2,187325,Brigantii,Brigantiae,original,0,47.503041,9.747061,unknown,,,RAETIA,90,0.16,0.8888888888888888,HARD_NEAR_MISMATCH,0.375,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000343,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1573,Brigantiae,tail,Tribunus,cohortis Celtiberae,Callaecia,,Callaecia,,Callaecia,HISPANIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / Hispaniae / In provincia Callaecia,3,167691,Brigantio,Brigantiae,original,0,44.896881,6.633951,unknown,ALPES GRAIAE ET POENINAE,75,,,,0.8888888888888888,HARD_MISMATCH,0.375,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000344,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1573,Iuliobriga,alternate,Tribunus,cohortis Celtiberae,Callaecia,,Callaecia,,Callaecia,HISPANIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / Hispaniae / In provincia Callaecia,1,236493,Iuliobriga,Iuliobriga,original,0,42.985111,-4.113918,unknown,TARRACONENSIS,61,,,,1.0,HARD_MISMATCH,0.23076923076923073,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000488,Oriens,Dux Syriae,967,Barbalisso,tail,,Equites Dalmatae Illyriciani,Augusta Eufratensi,,Augusta Eufratensi,Syriae,Augusta Eufratensi,In Augusta Eufratensi,Dux Syriae / Dux Syriae / In Augusta Eufratensi,1,668208,Barbalissus,Barbalissus,original_case,0,36.01724,38.142301,unknown,OSRHOENE,37,,,,1.0,HARD_MISMATCH,0.15000000000000002,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000489,Oriens,Dux Syriae,968,Neocaesereae,tail,,Equites Mauri Illyriciani,Augusta Eufratensi,,Augusta Eufratensi,Syriae,Augusta Eufratensi,In Augusta Eufratensi,Dux Syriae / Dux Syriae / In Augusta Eufratensi,1,857177,Neocaesarea,Neocaeserea,original_case,0,40.609983,36.951027,unknown,DIOSPONTUS,68,,,,0.9,HARD_MISMATCH,0.18636363636363634,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000489,Oriens,Dux Syriae,968,Neocaesereae,tail,,Equites Mauri Illyriciani,Augusta Eufratensi,,Augusta Eufratensi,Syriae,Augusta Eufratensi,In Augusta Eufratensi,Dux Syriae / Dux Syriae / In Augusta Eufratensi,2,668201,Neocaesarea,Neocaeserea,original_case,0,35.976326,38.198554,unknown,OSRHOENE,37,,,,0.9,HARD_MISMATCH,0.15000000000000002,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
OCC000491,Oriens,Dux Syriae,970,Sura,tail,Praefectus,legionis sextaedecimae Flaviae firmae,Augusta Eufratensi,,Augusta Eufratensi,Syriae,Augusta Eufratensi,In Augusta Eufratensi,Dux Syriae / Dux Syriae / In Augusta Eufratensi,1,109359,Sura,Sura,original,0,49.5,5.5,unknown,BELGICA I,92,,,,1.0,HARD_MISMATCH,0.07142857142857145,Namnmatchning finns men provinsonpolygonen motsager uttrycklig Notitia-kontext
