placeName,component
Aballaba,Aballaba
Abrincatis,Abrincatis
Abydum - Abocedo,Abydum - Abocedo
Acauatha,Acauatha
Accisso,Accisso
Aciminci,Aciminci
Acimirci,Acimirci
Acinco,Acinco
Adiuuense,Adiuuense
Adnamantia,Adnamantia
Adtitha,Adtitha
Aegeta,Aegeta
Aegetae,Aegetae
Aegissos,Aegissos
Aeliana,Aeliana
Aequinoctoiae,Aequinoctoiae
Affrodito,Affrodito
Aiy,Aiy
Aladaleariza,Aladaleariza
Alesacae,Alesacae
Almo,Almo
Amboglanna,Amboglanna
Ammuda,Ammuda
Andro,Andro
Ansamo,Ansamo
Antonaco,Antonaco
Aquis siue Tertona,Aquis siue Tertona
Arauraca,Arauraca
Arbore,Arbore
Arefa,Arefa
Areopoli,Areopoli
Arrianis,Arrianis
Arrunto siue Vindomanae,Arrunto siue Vindomanae
Arsaciana siue Novas,Arsaciana siue Novas
Arumbernos Aquitanicae primae,Arumbernos
Assara,Assara
Atrabatis Belgicae secundae,Atrabatis
Au,Au
Augustanis,Augustanis
Augustianis,Augustianis
Aulucos,Aulucos
Aureomonto,Aureomonto
Austuris,Austuris
Axiupoli,Axiupoli
Babilona,Babilona
balistaria et clibanaria,balistaria
balistaria et clibanaria,clibanaria
Barbalisso,Barbalisso
Barboniaco,Barboniaco
Batavis,Batavis
Benetis,Benetis
Benosabae,Benosabae
Betthoro,Betthoro
Bireo,Bireo
Blabia,Blabia
Boiodoro,Boiodoro
Bonoriae,Bonoriae
Borcovicio,Borcovicio
Bregtione,Bregtione
Bremetenraco,Bremetenraco
Burgenas,Burgenas
Burgentas,Burgentas
Burgo Novo,Burgo Novo
Burgo Severi,Burgo Severi
Burgo Zono,Burgo Zono
Busiris,Busiris
Caballoduno,Caballoduno
Caelio,Caelio
Calaronae,Calaronae
Cambidano,Cambidano
Capidaua,Capidaua
Caput Basensis,Caput Basensis
Carnunta Senoniae Lugdunensis,Carnunta Senoniae Lugdunensis
Carso,Carso
Castrabarensis,Castrabarensis
Cebro,Cebro
Cefae,Cefae
Cefro,Cefro
Chenoboscia,Chenoboscia
Chermulae,Chermulae
Cirpe,Cirpe
Claudiana,Claudiana
Comagenis,Comagenis
Confluentibus,Confluentibus
Confluentibus siue Brecantia,Confluentibus siue Brecantia
Congavata,Congavata
Cornacii,Cornacii
Crispitia,Crispitia
Cuccis,Cuccis
Cuppis,Cuppis
Danaba,Danaba
Deruentione,Deruentione
Dicti,Dicti
Dionisiada,Dionisiada
Diospoli,Diospoli
Dirigothia,Dirigothia
Dubris,Dubris
Duga,Duga
Ebruduni Sapaudiae,Ebruduni Sapaudiae
Edesa,Edesa
Epuso Belgicae primae,Epuso
et Ceromannos Lugdunensis tertiae,et Ceromannos Lugdunensis tertiae
Euhari,Euhari
Fafianae,Fafianae
Fanomantis Belgicae secundae,Fanomantis
Filas,Filas
Flexo,Flexo
Foenicionis,Foenicionis
Foetibus,Foetibus
Gabrosenti,Gabrosenti
Gariannonor,Gariannonor
Gerolate,Gerolate
Gomoha,Gomoha
Grannono,Grannono
Hauanae,Hauanae
Hermunthi,Hermunthi
Hermupoli,Hermupoli
Hibeos - Oaseos maioris,Hibeos - Oaseos maioris
Hipponos,Hipponos
Iehibo,Iehibo
Inplateypegiis,Inplateypegiis
Iprosmis,Iprosmis
Lacufelicis,Lacufelicis
Laedemata,Laedemata
Laedenatae,Laedenatae
Lataui,Lataui
Latius,Latius
Lavatres,Lavatres
Legione,Legione
Lemannis,Lemannis
Leonatae,Leonatae
Lico,Lico
Lingonas,Lingonas
Longovicio,Longovicio
Luco,Luco
Luguvallii,Luguvallii
Maiocariri,Maiocariri
Mannatias,Mannatias
Marinanae,Marinanae
Marmantharum,Marmantharum
Matrice,Matrice
Matthana,Matthana
Mefa,Mefa
Moleaatha,Moleaatha
Monte Iovis,Monte Iovis
Muson,Muson
Mutheos,Mutheos
Naarsafari,Naarsafari
Naithu,Naithu
Narmunthi,Narmunthi
Neia,Neia
Nemetis,Nemetis
Neocaesereae,Neocaesereae
Nitnu,Nitnu
Nouas,Nouas
Nouioduno,Nouioduno
Nouioduro,Nouioduro
Novas,Novas
Noviomago Belgicae secundae,Noviomago
Novis,Novis
Oasi maiore,Oasi maiore
Oasi minore,Oasi minore
Oasi minore - Trimtheos,Oasi minore - Trimtheos
Occariba,Occariba
Odiabo,Odiabo
Oesco,Oesco
Olitione,Olitione
operum alter,operum alter
Opittergii,Opittergii
or the legiones,or the legiones
Paetaonio,Paetaonio
Pampane,Pampane
Parisius,Parisius
Patauio,Patauio
Peamu,Peamu
Pescla,Pescla
Petrianis,Petrianis
