occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000003,Occidentis,Insignia viri illustris magistri officiorum,717,Acincensis,factory,,Acincensis scutaria,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000004,Occidentis,Insignia viri illustris magistri officiorum,718,Cornutensis,factory,,Cornutensis scutaria,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000006,Occidentis,Insignia viri illustris magistri officiorum,720,Salonitana,factory,,Salonitana armorum,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000009,Occidentis,Insignia viri illustris magistri officiorum,724,Manutuana,factory,,Manutuana loricaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000011,Occidentis,Insignia viri illustris magistri officiorum,726,Ticenensis,factory,,Ticenensis arcuaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000044,Occidentis,Insignia viri illustris comitis sacrarum largitionum,800,Aspalato,transfer,Procurator,gynaecii Iovensis Dalmatiae - Aspalato,dalmatiae,,dalmatiae,,dalmatiae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000049,Occidentis,Insignia viri illustris comitis sacrarum largitionum,804,Venusini,unit,Procurator,gynaecii Canusini et Venusini,Apuliae,,Apuliae,,Apuliae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000051,Occidentis,Insignia viri illustris comitis sacrarum largitionum,806,Arelatiensis,unit,Procurator,gynaecii Arelatiensis,Viennensis,,Viennensis,,Viennensis,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000065,Occidentis,Insignia viri illustris comitis sacrarum largitionum,822,insularum Balearum,unit,Procurator,bafii insularum Balearum,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000073,Occidentis,Comes Africae,1079,Thamallensis,limes,Praepositus,limitis Thamallensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000080,Occidentis,Comes Africae,1085,Tubusubditani,limes,Praepositus,limitis Tubusubditani,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000081,Occidentis,Comes Africae,1086,Thamallomensis,limes,Praepositus,limitis Thamallomensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000082,Occidentis,Comes Africae,1087,Balaretensis,limes,Praepositus,limitis Balaretensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000086,Occidentis,Comes Africae,1091,Secundaeforum,limes,Praepositus,limitis Secundaeforum in castris Tillibanensibus,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000087,Occidentis,Comes Africae,1091,Tillibanensibus,castris,Praepositus,limitis Secundaeforum in castris Tillibanensibus,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000088,Occidentis,Comes Africae,1092,Taugensis,limes,Praepositus,limitis Taugensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000092,Occidentis,Comes Tingitaniae,1111,Duga,tail,Tribunus,cohortis secundae Hispanorum,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000093,Occidentis,Comes Tingitaniae,1112,Aulucos,tail,Tribunus,cohortis primae Herculeae,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000101,Occidentis,Comes litoris Saxonici per Britanniam,1139,Lemannis,tail,Praepositus,numeri Turnacensium,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000103,Occidentis,Comes litoris Saxonici per Britanniam,1141,Gariannonor,tail,Praepositus,equitum stablesianorum Gariannonensium,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000105,Occidentis,Comes litoris Saxonici per Britanniam,1143,Rutupis,tail,Praefectus,legionis secundae Augustae,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000110,Occidentis,Dux et praeses provinciae Mauritaniae,1175,inferioris,limes,Praepositus,limitis inferioris,et praesidis provinciae Mauritaniae et Caesariensis,,,et praesidis provinciae Mauritaniae et Caesariensis,et praesidis provinciae Mauritaniae et Caesariensis,,Dux et praeses provinciae Mauritaniae / Dux et praeses provinciae Mauritaniae / Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis
OCC000111,Occidentis,Dux et praeses provinciae Mauritaniae,1176,Fortensis,limes,Praepositus,limitis Fortensis,et praesidis provinciae Mauritaniae et Caesariensis,,,et praesidis provinciae Mauritaniae et Caesariensis,et praesidis provinciae Mauritaniae et Caesariensis,,Dux et praeses provinciae Mauritaniae / Dux et praeses provinciae Mauritaniae / Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis
OCC000117,Occidentis,Dux provinciae Tripolitanae,1196,Tenthettani,limes,Praepositus,limitis Tenthettani,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000118,Occidentis,Dux provinciae Tripolitanae,1197,Bizerentane,limes,Praepositus,limitis Bizerentane,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000122,Occidentis,Dux provinciae Tripolitanae,1201,Tintiberitani,limes,Praepositus,limitis Tintiberitani,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000123,Occidentis,Dux provinciae Tripolitanae,1202,Bubensis,limes,Praepositus,limitis Bubensis,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000124,Occidentis,Dux provinciae Tripolitanae,1203,Mamucensis,limes,Praepositus,limitis Mamucensis,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000128,Occidentis,Dux provinciae Tripolitanae,1207,Madensibus,castris,,Milites Munifices in castris Madensibus,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000129,Occidentis,Dux provinciae Tripolitanae,1208,Sarcitani,limes,Praepositus,limitis Sarcitani,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000131,Occidentis,Dux Pannoniae,1224,Teutiborgio,tail,,Cuneus equitum Dalmatarum,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
