chapter,placeName,rank,method,score,searchForm,pleiadesId,pleiadesTitle,matchedName
Dux Britanniarum,Aballaba,1,NEAR,0.875,aballaba,89092,Aballava,Aballava
Dux Britanniarum,Aballaba,2,NEAR,0.800,aballaba,857176,Kaballa,Kaballa
Dux Britanniarum,Aballaba,3,NEAR,0.800,aballaba,795783,Ballana,Ballana
Dux Britanniarum,Aballaba,4,NEAR,0.769,aballaba,355611,Balla,Balla
Dux Britanniarum,Aballaba,5,NEAR,0.769,aballaba,494544,Balla,Balla
Dux Daciae ripensis,Aegeta,1,NEAR,0.923,aegeta,462487,Segesta/Egesta,Aegesta
Dux Daciae ripensis,Aegeta,2,NEAR,0.909,aegeta,207107,Egeta,Egeta
Dux Daciae ripensis,Aegeta,3,NEAR,0.909,aegeta,874461,Elegeia/Aegea,Aegea
Dux Daciae ripensis,Aegeta,4,NEAR,0.833,aegeta,857117,Ergeta,Ergeta
Dux Daciae ripensis,Aegeta,5,NEAR,0.833,aegeta,658368,Aigai(ai)/Aegeae,Aegeae
Dux Daciae ripensis,Aegetae,1,NEAR,0.923,aegetae,658368,Aigai(ai)/Aegeae,Aegeae
Dux Daciae ripensis,Aegetae,2,NEAR,0.857,aegetae,462487,Segesta/Egesta,Aegesta
Dux Daciae ripensis,Aegetae,3,NEAR,0.833,aegetae,216817,Getae,Getae
Dux Daciae ripensis,Aegetae,4,NEAR,0.833,aegetae,207107,Egeta,Egeta
Dux Daciae ripensis,Aegetae,5,NEAR,0.833,aegetae,874461,Elegeia/Aegea,Aegea
Dux Daciae ripensis,Almo,1,NEAR,0.857,almo,376750,Alo,Alo
Dux Daciae ripensis,Almo,2,NEAR,0.800,almo,40058,Atalmo,Atalmo
Dux Daciae ripensis,Almo,3,NEAR,0.800,almo,543622,Alimon,Alimon
Dux Daciae ripensis,Almo,4,NEAR,0.800,almo,865991,Alamos,Alamos
Dux Daciae ripensis,Almo,5,NEAR,0.750,almo,207525,‘Ulmo’,Ulmo
Dux Britanniarum,Amboglanna,1,NEAR,0.952,amboglanna,89133,*Camboglanna,Camboglanna
Dux Britanniarum,Amboglanna,2,NEAR,0.750,amboglanna,865988,Ablana,Ablana
Dux Britanniarum,Amboglanna,3,NEAR,0.706,amboglanna,897841,Sambana,Sambana
Dux Britanniarum,Amboglanna,4,NEAR,0.706,amboglanna,903053,Kambadene/Kampa(n)da,Sambana
Dux Britanniarum,Amboglanna,5,NEAR,0.706,amboglanna,573380,Morgana/Margana,Morgana
Dux Britanniarum,Barboniaco,1,NEAR,0.762,barboniaco,89123,Brav(o)niacum,Braboniacum
Dux Britanniarum,Barboniaco,2,NEAR,0.750,barboniaco,167665,Barjac,Barjac
Dux Britanniarum,Barboniaco,3,NEAR,0.737,barboniaco,915836,Barbitace,Barbitace
Dux Britanniarum,Barboniaco,4,NEAR,0.737,barboniaco,912816,Babylonia,Babylonia
Dux Britanniarum,Barboniaco,5,NEAR,0.706,barboniaco,138509,Parnaco,Parnaco
Dux Britanniarum,Borcovicio,1,NEAR,0.750,borcovicio,197175,Borovo,Borovo
Dux Britanniarum,Borcovicio,2,NEAR,0.737,borcovicio,416839,Orouinion,Orouinion
Dux Britanniarum,Borcovicio,3,NEAR,0.667,borcovicio,89311,*Vercovicium,Vercouicium
Dux Britanniarum,Borcovicio,4,NEAR,0.667,borcovicio,118805,Libochovice,Libochovice
Dux Britanniarum,Borcovicio,5,NEAR,0.667,borcovicio,138311,Cornucio,Cornucio
Dux Britanniarum,Bremetenraco,1,NEAR,0.632,bremetenraco,422912,Cremera (river),Cremera
Dux Britanniarum,Bremetenraco,2,NEAR,0.632,bremetenraco,383601,Bretina,Bretina
Dux Britanniarum,Bremetenraco,3,NEAR,0.609,bremetenraco,79607,‘Nemetotacio’,Nemetotacio
Dux Britanniarum,Bremetenraco,4,NEAR,0.609,bremetenraco,109194,Nemetacum,Nemetocenna
Dux Britanniarum,Bremetenraco,5,NEAR,0.600,bremetenraco,324829,Themetra?,Themetra
Dux Daciae ripensis,Burgo Novo,1,NEAR,0.667,bvrgo novo,756541,Bergoout,Bergoout
Dux Daciae ripensis,Burgo Novo,2,NEAR,0.545,bvrgo novo,266087,Urgao/Vircao,Urgao/Vircao
Dux Daciae ripensis,Burgo Novo,3,NEAR,0.636,bvrgo novo,857215,Longini Fossatum/Bourgousnoes,Bourgousnoes
Dux Daciae ripensis,Burgo Novo,4,NEAR,0.632,bvrgo novo,157945,Vergoanum,Vergoanum
Dux Daciae ripensis,Burgo Novo,5,NEAR,0.625,bvrgo novo,226552,Buzovo,Buzovo
Dux Daciae ripensis,Burgo Zono,1,NEAR,0.545,bvrgo zono,129866,Ebourodounon,Ebourodounon
Dux Daciae ripensis,Burgo Zono,2,NEAR,0.636,bvrgo zono,857215,Longini Fossatum/Bourgousnoes,Bourgousnoes
Dux Daciae ripensis,Burgo Zono,3,NEAR,0.625,bvrgo zono,177531,Grozon,Grozon
Dux Daciae ripensis,Burgo Zono,4,NEAR,0.625,bvrgo zono,226552,Buzovo,Buzovo
Dux Daciae ripensis,Burgo Zono,5,NEAR,0.625,bvrgo zono,874407,Bouron fl.,Bouron
Dux Daciae ripensis,Cebro,1,NEAR,0.800,cebro,543749,Kereus/Ceron,Ceron
Dux Daciae ripensis,Cebro,2,NEAR,0.727,cebro,207209,Kebros fl.,Kebros
Dux Daciae ripensis,Cebro,3,NEAR,0.727,cebro,197319,‘Incero’,Incero
Dux Daciae ripensis,Cebro,4,NEAR,0.727,cebro,501432,Hebros fl.,Hebros
Dux Daciae ripensis,Cebro,5,NEAR,0.727,cebro,687915,Hebron,Hebron
Dux Britanniarum,Cilurno,1,NEAR,0.833,cilvrno,256225,Iluro,Iluro
Dux Britanniarum,Cilurno,2,NEAR,0.833,cilvrno,246436,Iluro,Iluro
Dux Britanniarum,Cilurno,3,NEAR,0.833,cilvrno,246437,Iluro,Iluro
Dux Britanniarum,Cilurno,4,NEAR,0.800,cilvrno,89144,Cilurnum,Cilurnum
Dux Britanniarum,Cilurno,5,NEAR,0.769,cilvrno,265930,Ilurco,Ilurco
Dux Britanniarum,Conderco,1,NEAR,0.824,conderco,89150,Condercum,Condercum
Dux Britanniarum,Conderco,2,NEAR,0.714,conderco,393459,Opitergium,Oderzo
Dux Britanniarum,Conderco,3,NEAR,0.667,conderco,167722,Condate,Condres
Dux Britanniarum,Conderco,4,NEAR,0.667,conderco,79400,Condate,Condate
Dux Britanniarum,Conderco,5,NEAR,0.667,conderco,167723,Condate,Condate
Dux Daciae ripensis,Crispitia,1,NEAR,0.800,crispitia,207053,Crisia fl.,Crisia
Dux Daciae ripensis,Crispitia,2,NEAR,0.778,crispitia,442559,Crispiano,Crispiano
Dux Daciae ripensis,Crispitia,3,NEAR,0.778,crispitia,197230,Crispiana,Crispiana
Dux Daciae ripensis,Crispitia,4,NEAR,0.750,crispitia,207035,Cîrjiţi,Cîrjiţi
Dux Daciae ripensis,Crispitia,5,NEAR,0.714,crispitia,266051,(S)Ucia,Sitia
