document,sourceClass,sourceGroup,notitiaName,sourceLine,gisProvince,canonicalName,matchStatus
Occidentis,dux,,Limitis Mauretaniae Caesariensis,43,,,UNMATCHED
Occidentis,dux,,Limites Tripolitani,44,,,UNMATCHED
Occidentis,dux,,Pannoniae primae et Norici ripensis,45,,,UNMATCHED
Occidentis,dux,,Pannoniae secundae,46,,,UNMATCHED
Occidentis,dux,,Valeriae ripensis,47,,,UNMATCHED
Occidentis,dux,,Raetiae primae et secundae,48,,,UNMATCHED
Occidentis,dux,,Sequanicae,49,,,UNMATCHED
Occidentis,dux,,Tractus Armoricani et Neruicani,50,,,UNMATCHED
Occidentis,dux,,Belgicae secundae,51,BELGICA II,BELGICA II,MATCH
Occidentis,dux,,Germaniae primae,52,GERMANIA I,GERMANIA I,MATCH
Occidentis,dux,,Britanniae,53,BRITANNIAE I AND II,BRITANNIAE I AND II,MATCH
Occidentis,dux,,Mogontiacensis,54,,,UNMATCHED
Occidentis,consularis,Per Pannoniam unus,Pannoniae,57,,,UNMATCHED
Occidentis,consularis,Per Italias octo,Venetiae et Histriae,59,VENETIA ET HISTRIA,VENETIA ET HISTRIA,MATCH
Occidentis,consularis,Per Italias octo,Aemiliae,60,AEMILIA ET LIGURIA,AEMILIA ET LIGURIA,MATCH
Occidentis,consularis,Per Italias octo,Liguriae,61,AEMILIA ET LIGURIA,AEMILIA ET LIGURIA,MATCH
Occidentis,consularis,Per Italias octo,Flaminiae et Piceni annonarii,62,FLAMINIA ET PICENUM,FLAMINIA ET PICENUM,MATCH
Occidentis,consularis,Per Italias octo,Tusciae et Umbriae,63,TUSCIA ET UMBRIA,TUSCIA ET UMBRIA,MATCH
Occidentis,consularis,Per Italias octo,Piceni suburbicarii,64,,,UNMATCHED
Occidentis,consularis,Per Italias octo,Campaniae,65,CAMPANIA,CAMPANIA,MATCH
Occidentis,consularis,Per Italias octo,Siciliae,66,SICILIA,SICILIA,MATCH
Occidentis,consularis,Per Africam duo,Byzacii,68,BYZACENA,BYZACENA,MATCH
Occidentis,consularis,Per Africam duo,Numidiae,69,,,UNMATCHED
Occidentis,consularis,Per Hispanias tres,Baeticae,71,BAETICA,BAETICA,MATCH
Occidentis,consularis,Per Hispanias tres,Lusitaniae,72,LUSITANIA,LUSITANIA,MATCH
Occidentis,consularis,Per Hispanias tres,Callaeciae,73,GALLAECIA,GALLAECIA,MATCH
Occidentis,consularis,Per Gallias sex,Viennensis,75,VIENNENSIS,VIENNENSIS,MATCH
Occidentis,consularis,Per Gallias sex,Lugdunensis primae,76,LUGDUNENSIS I,LUGDUNENSIS I,MATCH
Occidentis,consularis,Per Gallias sex,Germaniae secundae,78,GERMANIA II,GERMANIA II,MATCH
Occidentis,consularis,Per Gallias sex,Belgicae primae,79,BELGICA I,BELGICA I,MATCH
Occidentis,consularis,Per Britannias duo,Maximae Caesariensis,82,,,UNMATCHED
Occidentis,consularis,Per Britannias duo,Valentiae,83,,,UNMATCHED
Occidentis,corrector,Per Italiam duo,Apuliae et Calabriae,86,APULIA ET CALABRIA,APULIA ET CALABRIA,MATCH
Occidentis,corrector,Per Italiam duo,Lucaniae et Brittiorum,87,LUCANIA ET BRUTTII,LUCANIA ET BRUTTII,MATCH
Occidentis,corrector,Per Pannoniam unum,Saviae,89,SAVIA,SAVIA,MATCH
Occidentis,praeses,,Dalmaticarum,92,DALMATIA,DALMATIA,MATCH
Occidentis,praeses,,Pannoniae primae,93,,,UNMATCHED
Occidentis,praeses,,Norici mediterranei,94,NORICUM MEDITERRANEUM,NORICUM MEDITERRANEUM,MATCH
Occidentis,praeses,,Norici ripensis,95,NORICUM RIPENSE,NORICUM RIPENSE,MATCH
Occidentis,praeses,,Alpium Cottiarum,97,ALPES COTTIAE,ALPES COTTIAE,MATCH
Occidentis,praeses,,Raetiae primae,98,,,UNMATCHED
