placeName,candidate,candidateType,chapter,document,office,unit
Aballaba,Aballaba,Place,Dux Britanniarum,Occidentis,Praefectus,numeri Maurorum Aurelianorum
Abydum - Abocedo,Abocedo,Place,Dux Thebaidos,Oriens,,Ala octava ....
Abrincatis,Abrincatis,Place,Dux tractus Armoricani,Occidentis,Praefectus,militum Dalmatarum
Abydum - Abocedo,Abydum,Place,Dux Thebaidos,Oriens,,Ala octava ....
Acauatha,Acauatha,Place,Dux Syriae,Oriens,,Equites sagittarii
Accisso,Accisso,Place,Dux Scythiae,Oriens,Praefectus,ripae legionis primae Ioviae cohortis quintae pedaturae inferioris
Aciminci,Aciminci,Place,Dux Pannoniae,Occidentis,,Cuneus equitum constantium
Acimirci,Acimirci,Place,Dux Pannoniae,Occidentis,,Equites sagittarii
Acinco,Acinco,Place,Dux provinciae Valeriae,Occidentis,Praefectus,legionis secundae adiutricis partis superioris
Adiuuense,Adiuuense,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis primae Noricorum militum liburnariorum cohortis Quintae partis superioris
Adnamantia,Adnamantia,Place,Dux provinciae Valeriae,Occidentis,,Equites Dalmatae
Adtitha,Adtitha,Place,Dux Arabiae,Oriens,,Cohors prima miliaria Thracum
Aegeta,Aegeta,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis tertiaedecimae geminae
Aegetae,Aegetae,Place,Dux Daciae ripensis,Oriens,,Cuneus equitum scutariorum
Aegetae,Aegetae,Place,Dux Daciae ripensis,Oriens,Praefectus,classis Histricae
Aegissos,Aegissos,Place,Dux Scythiae,Oriens,,Cuneus equitum armigerorum
Aeliana,Aeliana,Place,Dux Armeniae,Oriens,,Ala secunda Gallorum
Aequinoctoiae,Aequinoctoiae,Place,Dux Pannoniae primae,Occidentis,,Equites Dalmatae
Affrodito,Affrodito,Place,Comes limitis Aegypti,Oriens,,Cohors quarta Iuthungorum
Africae,Africae,Region,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Carthagiensis
Ailae,Ailae,Place,Dux Palaestinae,Oriens,Praefectus,legionis decimae Fretensis
Aiy,Aiy,Place,Comes limitis Aegypti,Oriens,,Cohors secunda Ituraeorum
Aladaleariza,Aladaleariza,Place,Dux Armeniae,Oriens,,Ala Rizena
Albano,Albano,Place,Dux Pannoniae,Occidentis,,Equites Dalmatae
Alesacae,Alesacae,Place,Dux provinciae Valeriae,Occidentis,Tribunus,cohortis
Aleto,Aleto,Place,Dux tractus Armoricani,Occidentis,Praefectus,militum Martensium
Aliscae,Aliscae,Place,Dux provinciae Valeriae,Occidentis,Praefectus,legionis secundae adiutricis cohortis quintae partis superioris
Almo,Almo,Place,Dux Daciae ripensis,Oriens,,Cuneus equitum stablesianorum
Altino,Altino,Place,Dux Moesiae secundae,Oriens,,Milites navclarii Altinenses
Altino,Altino,Place,Dux provinciae Valeriae,Occidentis,,Cuneus equitum Fortensium
Amboglanna,Amboglanna,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis primae Aeliae Dacorum
Amidae,Amidae,Place,Dux Mesopotamiae,Oriens,,Equites ducatores Illyriciani
Amidae,Amidae,Place,Dux Mesopotamiae,Oriens,,Equites scutarii Illyriciani
Ammuda,Ammuda,Place,Dux Syriae,Oriens,,Ala prima nova Herculia
Andro,Andro,Place,Comes limitis Aegypti,Oriens,,Legio tertia Diocletiana
Ansamo,Ansamo,Place,Dux Moesiae secundae,Oriens,,Milites praeventores
Antiochiae,Antiochiae,Place,Insignia viri illustris magistri officiorum,Oriens,,;Clibanaria
Antiochiae,Antiochiae,Place,Insignia viri illustris magistri officiorum,Oriens,,Scutaria et armorum
Antonaco,Antonaco,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum Acincensium
Apollonos superioris,Apollonos superioris,Place,Dux Thebaidos,Oriens,,Legio secunda Traiana
Apuliae,Apuliae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Canusini et Venusini
Aquileiae,Aquileiae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis Venetum
Aquis siue Tertona,Aquis,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Arauraca,Arauraca,Place,Dux Armeniae,Oriens,,Cohors miliaria Bosporiana
Arbore,Arbore,Place,Dux Raetiae,Occidentis,Tribunus,cohortis Herculeae Pannoniorum
Arefa,Arefa,Place,Dux Foenicis,Oriens,,Ala secunda Salutis
Viennae siue Arelati,Arelati,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis fluminis Rhodani
Areopoli,Areopoli,Place,Dux Arabiae,Oriens,,Equites Mauri Illyriciani
scordiscorum et armorum,armorum,Place,Insignia viri illustris magistri officiorum,Occidentis,,Sirmensis scutorum
Arrabonae,Arrabonae,Place,Dux Pannoniae primae,Occidentis,,Cuneus equitum stablesianorum
Arrabonae,Arrabonae,Place,Dux Pannoniae primae,Occidentis,,Equites promoti
Arrabonae,Arrabonae,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis decimae et quartaedecimaegeminae geminarum militum liburnariorum
Arrianis,Arrianis,Place,Dux Pannoniae primae,Occidentis,Tribunus,cohortis
Arrunto siue Vindomanae,Arrunto,Place,Dux Pannoniae primae,Occidentis,Praefectus,classis Histricae
Arsaciana siue Novas,Arsaciana,Place,Dux Pannoniae,Occidentis,,Auxilia Novensia
Arubio,Arubio,Place,Dux Scythiae,Oriens,,Cuneus equitum catafractariorum
Arumbernos Aquitanicae primae,Arumbernos Aquitanicae primae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum gentilium Suevorum
Assara,Assara,Place,Dux Mesopotamiae,Oriens,,Equites scutarii indigenae Pafenses
Atrabatis Belgicae secundae,Atrabatis Belgicae secundae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum Batavorum Nemetacensium
Au.....,Au,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Augustanis,Augustanis,Place,Dux Raetiae,Occidentis,,Equites stablesiani seniores
Augustianis,Augustianis,Place,Dux Pannoniae primae,Occidentis,,Equites Dalmatae
Aulucos,Aulucos,Place,Comes Tingitaniae,Occidentis,Tribunus,cohortis primae Herculeae
Aureomonto,Aureomonto,Place,Dux Moesiae primae,Oriens,,Cuneus equtum Dalmatarum
Austuris,Austuris,Place,Dux Pannoniae primae,Occidentis,Tribunus,cohortis
Axiupoli,Axiupoli,Place,Dux Scythiae,Oriens,,Milites superventores
Axiupoli,Axiupoli,Place,Dux Scythiae,Oriens,Praefectus,ripae legionis secundae Herculiae cohortis quintae pedaturae inferioris
Babilona,Babilona,Place,Comes limitis Aegypti,Oriens,,Legio tertiadecima gemina
balistaria et clibanaria,balistaria,Place,Insignia viri illustris magistri officiorum,Occidentis,,Augustodunensis loricaria
Barbalisso,Barbalisso,Place,Dux Syriae,Oriens,,Equites Dalmatae Illyriciani
Barboniaco,Barboniaco,Place,Dux Britanniarum,Occidentis,Praefectus,numeri defensorum
Batavis,Batavis,Place,Dux Raetiae,Occidentis,Tribunus,cohortis novae Batavorum
Belgicae primae,Belgicae primae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Triberorum
Belgicae secundae,Belgicae secundae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Remensis
Benetis,Benetis,Place,Dux tractus Armoricani,Occidentis,Praefectus,militum Maurorum Benetorum
Benosabae,Benosabae,Place,Dux Palaestinae,Oriens,,Equites Dalmatae Illyriciani
Betthoro,Betthoro,Place,Dux Arabiae,Oriens,Praefectus,legionis quartae Martiae
Bingio,Bingio,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum Bingensium
Bireo,Bireo,Place,Dux Scythiae,Oriens,,Cuneus equitum stablesianorum
Blabia,Blabia,Place,Dux tractus Armoricani,Occidentis,Praefectus,militum Carronensium
Boiodoro,Boiodoro,Place,Dux Pannoniae primae,Occidentis,Tribunus,cohortis
Bononiae,Bononiae,Place,Dux Pannoniae,Occidentis,Praefectus,legionis quintae Ioviae cohortis quintae partis superioris
Bononiae in Aemilia,Bononiae in Aemilia,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Bonoriae,Bonoriae,Place,Dux Pannoniae,Occidentis,,Equites Dalmatae
Borcovicio,Borcovicio,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis primae Tungrorum
Branoduno,Branoduno,Place,Comes litoris Saxonici per Britanniam,Occidentis,Praepositus,equitum Dalmatarum Branodunensium
