gisProvince	canonicalName	geojsonId	notitiaMatch
ACHAIA	ACHAIA	22	Achaiae
ALPES MARITIMAE	ALPES MARITIMAE	62	Alpium maritimarum
ALPES GRAIAE ET POENINAE	ALPES GRAIAE ET POENINAE	75	Alpium Poeninarum et Graiarum
APULIA ET CALABRIA	APULIA ET CALABRIA	39	Apuliae et Calabriae
AQUITANIA I	AQUITANIA I	83	Aquitanicae primae
AQUITANIA II	AQUITANIA II	84	Aquitanicae secundae
ASIA	ASIA	30	Asiae
BAETICA	BAETICA	25	Baeticae
BELGICA I	BELGICA I	92	Belgicae primae
BELGICA II	BELGICA II	94	Belgicae secundae
BITHYNIA	BITHYNIA	54	Bithyniae
BYZACENA	BYZACENA	7	Byzacii
GALLAECIA	GALLAECIA	69	Callaeciae
CAMPANIA	CAMPANIA	35	Campaniae
CARIA	CARIA	23	Cariae
CILICIA	CILICIA	38	Ciliciae
CORSICA	CORSICA	46	Corsicae
CRETA	CRETA	9	Cretae
CYPRUS	CYPRUS	21	Cypri
DACIA MEDITERRANEA	DACIA MEDITERRANEA	58	Daciae mediterraneae
DACIA RIPENSIS	DACIA RIPENSIS	71	Daciae ripensis
DARDANIA	DARDANIA	53	Dardaniae
EPIRUS NOVA	EPIRUS NOVA	42	Epiri nouae
EPIRUS VETUS	EPIRUS VETUS	28	Epiri ueteris
EUROPA	EUROPA	52	Europae
FLAMINIA ET PICENUM	FLAMINIA ET PICENUM	55	Flaminiae et Piceni annonarii
PHOENICE	PHOENICE	19	Foenicis
GALATIA	GALATIA	49	Galatiae
GERMANIA I	GERMANIA I	93	Germaniae primae
GERMANIA II	GERMANIA II	95	Germaniae secundae
HAEMIMONTUS	HAEMIMONTUS	59	Haemimonti
HELLESPONTUS	HELLESPONTUS	97	Helenoponti
INSULAE	INSULAE	17	Insularum
LIBYA INFERIOR	LIBYA INFERIOR	2	Libyae inferioris
LIBYA SUPERIOR	LIBYA SUPERIOR	3	Libyae superioris
LUCANIA ET BRUTTII	LUCANIA ET BRUTTII	31	Lucaniae et Brittiorum
LUGDUNENSIS I	LUGDUNENSIS I	87	Lugdunensis primae
LUGDUNENSIS II	LUGDUNENSIS II	91	Lugdunensis secundae
LUSITANIA	LUSITANIA	43	Lusitaniae
LYDIA	LYDIA	32	Lydiae
MACEDONIA	MACEDONIA	44	Macedoniae
SEQUANIA	SEQUANIA	88	Maximae Sequanorum
MESOPOTAMIA	MESOPOTAMIA	45	Mesopotamiae
NARBONENSIS I	NARBONENSIS I	63	Narbonensis primae
NARBONENSIS II	NARBONENSIS II	56	Narbonensis secundae
NOVEM POPULI	NOVEM POPULI	66	Novempopulanae
OSRHOENE	OSRHOENE	37	Osroehenae
PAPHLAGONIA	PAPHLAGONIA	65	Paflagoniae
PALAESTINA	PALAESTINA	11	Palaestinae
PISIDIA	PISIDIA	33	Pisidiae
PONTUS POLEMONIACUS	PONTUS POLEMONIACUS	73	Ponti Polemoniaci
PRAEVALITANA	PRAEVALITANA	50	Praeualitanae
RHODOPE	RHODOPE	47	Rhodopae
SARDINIA	SARDINIA	34	Saradiniae
SAVIA	SAVIA	79	Saviae
SCYTHIA	SCYTHIA	81	Scythiae
SICILIA	SICILIA	18	Siciliae
THEBAIS	THEBAIS	1	Thebaidos
THESSALIA	THESSALIA	29	Thessaliae
THRACIA	THRACIA	57	Thraciae
TUSCIA ET UMBRIA	TUSCIA ET UMBRIA	60	Tusciae et Umbriae
VALERIA	VALERIA	85	Valeriae
