PLC00035	..... nunc Sisciae	Dux Pannoniae.	Praefectus classis Aegetensium siue secundae Pannonicae	modernName	latitude	longitude	confidence
PLC00371	Satala	Dux Armeniae.	Praefectus legionis quintadecimae Apollinaris	Satala, 29-30, Sadak, Kelkit, Gümüşhane, Karadeniz Bölgesi, Türkiye	40,028003	39,597903	automatic
PLC00390	Sebastopolis	Dux Armeniae.	Cohors prima Claudia equitata	Sulusaray, Tokat, Karadeniz Bölgesi, Türkiye	39,997498	36,083607	automatic
PLC00314	Dabana	Dux Osrhoenae.	Equites Mauri Illyriciani	Çamsaray, Kadışehri, Yozgat, İç Anadolu Bölgesi, Türkiye	40,052834	35,823299	automatic
PLC00444	Flaviana	Dux Moesiae primae.	Cuneus equtum promotorum	Zincidere, Talas, Kayseri, İç Anadolu Bölgesi, Türkiye	38,644718	35,583065	automatic
PLC00400	Flaviana	Dux Scythiae.	Milites navclarii	Zincidere, Talas, Kayseri, İç Anadolu Bölgesi, Türkiye	38,644718	35,583065	automatic
PLC00267	Adada	Dux Syriae.	Equites promoti indigenae	Adada, Aziz Paul Yolu, Sağrak, Sütçüler, Isparta, Akdeniz Bölgesi, Türkiye	37,572796	30,984062	automatic
PLC00275	Sura	Dux Syriae.	Praefectus legionis sextaedecimae Flaviae firmae	Sura, Demre - Kaş Yolu, Gökyazı, Gürses, Demre, Antalya, Akdeniz Bölgesi, 07572, Türkiye	36,244327	29,944305	automatic
PLC00334	Constantia	Dux Mesopotamiae.	Equites felices Honoriani Illyriciani	Constanța, Zona Metropolitană Constanța, Constanța, România	44,176716	28,650760	automatic
PLC00139	Constantia	Dux tractus Armoricani.	Praefectus militum primae Flaviae	Constanța, Zona Metropolitană Constanța, Constanța, România	44,176716	28,650760	automatic
PLC00395	Cii	Dux Scythiae.	Cuneus equitum stablesianorum	Çıldır Havaalanı, Çıldır Havalimanı Kavşağı, Tepecik, Efeler, Aydın, Ege Bölgesi, 09000, Türkiye	37,816778	27,887416	automatic
PLC00271	Oresa	Dux Syriae.	Praefectus legionis quartae Scythicae	Parc Industrial Oresa, Lețcani, Zona Metropolitană Iași, Iași, România	47,187859	27,434560	automatic
PLC00130	Arbore	Dux Raetiae.	Tribunus cohortis Herculeae Pannoniorum	Arbore, Suceava, România	47,742671	25,866319	automatic
PLC00381	Metita	Dux Armeniae.	Cohors tertia Ulpia miliaria Petraeorum	Lacul Metița, Rojiște, Dolj, România	44,077859	23,911351	automatic
PLC00206	Syene	Dux Thebaidos.	Milites Miliarenses	Συήνης, Κουντουριώτικα, Αμπελόκηποι, 7η Κοινότητα Αθηνών, Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 115 21, Ελλάς	37,985012	23,753267	automatic
PLC00492	Ratiaria	Dux Daciae ripensis.	Praefectus legionis tertiaedecimae geminae	Рациария, 11, Рациария, Арчар, Димово, Видин, България	43,817086	22,908232	automatic
PLC00479	Drobeta	Dux Daciae ripensis.	Auxilium primorum Daciscorum	Drobeta-Turnu Severin, Mehedinți, România	44,625784	22,653198	automatic
PLC00472	Drobeta	Dux Daciae ripensis.	Cuneus equitum Dalmatarum Divitensium	Drobeta-Turnu Severin, Mehedinți, România	44,625784	22,653198	automatic
PLC00373	Trapezunta	Dux Armeniae.	Praefectus legionis primae Ponticae	Νέα Τραπεζούντα, Δήμος Κατερίνης, Περιφερειακή Ενότητα Πιερίας, Περιφέρεια Κεντρικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 601 50, Ελλάς	40,334222	22,524169	automatic
PLC00351	Areopoli	Dux Arabiae.	Equites Mauri Illyriciani	AREOPOLI, Αρεόπολης - Γερολιμένα, Λαγοκοίλι, Αρεόπολη, Δημοτική Ενότητα Οιτύλου, Δήμος Ανατολικής Μάνης, Περιφερειακή Ενότητα Λακωνίας, Περιφέρεια Πελοποννήσου, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 230 62, Ελλάς	36,665535	22,382907	automatic
PLC00279	Claudiana	Dux Syriae.	Cohors prima Ulpia Dacorum	Peqin, Bashkia Peqin, Qarku i Elbasanit, Shqipëria Qendrore, 3501, Shqipëria	41,046130	19,749452	automatic
PLC00050	Campona	Dux provinciae Valeriae.	Equites Dalmatae	Campona, 37-43, Nagytétényi út, Budatétény, XXII. kerület, Budapest, Közép-Magyarország, 1222, Magyarország	47,407250	19,018653	automatic
PLC00040	Intercisa	Dux provinciae Valeriae.	Cuneus equitum Dalmatarum	Intercisa kőtár, Kálvária utca, Óváros, Dunaújváros, Dunaújvárosi járás, Fejér vármegye, Közép-Dunántúl, Dunántúl, 2400, Magyarország	46,976273	18,936614	automatic
PLC00053	Intercisa	Dux provinciae Valeriae.	Equites sagittarii	Intercisa kőtár, Kálvária utca, Óváros, Dunaújváros, Dunaújvárosi járás, Fejér vármegye, Közép-Dunántúl, Dunántúl, 2400, Magyarország	46,976273	18,936614	automatic
