placeId,placeName,nodeType,office,unit,chapter,document
PLC00300,(in Liguria) Pollentia,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00097,....,unknown,Tribunus,cohortis tertiae Alpinorum Dardanorum,Dux Pannoniae,Occidentis
PLC00291,....,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00100,..... nunc Sisciae,unknown,Praefectus,classis Aegetensium siue secundae Pannonicae,Dux Pannoniae,Occidentis
PLC00279,....... et Ceromannos Lugdunensis tertiae,unknown,Praefectus,laetorum gentilium Sueuorum,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00302,a Chora Parisios usque,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00238,Aballaba,unknown,Praefectus,numeri Maurorum Aurelianorum,Dux Britanniarum,Occidentis
PLC00426,Abina,equites,,Equites sagittarii indigenae,Dux Foenicis,Oriens
PLC00206,Abrincatis,unknown,Praefectus,militum Dalmatarum,Dux tractus Armoricani,Occidentis
PLC00186,Abusina,unknown,Tribunus,cohortis tertiae Brittorum,Dux Raetiae,Occidentis
PLC00405,Abydum - Abocedo,ala,,Ala octava ....,Dux Thebaidos,Oriens
PLC00451,Acadama,equites,,Equites sagittarii,Dux Syriae,Oriens
PLC00452,Acauatha,equites,,Equites sagittarii,Dux Syriae,Oriens
PLC00594,Accisso,unknown,Praefectus,ripae legionis primae Ioviae cohortis quintae pedaturae inferioris,Dux Scythiae,Oriens
PLC00071,Aciminci,cuneus,,Cuneus equitum constantium,Dux Pannoniae,Occidentis
PLC00080,Acimirci,equites,,Equites sagittarii,Dux Pannoniae,Occidentis
PLC00134,Acinco,unknown,Praefectus,legionis secundae adiutricis partis superioris,Dux provinciae Valeriae,Occidentis
PLC00142,ad burgum Centenarium,unknown,Tribunus,cohortis,Dux provinciae Valeriae,Occidentis
PLC00273,ad cohortem Gallicam,unknown,Tribunus,cohortis secundae Gallicae,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00084,ad Herculem,auxilia,,Auxilia Herculensia,Dux Pannoniae,Occidentis
PLC00152,Ad Herculem,equites,,Equites Dalmatae,Dux Pannoniae primae,Occidentis
PLC00126,Ad Herculem,auxilia,,Auxilia Herculensia,Dux provinciae Valeriae,Occidentis
PLC00112,Ad Herculem,equites,,Equites Dalmatae,Dux provinciae Valeriae,Occidentis
PLC00161,Ad Mauros,equites,,Equites promoti,Dux Pannoniae primae,Occidentis
PLC00125,Ad Militare,equites,,Equites Flavianenses,Dux provinciae Valeriae,Occidentis
PLC00634,Ad Novas,auxilia,,Auxiliares Novenses,Dux Moesiae primae,Oriens
