placeCanonicalId,notitiaName,canonicalName,province,region,latitude,longitude,pleiadesId,wikidataId,geonamesId,confidence,notes
PLC00001,Aballaba,,,,,,,,,,
PLC00002,Abina,,,,,,,,,,
PLC00003,Abrincatis,,,,,,,,,,
PLC00004,Abusina,,,,,,,,,,
PLC00005,Abydum - Abocedo,,,,,,,,,,
PLC00006,Acadama,,,,,,,,,,
PLC00007,Acauatha,,,,,,,,,,
PLC00008,Accisso,,,,,,,,,,
PLC00009,Aciminci,,,,,,,,,,
PLC00010,Acimirci,,,,,,,,,,
PLC00011,Acinco,,,,,,,,,,
PLC00012,Adada,,,,,,,,,,
PLC00013,Adatha,,,,,,,,,,
PLC00014,Adiuuense,,,,,,,,,,
PLC00015,Admatha,,,,,,,,,,
PLC00016,Adnamantia,,,,,,,,,,
PLC00017,Adtitha,,,,,,,,,,
PLC00018,Aegeta,,,,,,,,,,
PLC00019,Aegetae,,,,,,,,,,
PLC00020,Aegissos,,,,,,,,,,
PLC00021,Aeliae,,,,,,,,,,
PLC00022,Aeliana,,,,,,,,,,
PLC00023,Aequinoctoiae,,,,,,,,,,
PLC00024,Aesica,,,,,,,,,,
PLC00025,Affrodito,,,,,,,,,,
PLC00026,Afro,,,,,,,,,,
PLC00027,Ailae,,,,,,,,,,
PLC00028,Aiy,,,,,,,,,,
PLC00029,Ala Nova,,,,,,,,,,
PLC00030,Aladaleariza,,,,,,,,,,
PLC00031,Albano,,,,,,,,,,
PLC00032,Alesacae,,,,,,,,,,
PLC00033,Aleto,,,,,,,,,,
PLC00034,Alione,,,,,,,,,,
PLC00035,Aliscae,,,,,,,,,,
PLC00036,Almo,,,,,,,,,,
PLC00037,Alta Ripa,,,,,,,,,,
PLC00038,Altino,,,,,,,,,,
PLC00039,Amboglanna,,,,,,,,,,
PLC00040,Amidae,,,,,,,,,,
PLC00041,Ammattha,,,,,,,,,,
PLC00042,Ammuda,,,,,,,,,,
PLC00043,Analiba,,,,,,,,,,
PLC00044,Anatha,,,,,,,,,,
PLC00045,Anderidos,,,,,,,,,,
PLC00046,Andro,,,,,,,,,,
PLC00047,Ansamo,,,,,,,,,,
PLC00048,Antiochiae,,,,,,,,,,
PLC00049,Antonaco,,,,,,,,,,
PLC00050,Apadna,,,,,,,,,,
PLC00051,Apatna,,,,,,,,,,
PLC00052,Apollonos superioris,,,,,,,,,,
PLC00053,Appiaria,,,,,,,,,,
PLC00054,Apuliae,,,,,,,,,,
PLC00055,Aquileiae,,,,,,,,,,
PLC00056,Aquis siue Tertona,,,,,,,,,,
PLC00057,Arauraca,,,,,,,,,,
PLC00058,Arbeia,,,,,,,,,,
PLC00059,Arbore,,,,,,,,,,
PLC00060,Arefa,,,,,,,,,,
PLC00061,Areopoli,,,,,,,,,,
PLC00062,Arieldela,,,,,,,,,,
PLC00063,Arlape,,,,,,,,,,
PLC00064,Arrabonae,,,,,,,,,,
PLC00065,Arrianis,,,,,,,,,,
PLC00066,Arrunto siue Vindomanae,,,,,,,,,,
PLC00067,Arsaciana siue Novas,,,,,,,,,,
PLC00068,Arubio,,,,,,,,,,
PLC00069,Arumbernos Aquitanicae primae,,,,,,,,,,
PLC00070,Asabaia,,,,,,,,,,
PLC00071,Asfynis,,,,,,,,,,
PLC00072,Assara,,,,,,,,,,
PLC00073,Asuada,,,,,,,,,,
PLC00074,Atrabatis Belgicae secundae,,,,,,,,,,
PLC00075,Au.....,,,,,,,,,,
PLC00076,Auatha,,,,,,,,,,
PLC00077,Augustae,,,,,,,,,,
PLC00078,Augustanis,,,,,,,,,,
PLC00079,Augustianis,,,,,,,,,,
PLC00080,Aulucos,,,,,,,,,,
PLC00081,Aureomonto,,,,,,,,,,
PLC00082,Austuris,,,,,,,,,,
PLC00083,Axeloduno,,,,,,,,,,
PLC00084,Axiupoli,,,,,,,,,,
PLC00085,Babilona,,,,,,,,,,
PLC00086,Baiocas et Constantiae Lugdunensis secundae,,,,,,,,,,
PLC00087,balistaria et clibanaria,,,,,,,,,,
PLC00088,Banasam,,,,,,,,,,
PLC00089,Barbalisso,,,,,,,,,,
PLC00090,Barboniaco,,,,,,,,,,
PLC00091,Batavis,,,,,,,,,,
