placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000005,,OCC000005,Lauriacensis,118802,Lauriacum,48.220692,14.465958,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Lauriacensis scutaria,719,REGION_EXACT,confirmed,REGION_MATCH,NORICUM RIPENSE,Illyrico,Illyrico,,ILLYRICUM
OCC000008,,OCC000008,Veronensis,383816,Verona,45.438954,10.994371,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Veronensis scutaria et armorum,723,REGION_EXACT,confirmed,REGION_MATCH,VENETIA ET HISTRIA,,,,ITALIA
OCC000010,,OCC000010,Cremonensis,383628,Cremona,45.133639,10.026149,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Cremonensis scutaria,725,REGION_EXACT,confirmed,REGION_MATCH,AEMILIA ET LIGURIA,,,,ITALIA
OCC000012,,OCC000012,Lucensis,403234,Luca,43.843003,10.50804,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Lucensis spatharia,727,REGION_EXACT,confirmed,REGION_MATCH,TUSCIA ET UMBRIA,,,,ITALIA
OCC000013,,OCC000013,Argentomagensis,138192,Argentomagus,46.588704,1.518941,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Argentomagensis armorum omnium,729,REGION_EXACT,confirmed,REGION_MATCH,AQUITANIA I,Galliis,Galliis,,GALLIAE
OCC000014,,OCC000014,Matisconensis,177577,Matisco,46.306331,4.829183,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Matisconensis sagittaria,730,,confirmed,REGION_MATCH,LUGDUNENSIS I,Galliis,Galliis,,GALLIAE
OCC000015,,OCC000015,Augustodunensis,177460,Augustodunum,46.949448,4.299314,unknown,Occidentis,Insignia viri illustris magistri officiorum,,"Augustodunensis loricaria, balistaria et clibanaria",731,REGION_EXACT,confirmed,REGION_MATCH,LUGDUNENSIS I,Galliis,Galliis,,GALLIAE
OCC000016,,OCC000016,Augustodunensis,177460,Augustodunum,46.949448,4.299314,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Augustodunensis scutaria,732,REGION_EXACT,confirmed,REGION_MATCH,LUGDUNENSIS I,Galliis,Galliis,,GALLIAE
OCC000017,,OCC000017,Suessionensis,109356,Suessiones,49.5,2.5,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Suessionensis,733,REGION_FUZZY,confirmed,REGION_MATCH,BELGICA II,Galliis,Galliis,,GALLIAE
OCC000018,,OCC000018,Remensis,108945,Durocortorum,49.254104,4.032504,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Remensis spatharia,734,REGION_EXACT,confirmed,REGION_MATCH,BELGICA II,Galliis,Galliis,,GALLIAE
OCC000019,,OCC000019,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Triberorum scutaria,735,REGION_EXACT,confirmed,REGION_MATCH,BELGICA I,Galliis,Galliis,,GALLIAE
OCC000020,,OCC000020,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Triberorum balistaria,736,REGION_EXACT,confirmed,REGION_MATCH,BELGICA I,Galliis,Galliis,,GALLIAE
OCC000021,,OCC000021,Ambianensis,108740,Ambiani,49.5,1.5,unknown,Occidentis,Insignia viri illustris magistri officiorum,,Ambianensis spatharia et scutaria,737,REGION_EXACT,confirmed,REGION_MATCH,LUGDUNENSIS II,Galliis,Galliis,,GALLIAE
OCC000022,,OCC000022,Salonitanorum,197488,Salona,43.539561,16.483426,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Salonitanorum,775,CONTEXT_EXACT,confirmed,HARD_MATCH,DALMATIA,Dalmatiae,Dalmatiae,,ILLYRICUM
OCC000023,,OCC000023,Siscianorum,197504,Siscia,45.483168,16.371388,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Siscianorum,776,CONTEXT_EXACT,confirmed,HARD_MATCH,SAVIA,Saviae,Saviae,,ILLYRICUM
OCC000024,,OCC000024,Sabariensium,197498,Savaria,47.235142,16.62192,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Sabariensium,777,CONTEXT_EXACT,confirmed,HARD_MATCH,PANNONIA SUPERIOR,Pannoniae primae,Pannoniae primae,,ILLYRICUM
OCC000025,,OCC000025,Aquileiensium,187290,Aquileia,45.768259,13.364601,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Aquileiensium,779,CONTEXT_EXACT,confirmed,HARD_MATCH,VENETIA ET HISTRIA,Venetiae,Venetiae,,ITALIA
OCC000026,,OCC000026,Mediolanensium,383706,Mediolanum,45.463746,9.18806,settlement;urban,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Mediolanensium,780,CONTEXT_EXACT,confirmed,HARD_MATCH,AEMILIA ET LIGURIA,Liguriae,Liguriae,,ITALIA
OCC000027,,OCC000027,Romae,423025,Roma,41.8917,12.4862,temple-2,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum urbis Romae,781,REGION_EXACT,confirmed,REGION_MATCH,TUSCIA ET UMBRIA,,,,ITALIA
OCC000029,,OCC000029,Lugdunensium,167717,Col. Lugdunum,45.75863,4.819486,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Lugdunensium,784,REGION_EXACT,confirmed,REGION_MATCH,LUGDUNENSIS I,,,,GALLIAE
OCC000030,,OCC000030,Arelatensium,148217,Col. Arelate,43.677616,4.630799,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Arelatensium,785,REGION_EXACT,confirmed,REGION_MATCH,VIENNENSIS,,,,GALLIAE
OCC000031,,OCC000031,Remorum,108945,Durocortorum,49.254104,4.032504,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Remorum,786,REGION_EXACT,confirmed,REGION_MATCH,BELGICA II,,,,GALLIAE
OCC000032,,OCC000032,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Triberorum,787,REGION_EXACT,confirmed,REGION_MATCH,BELGICA I,,,,GALLIAE
OCC000033,,OCC000033,Augustensium,79574,Augusta,51.513335,-0.088949,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Augustensium,789,CONTEXT_EXACT,confirmed,HARD_MATCH,BRITANNIAE I AND II,Britanniis,Britanniis,,BRITANNIA
