contextId,placeId,placeName,office,unit,chapter,document
PC000047,PLC00045,alio a parte equitum,,"Principem ex officiis magistrorum militum praesentalium, uno anno a parte peditum",Comes Africae,Occidentis
PC000509,PLC00065,singulos ex utrisque officiis suprascriptis,,Numerarios duos,Comes Britanniae,Occidentis
PC000048,PLC00054,alio anno a parte equitum,,"Principem ex officiis magistrorum militum praesentalium, uno anno a parte peditum",Comes Tingitaniae,Occidentis
PC000111,PLC00048,Aulucos,Tribunus,cohortis primae Herculeae,Comes Tingitaniae,Occidentis
PC000180,PLC00049,Castrabarensis,Tribunus,cohortis primae Ityraeorum,Comes Tingitaniae,Occidentis
PC000254,PLC00047,Duga,Tribunus,cohortis secundae Hispanorum,Comes Tingitaniae,Occidentis
PC000276,PLC00053,Friglas,Tribunus,cohortis Friglensis,Comes Tingitaniae,Occidentis
PC000421,PLC00051,Pacatiana,Tribunus,cohortis Pacatianensis,Comes Tingitaniae,Occidentis
PC000480,PLC00050,Sala,Tribunus,cohortis .......,Comes Tingitaniae,Occidentis
PC000507,PLC00055,singulos ex officiis supradictis,,Numerarios duos,Comes Tingitaniae,Occidentis
PC000529,PLC00052,Tabernas,Tribunus,cohortis tertiae Asturum,Comes Tingitaniae,Occidentis
PC000535,PLC00046,Tamuco,Praefectus,alae Herculeae,Comes Tingitaniae,Occidentis
PC000066,PLC00063,Anderidos,Praepositus,numeri Abulcorum,Comes litoris Saxonici per Britanniam,Occidentis
PC000144,PLC00059,Branoduno,Praepositus,equitum Dalmatarum Branodunensium,Comes litoris Saxonici per Britanniam,Occidentis
PC000253,PLC00057,Dubris,Praepositus,militum Tungrecanorum,Comes litoris Saxonici per Britanniam,Occidentis
PC000282,PLC00060,Gariannonor,Praepositus,equitum stablesianorum Gariannonensium,Comes litoris Saxonici per Britanniam,Occidentis
PC000325,PLC00058,Lemannis,Praepositus,numeri Turnacensium,Comes litoris Saxonici per Britanniam,Occidentis
PC000419,PLC00056,Othonae,Praepositus,numeri Fortensium,Comes litoris Saxonici per Britanniam,Occidentis
PC000445,PLC00064,Portum Adurni,Praepositus,numeri exploratorum,Comes litoris Saxonici per Britanniam,Occidentis
PC000463,PLC00061,Regulbio,Tribunus,cohortis primae Baetasiorum,Comes litoris Saxonici per Britanniam,Occidentis
PC000475,PLC00062,Rutupis,Praefectus,legionis secundae Augustae,Comes litoris Saxonici per Britanniam,Occidentis
PC000346,PLC00208,Marcis in litore Saxonico,,Equites Dalmatae,Dux Belgicae secundae,Occidentis
PC000444,PLC00210,Portu Epatiaci,Tribunus,militum Neruiorum,Dux Belgicae secundae,Occidentis
PC000001,PLC00238,Aballaba,Praefectus,numeri Maurorum Aurelianorum,Dux Britanniarum,Occidentis
PC000035,PLC00233,Aesica,Tribunus,cohortis primae Asturum,Dux Britanniarum,Occidentis
PC000049,PLC00244,Alione,Tribunus,cohortis tertiae Neruiorum,Dux Britanniarum,Occidentis
PC000059,PLC00235,Amboglanna,Tribunus,cohortis primae Aeliae Dacorum,Dux Britanniarum,Occidentis
PC000086,PLC00214,Arbeia,Praefectus,numeri barcariorum Tigrisiensium,Dux Britanniarum,Occidentis
PC000115,PLC00240,Axeloduno,Tribunus,cohortis primae Hispanorum,Dux Britanniarum,Occidentis
PC000123,PLC00219,Barboniaco,Praefectus,numeri defensorum,Dux Britanniarum,Occidentis
PC000142,PLC00231,Borcovicio,Tribunus,cohortis primae Tungrorum,Dux Britanniarum,Occidentis
PC000146,PLC00245,Bremetenraco,,Cuneus Sarmatarum,Dux Britanniarum,Occidentis
PC000191,PLC00229,Cilurno,Praefectus,alae secundae Asturum,Dux Britanniarum,Occidentis
