searchName,notitiaName
Aballaba,Aballaba
Abina,Abina
Abrincatis,Abrincatis
Abusina,Abusina
Abydum - Abocedo,Abydum - Abocedo
Acadama,Acadama
Acauatha,Acauatha
Accisso,Accisso
Aciminci,Aciminci
Acimirci,Acimirci
Acinco,Acinco
Adada,Adada
Adatha,Adatha
Adiuuense,Adiuuense
Admatha,Admatha
Adnamantia,Adnamantia
Adtitha,Adtitha
Aegeta,Aegeta
Aegetae,Aegetae
Aegissos,Aegissos
Aeliae,Aeliae
Aeliana,Aeliana
Aequinoctoiae,Aequinoctoiae
Aesica,Aesica
Affrodito,Affrodito
Afro,Afro
Ailae,Ailae
Aiy,Aiy
Ala Nova,Ala Nova
Aladaleariza,Aladaleariza
Albano,Albano
Alesacae,Alesacae
Aleto,Aleto
Alione,Alione
Aliscae,Aliscae
Almo,Almo
Alta Ripa,Alta Ripa
Altino,Altino
Amboglanna,Amboglanna
Amidae,Amidae
Ammattha,Ammattha
Ammuda,Ammuda
Analiba,Analiba
Anatha,Anatha
Anderidos,Anderidos
Andro,Andro
Ansamo,Ansamo
Antiochiae,Antiochiae
Antonaco,Antonaco
Apadna,Apadna
Apatna,Apatna
Apollonos superioris,Apollonos superioris
Appiaria,Appiaria
Apuliae,Apuliae
Aquileiae,Aquileiae
Aquis siue Tertona,Aquis siue Tertona
Arauraca,Arauraca
Arbeia,Arbeia
Arbore,Arbore
Arefa,Arefa
Areopoli,Areopoli
Arieldela,Arieldela
Arlape,Arlape
Arrabonae,Arrabonae
Arrianis,Arrianis
Arrunto, Arrunto
Arsaciana,Arsacianae
Arubio,Arubio
Arumbernos,Arumbernos
Asabaia,Asabaia
Asfynis,Asfynis
Assara,Assara
Asuada,Asuada
Auatha,Auatha
Augustae,Augustae
Augustanis,Augustanis
Augustianis,Augustianis
Aulucos,Aulucos
Aureomonto,Aureomonto
Austuris,Austuris
Axeloduno,Axeloduno
Axiupoli,Axiupoli
Babilona,Babilona
Banasam,Banasam
Barbalisso,Barbalisso
Barboniaco,Barboniaco
Batavis,Batavis
Benetis,Benetis
Benosabae,Benosabae
Bethallaha,Bethallaha
Betproclis,Betproclis
Betthoro,Betthoro
Bingio,Bingio
Bireo,Bireo
Birsama,Birsama
Blabia,Blabia
Bodobrica,Bodobrica
Boiodoro,Boiodoro
Bononia,Bononia
Bononiae,Bononiae
Bononiae,Bononia
Bonoriae,Bonoriae
Borcovicio,Borcovicio
Bostra,Bostra
Branoduno,Branoduno
Bregtione,Bregtione
Bremetenraco,Bremetenraco
Burgenas,Burgenas
Burgentas,Burgentas
Burgo Novo,Burgo Novo
Burgo Severi,Burgo Severi
Burgo Zono,Burgo Zono
Busiris,Busiris
Caballoduno,Caballoduno
Caelio,Caelio
Caene - Parembole,Caene - Parembole
Caesarea Cappadociae,Caesarea Cappadociae
Caini,Caini
Calabriae,Calabriae
Calamona,Calamona
Calaronae,Calaronae
Callinico,Callinico
Cambidano,Cambidano
Campona,Campona
Candidiana,Candidiana
Cannabiaca,Cannabiaca
Capidaua,Capidaua
Cardabiaca,Cardabiaca
Carnunta,Carnunta
Carnunto,Carnunto
Carso,Carso
Cartha,Cartha
Casama,Casama
Castra Iudaeorum,Castra Iudaeorum
Castrabarensis,Castrabarensis
Cebro,Cebro
Cefae,Cefae
Cefro,Cefro
Chaszanenica,Chaszanenica
Chenoboscia,Chenoboscia
Chermulae,Chermulae
Chiaca,Chiaca
Cii,Cii
Cilurno,Cilurno
Cimbrianis,Cimbrianis
Circesio,Circesio
Cirpe,Cirpe
Cirpi,Cirpi
Claudiana,Claudiana
Comagenis,Comagenis
Como,Como
Concangios,Concangios
Conderco,Conderco
Confluentibus,Confluentibus
Congavata,Congavata
Constantia,Constantia
Constantiae,Constantiae
Constantina,Constantina
Copto,Copto
Cornacii,Cornacii
Cornaco,Cornaco
Cremonae,Cremonae
Crispitia,Crispitia
Crumero,Crumero
Cuccis,Cuccis
Cunna,Cunna
Cuppis,Cuppis
Cusas,Cusas
Cusi,Cusi
Dabana,Dabana
Damasci,Damasci
Danaba,Danaba
Dano,Dano
Dascusa,Dascusa
Deruentione,Deruentione
Dia - Fenis,Dia - Fenis
Dicti,Dicti
Dimo,Dimo
Dionisiada,Dionisiada
Diospoli,Diospoli
Dirigothia,Dirigothia
Domana,Domana
Dortico,Dortico
Drasdea,Drasdea
Drobeta,Drobeta
Dubris,Dubris
Duga,Duga
Durostoro,Durostoro
Ebruduni Sapaudiae,Ebruduni Sapaudiae
Edesa,Edesa
Epuso,Epuso
Euhari,Euhari
Fafianae,Fafianae
Fanomantis,Fanomantis
Filas,Filas
Flaviana,Flaviana
Flexo,Flexo
Florentiae,Florentiae
Foenicionis,Foenicionis
Foetibus,Foetibus
Foro Fuluiensi,Foro Fuluiensi
Friglas,Friglas
Gabrosenti,Gabrosenti
Gadda,Gadda
Ganaba,Ganaba
Gariannonor,Gariannonor
Gerolate,Gerolate
Glannibanta,Glannibanta
Gomoha,Gomoha
Graio,Graio
Grannona in litore Saxonico,Grannona in litore Saxonico
Grannono,Grannono
Gratiana,Gratiana
Guntiae,Guntiae
Hadrianopolis Haemimonti,Hadrianopolis Haemimonti
Hasta,Hasta
Hauanae,Hauanae
Helela,Helela
Hermunthi,Hermunthi
Hermupoli,Hermupoli
Hibeos,Hibeos
Hipponos,Hipponos
Hunno,Hunno
Iehibo,Iehibo
Inplateypegiis,Inplateypegiis
Intercisa,Intercisa
Iovia,Iovia
Ioviaco,Ioviaco
Iprosmis,Iprosmis
Isiu,Isiu
Lacufelicis,Lacufelicis
Laedemata,Laedemata
Laedenatae,Laedenatae
Lapurdo,Lapurdo
Lataui,Lataui
Latius,Latius
Lato,Lato
Lauriaco,Lauriaco
Lavatres,Lavatres
Legione,Legione
Lemannis,Lemannis
Lentiae,Lentiae
Leonatae,Leonatae
Libona,Libona
Lico,Lico
Lingonas,Lingonas
Longovicio,Longovicio
Luco,Luco
Luguvallii,Luguvallii
Lussonio,Lussonio
Magis,Magis
Maglone,Maglone
Magnis,Magnis
Maiocariri,Maiocariri
Mannatias,Mannatias
Maratha,Maratha
Marcianopoli,Marcianopoli
Marcis in litore Saxonico,Marcis in litore Saxonico
Margo,Margo
Marinanae,Marinanae
Marmantharum,Marmantharum
Massiliae Graecorum,Massiliae Graecorum
Matrice,Matrice
Matthana,Matthana
Maximianopoli,Maximianopoli
Mediana,Mediana
Mediolana,Mediolana
Mefa,Mefa
Mefana - Cartha,Mefana - Cartha
Melitena,Melitena
Memfi,Memfi
Menochiae,Menochiae
Metita,Metita
Miseno,Miseno
Moahile,Moahile
Mochora,Mochora
Mogontiaco,Mogontiaco
Moleaatha,Moleaatha
Monte Iovis,Monte Iovis
Morbio,Morbio
Motha,Motha
Mursae,Mursae
Muson,Muson
Mutheos,Mutheos
Naarsafari,Naarsafari
Naithu,Naithu
Narmunthi,Narmunthi
Nazala,Nazala
Nee,Nee
Neia,Neia
Nemetis,Nemetis
Neocaesereae,Neocaesereae
Nicomediae,Nicomediae
Nitnu,Nitnu
Norici,Norici
Nouas,Nouas
Nouioduno,Nouioduno
Nouioduro,Nouioduro
Novariae,Novariae
Novas,Novas
Noviomago,Noviomago
Novis,Novis
Oasi maiore,Oasi maiore
Oasi minore,Oasi minore
Oasi minore - Trimtheos,Oasi minore - Trimtheos
Occariba,Occariba
Odiabo,Odiabo
Oesco,Oesco
Olenaco,Olenaco
Olitione,Olitione
Ombos,Ombos
Oneuatha,Oneuatha
operum alter,operum alter
Opittergii,Opittergii
Oraba,Oraba
Oresa,Oresa
Osismis,Osismis
Othonae,Othonae
Otthara,Otthara
Pacatiana,Pacatiana
Paetaonio,Paetaonio
Palmira,Palmira
Pampane,Pampane
Parembole,Parembole
Parisius,Parisius
Parroduno,Parroduno
Patauio,Patauio
Peamu,Peamu
Pelusio,Pelusio
Pescla,Pescla
Petrianis,Petrianis
Pictavis,Pictavis
Pinco,Pinco
Pinianis,Pinianis
Pithiae,Pithiae
Poisrietemidos,Poisrietemidos
Ponte Aeli,Ponte Aeli
Portu Epatiaci,Portu Epatiaci
Portum Adurni,Portum Adurni
Praesidio,Praesidio
Precteos,Precteos
Procolitia,Procolitia
Psinaula,Psinaula
Quadratis et Eporizio,Quadratis et Eporizio
Quadrato,Quadrato
quadriborgio,quadriborgio
Quadriburgio,Quadriburgio
Quintanis,Quintanis
Rasin,Rasin
Ratiaria,Ratiaria
Ravennae,Ravennae
Regulbio,Regulbio
Rene,Rene
Resaia,Resaia
Resain - Theodosiopoli,Resain - Theodosiopoli
Ricti,Ricti
Rinocoruna,Rinocoruna
Ripa Alta,Ripa Alta
Ripaltha,Ripaltha
Robatha,Robatha
Rosafa,Rosafa
Rotomago,Rotomago
Rutupis,Rutupis
Sabaiae,Sabaiae
