occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText,pleiadesId,pleiadesName,candidate,rule,tier,latitude,longitude,featureType,gisProvince,geojsonId,nearestProvince,nearestGeojsonId,nearestKm,nameSimilarity,contextStatus,contextScore,matchType,similarity
OCC000002,Occidentis,Insignia viri illustris magistri officiorum,716,Sirmensis,factory,,"Sirmensis scutorum, scordiscorum et armorum",Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico,222195,Syrmus,Sirmus,toponymic_ensis,1,,,unknown,,,,,,1.0,REGION_UNVERIFIED,0.000,FUZZY_NO_CONTEXT,1.000
OCC000005,Occidentis,Insignia viri illustris magistri officiorum,719,Lauriacensis,factory,,Lauriacensis scutaria,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico,118802,Lauriacum,Lauriacum,toponymic_ensis,1,48.220692,14.465958,unknown,NORICUM RIPENSE,89,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000008,Occidentis,Insignia viri illustris magistri officiorum,723,Veronensis,factory,,Veronensis scutaria et armorum,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae,383816,Verona,Verona,toponymic_ensis,1,45.438954,10.994371,unknown,VENETIA ET HISTRIA,80,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000010,Occidentis,Insignia viri illustris magistri officiorum,725,Cremonensis,factory,,Cremonensis scutaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae,383628,Cremona,Cremona,toponymic_ensis,1,45.133639,10.026149,unknown,AEMILIA ET LIGURIA,77,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000012,Occidentis,Insignia viri illustris magistri officiorum,727,Lucensis,factory,,Lucensis spatharia,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae,403234,Luca,Luca,toponymic_ensis,1,43.843003,10.50804,unknown,TUSCIA ET UMBRIA,60,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000013,Occidentis,Insignia viri illustris magistri officiorum,729,Argentomagensis,factory,,Argentomagensis armorum omnium,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis,138192,Argentomagus,Argentomagus,toponymic_ensis,1,46.588704,1.518941,unknown,AQUITANIA I,83,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000014,Occidentis,Insignia viri illustris magistri officiorum,730,Matisconensis,factory,,Matisconensis sagittaria,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis,177577,Matisco,Matiscon,toponymic_ensis_stem,1,46.306331,4.829183,unknown,LUGDUNENSIS I,87,,,,0.875,REGION_MATCH,1.000,,0.875
OCC000015,Occidentis,Insignia viri illustris magistri officiorum,731,Augustodunensis,factory,,"Augustodunensis loricaria, balistaria et clibanaria",Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis,177460,Augustodunum,Augustodunum,toponymic_ensis,1,46.949448,4.299314,unknown,LUGDUNENSIS I,87,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000016,Occidentis,Insignia viri illustris magistri officiorum,732,Augustodunensis,factory,,Augustodunensis scutaria,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis,177460,Augustodunum,Augustodunum,toponymic_ensis,1,46.949448,4.299314,unknown,LUGDUNENSIS I,87,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000017,Occidentis,Insignia viri illustris magistri officiorum,733,Suessionensis,factory,,Suessionensis,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis,109356,Suessiones,Suessione,toponymic_ensis,1,49.5,2.5,unknown,BELGICA II,94,,,,0.9,REGION_MATCH,1.000,REGION_FUZZY,0.900
