placeName,candidate,rule
Aballaba,Aballaba,original
Abina,Abina,original
Abrincatis,Abrincatis,original
Abusina,Abusina,original
Abydum - Abocedo,Abocedo,generated
Abydum - Abocedo,Abocedum,generated
Abydum - Abocedo,Abydum,generated
Abydum - Abocedo,Abydum - Abocedo,original
Acadama,Acadama,original
Acauatha,Acauatha,original
Accisso,Accisso,original
Accisso,Accissum,generated
Aciminci,Aciminci,original
Aciminci,Acimincus,generated
Acimirci,Acimirci,original
Acimirci,Acimircus,generated
Acinco,Acinco,original
Acinco,Acincum,generated
Adada,Adada,original
Adatha,Adatha,original
Adiuuense,Adiuuense,original
Admatha,Admatha,original
Adnamantia,Adnamantia,original
Adtitha,Adtitha,original
Aegeta,Aegeta,original
Aegetae,Aegeta,generated
Aegetae,Aegetae,original
Aegissos,Aegissos,original
Aeliae,Aelia,generated
Aeliae,Aeliae,original
Aeliana,Aeliana,original
Aequinoctoiae,Aequinoctoia,generated
Aequinoctoiae,Aequinoctoiae,original
Aesica,Aesica,original
Affrodito,Affrodito,original
Affrodito,Affroditum,generated
Afro,Afro,original
Afro,Afrum,generated
Ailae,Aila,generated
Ailae,Ailae,original
Aiy,Aiy,original
Ala Nova,Ala,generated
Ala Nova,Ala Nova,original
Aladaleariza,Aladaleariza,original
Albano,Albano,original
Albano,Albanum,generated
Alesacae,Alesaca,generated
Alesacae,Alesacae,original
Aleto,Aleto,original
Aleto,Aletum,generated
Alione,Alione,original
Aliscae,Alisca,generated
Aliscae,Aliscae,original
Almo,Almo,original
Almo,Almum,generated
Alta Ripa,Alta,generated
Alta Ripa,Alta Ripa,original
Altino,Altino,original
Altino,Altinum,generated
Amboglanna,Amboglanna,original
Amidae,Amida,generated
Amidae,Amidae,original
Ammattha,Ammattha,original
Ammuda,Ammuda,original
Analiba,Analiba,original
Anatha,Anatha,original
Anderidos,Anderidos,original
Andro,Andro,original
Andro,Andrum,generated
Ansamo,Ansamo,original
Ansamo,Ansamum,generated
Antiochiae,Antiochia,generated
Antiochiae,Antiochiae,original
Antonaco,Antonaco,original
Antonaco,Antonacum,generated
Apadna,Apadna,original
Apatna,Apatna,original
Apollonos superioris,Apollonos,generated
Apollonos superioris,Apollonos superioris,original
Appiaria,Appiaria,original
Apuliae,Apulia,generated
Apuliae,Apuliae,original
Aquileiae,Aquileia,generated
Aquileiae,Aquileiae,original
Aquis siue Tertona,Aquis,generated
Aquis siue Tertona,Aquis siue Tertona,original
Aquis siue Tertona,Tertona,generated
Arauraca,Arauraca,original
Arbeia,Arbeia,original
Arbore,Arbore,original
Arefa,Arefa,original
Areopoli,Areopoli,original
Areopoli,Areopolus,generated
Arieldela,Arieldela,original
Arlape,Arlape,original
Arrabonae,Arrabona,generated
Arrabonae,Arrabonae,original
Arrianis,Arrianis,original
Arrunto siue Vindomanae,Arrunto,generated
Arrunto siue Vindomanae,Arrunto siue Vindomanae,original
Arrunto siue Vindomanae,Arruntum,generated
Arrunto siue Vindomanae,Vindomana,generated
Arrunto siue Vindomanae,Vindomanae,generated
Arsaciana siue Novas,Arsaciana,generated
Arsaciana siue Novas,Arsaciana siue Novas,original
Arsaciana siue Novas,Novas,generated
Arubio,Arubio,original
Arubio,Arubium,generated
Arumbernos Aquitanicae primae,Arumbernos,generated
Arumbernos Aquitanicae primae,Arumbernos Aquitanicae primae,original
Asabaia,Asabaia,original
Asfynis,Asfynis,original
Assara,Assara,original
Asuada,Asuada,original
Atrabatis Belgicae secundae,Atrabatis,generated
Atrabatis Belgicae secundae,Atrabatis Belgicae secundae,original
Au.....,Au,generated
Auatha,Auatha,original
Augustae,Augusta,generated
Augustae,Augustae,original
Augustanis,Augustanis,original
Augustianis,Augustianis,original
Aulucos,Aulucos,original
Aureomonto,Aureomonto,original
Aureomonto,Aureomontum,generated
Austuris,Austuris,original
Axeloduno,Axeloduno,original
Axeloduno,Axelodunum,generated
Axiupoli,Axiupoli,original
Axiupoli,Axiupolus,generated
Babilona,Babilona,original
