occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000001,Occidentis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis,41,Mauretaniae Caesariensis,limes,,Limitis Mauretaniae Caesariensis,,,,,,,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis / Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis / Duces duodecim
OCC000002,Occidentis,Insignia viri illustris magistri officiorum,716,Sirmensis,factory,,"Sirmensis scutorum, scordiscorum et armorum",Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000003,Occidentis,Insignia viri illustris magistri officiorum,717,Acincensis,factory,,Acincensis scutaria,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000004,Occidentis,Insignia viri illustris magistri officiorum,718,Cornutensis,factory,,Cornutensis scutaria,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000005,Occidentis,Insignia viri illustris magistri officiorum,719,Lauriacensis,factory,,Lauriacensis scutaria,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000006,Occidentis,Insignia viri illustris magistri officiorum,720,Salonitana,factory,,Salonitana armorum,Illyrico,,Illyrico,,Illyrico,ILLYRICUM,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Illyrico
OCC000007,Occidentis,Insignia viri illustris magistri officiorum,722,Concordensis,factory,,Concordensis sagittaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000008,Occidentis,Insignia viri illustris magistri officiorum,723,Veronensis,factory,,Veronensis scutaria et armorum,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000009,Occidentis,Insignia viri illustris magistri officiorum,724,Manutuana,factory,,Manutuana loricaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000010,Occidentis,Insignia viri illustris magistri officiorum,725,Cremonensis,factory,,Cremonensis scutaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000011,Occidentis,Insignia viri illustris magistri officiorum,726,Ticenensis,factory,,Ticenensis arcuaria,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000012,Occidentis,Insignia viri illustris magistri officiorum,727,Lucensis,factory,,Lucensis spatharia,,,,,,ITALIA,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / Italiae
OCC000013,Occidentis,Insignia viri illustris magistri officiorum,729,Argentomagensis,factory,,Argentomagensis armorum omnium,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000014,Occidentis,Insignia viri illustris magistri officiorum,730,Matisconensis,factory,,Matisconensis sagittaria,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000015,Occidentis,Insignia viri illustris magistri officiorum,731,Augustodunensis,factory,,"Augustodunensis loricaria, balistaria et clibanaria",Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000016,Occidentis,Insignia viri illustris magistri officiorum,732,Augustodunensis,factory,,Augustodunensis scutaria,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000017,Occidentis,Insignia viri illustris magistri officiorum,733,Suessionensis,factory,,Suessionensis,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000018,Occidentis,Insignia viri illustris magistri officiorum,734,Remensis,factory,,Remensis spatharia,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000019,Occidentis,Insignia viri illustris magistri officiorum,735,Triberorum,factory,,Triberorum scutaria,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000020,Occidentis,Insignia viri illustris magistri officiorum,736,Triberorum,factory,,Triberorum balistaria,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000021,Occidentis,Insignia viri illustris magistri officiorum,737,Ambianensis,factory,,Ambianensis spatharia et scutaria,Galliis,,Galliis,,Galliis,GALLIAE,Insignia viri illustris magistri officiorum / Insignia viri illustris magistri officiorum / Fabricae infrascriptae / In Galliis
OCC000022,Occidentis,Insignia viri illustris comitis sacrarum largitionum,775,Salonitanorum,unit,Praepositus,thesaurorum Salonitanorum,Dalmatiae,,Dalmatiae,,Dalmatiae,ILLYRICUM,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Illyricum
OCC000023,Occidentis,Insignia viri illustris comitis sacrarum largitionum,776,Siscianorum,unit,Praepositus,thesaurorum Siscianorum,Saviae,,Saviae,,Saviae,ILLYRICUM,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Illyricum
OCC000024,Occidentis,Insignia viri illustris comitis sacrarum largitionum,777,Sabariensium,unit,Praepositus,thesaurorum Sabariensium,Pannoniae primae,,Pannoniae primae,,Pannoniae primae,ILLYRICUM,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Illyricum
OCC000025,Occidentis,Insignia viri illustris comitis sacrarum largitionum,779,Aquileiensium,unit,Praepositus,thesaurorum Aquileiensium,Venetiae,,Venetiae,,Venetiae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam
OCC000026,Occidentis,Insignia viri illustris comitis sacrarum largitionum,780,Mediolanensium,unit,Praepositus,thesaurorum Mediolanensium,Liguriae,,Liguriae,,Liguriae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam
OCC000027,Occidentis,Insignia viri illustris comitis sacrarum largitionum,781,Romae,unit,Praepositus,thesaurorum urbis Romae,,,,,,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam
OCC000028,Occidentis,Insignia viri illustris comitis sacrarum largitionum,782,Augustae Vindelicensis,unit,Praepositus,thesaurorum Augustae Vindelicensis,Raetiae secundae,,Raetiae secundae,,Raetiae secundae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam
OCC000029,Occidentis,Insignia viri illustris comitis sacrarum largitionum,784,Lugdunensium,unit,Praepositus,thesaurorum Lugdunensium,,,,,,GALLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias
OCC000030,Occidentis,Insignia viri illustris comitis sacrarum largitionum,785,Arelatensium,unit,Praepositus,thesaurorum Arelatensium,,,,,,GALLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias
OCC000031,Occidentis,Insignia viri illustris comitis sacrarum largitionum,786,Remorum,unit,Praepositus,thesaurorum Remorum,,,,,,GALLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias
OCC000032,Occidentis,Insignia viri illustris comitis sacrarum largitionum,787,Triberorum,unit,Praepositus,thesaurorum Triberorum,,,,,,GASyraLLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias
OCC000033,Occidentis,Insignia viri illustris comitis sacrarum largitionum,789,Augustensium,unit,Praepositus,thesaurorum Augustensium,Britanniis,,Britanniis,,Britanniis,BRITANNIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / In Britanniis
OCC000034,Occidentis,Insignia viri illustris comitis sacrarum largitionum,791,Siscianae,unit,Procurator,monetae Siscianae,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum
OCC000035,Occidentis,Insignia viri illustris comitis sacrarum largitionum,792,Aquileiensis,unit,Procurator,monetae Aquileiensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum
