placeProvinceId,gazetteerId,placeName,pleiadesId,pleiadesName,latitude,longitude,provinceName,geojsonId,status,distanceKm
PP00001,GAZ00020,Apollonos superioris,785976,Apollonos,24.498288,34.748068,,,OUTSIDE,123.99
PP00002,GAZ00127,Pithiae,857283,Pithiae,43.162916,40.334472,,,OUTSIDE,239.71
PP00003,GAZ00173,Ziganne,857385,Ziganne,42.631325,41.504797,,,OUTSIDE,204.88
PP00004,GAZ00126,Pelusio,727192,Pelusium,31.049917,32.600128,AEGYPTUS HERCULIA,6,MATCH,0.0
PP00005,GAZ00057,Como,383627,Comum,45.81192,9.085784,AEMILIA ET LIGURIA,77,MATCH,0.0
PP00006,GAZ00062,Cremonae,383628,Cremona,45.133639,10.026149,AEMILIA ET LIGURIA,77,MATCH,0.0
PP00007,GAZ00116,Novariae,383717,Novaria,45.445082,8.618661,AEMILIA ET LIGURIA,77,MATCH,0.0
PP00008,GAZ00131,Ravennae,393480,Ravenna,44.415718,12.196604,AEMILIA ET LIGURIA,77,MATCH,0.0
PP00009,GAZ00039,Bostra,678073,Bostra,32.517831,36.48369,ARABIA,16,MATCH,0.0
PP00010,GAZ00080,Gadda,697666,Gadda,32.026672,36.081722,ARABIA,16,MATCH,0.0
PP00011,GAZ00111,Motha,678289,Motha,32.41855,36.818713,ARABIA,16,NEAR_MATCH,0.44
PP00012,GAZ00156,Thainatha,678423,Thainatha,32.269976,36.228985,ARABIA,16,MATCH,0.0
PP00013,GAZ00162,Tricomia,678436,Tricomia,32.491336,36.712059,ARABIA,16,MATCH,0.0
PP00014,GAZ00016,Analiba,628922,Analiba,39.528217,38.582014,ARMENIA MINOR,64,MATCH,0.0
PP00015,GAZ00049,Casama,678085,Casama,34.031455,36.700612,"AUGUSTA
LIBANENSIS",20,MATCH,0.0
PP00016,GAZ00064,Cunna,668233,Cunna,34.266959,37.832095,"AUGUSTA
LIBANENSIS",20,MATCH,0.0
PP00017,GAZ00068,Damasci,678106,Damascus,33.51158693541351,36.3066092133522,"AUGUSTA
LIBANENSIS",20,MATCH,0.0
PP00018,GAZ00113,Nazala,668315,Nazala,34.260948,37.257544,"AUGUSTA
LIBANENSIS",20,MATCH,0.0
PP00019,GAZ00118,Oneuatha,678315,Oneuatha,34.018825,37.283135,"AUGUSTA
LIBANENSIS",20,MATCH,0.0
PP00020,GAZ00165,Valle Diocletiana,678447,Valle Diocletiana,33.753494,36.973873,"AUGUSTA
LIBANENSIS",20,MATCH,0.0
PP00021,GAZ00167,Veriaraca,668396,Veriaraca,34.385516,38.082065,"AUGUSTA
LIBANENSIS",20,MATCH,0.0
PP00022,GAZ00004,Adatha,658366,Adatha,37.702358,37.409481,AUGUSTA EUPHRATENSIS,41,MATCH,0.0
PP00023,GAZ00099,Marcis in litore Saxonico,109140,Marcis,50.810751,1.70763,BELGICA II,94,MATCH,0.0
