candidateId,placeName,candidate,candidateNo,candidateType,chapter,document,nodeType,office,unit,canonicalName,province,region,latitude,longitude,confidence,notes,status,method,pleiadesId,pleiadesTitle,matchedName,matchCount
PLCAND00001,Aballaba,Aballaba,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,numeri Maurorum Aurelianorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00002,Abina,Abina,1,Place,Dux Foenicis,Oriens,equites,,Equites sagittarii indigenae,,,,,,,,MATCH,EXACT,915818,Abinna/Abina,Abina,1
PLCAND00006,Abydum - Abocedo,Abocedo,2,Place,Dux Thebaidos,Oriens,ala,,Ala octava ....,,,,,,,,UNMATCHED,,,,,0
PLCAND00003,Abrincatis,Abrincatis,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Dalmatarum,,,,,,,,UNMATCHED,,,,,0
PLCAND00004,Abusina,Abusina,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis tertiae Brittorum,,,,,,,,MATCH,EXACT,118539,Abusina,Abusina,1
PLCAND00005,Abydum - Abocedo,Abydum,1,Place,Dux Thebaidos,Oriens,ala,,Ala octava ....,,,,,,,,UNMATCHED,,,,,0
PLCAND00007,Acadama,Acadama,1,Place,Dux Syriae,Oriens,equites,,Equites sagittarii,,,,,,,,MATCH,EXACT,668177,Acadama,Acadama,1
PLCAND00008,Acauatha,Acauatha,1,Place,Dux Syriae,Oriens,equites,,Equites sagittarii,,,,,,,,UNMATCHED,,,,,0
PLCAND00009,Accisso,Accisso,1,Place,Dux Scythiae,Oriens,unknown,Praefectus,ripae legionis primae Ioviae cohortis quintae pedaturae inferioris,,,,,,,,UNMATCHED,,,,,0
PLCAND00010,Aciminci,Aciminci,1,Place,Dux Pannoniae,Occidentis,cuneus,,Cuneus equitum constantium,,,,,,,,UNMATCHED,,,,,0
PLCAND00011,Acimirci,Acimirci,1,Place,Dux Pannoniae,Occidentis,equites,,Equites sagittarii,,,,,,,,UNMATCHED,,,,,0
PLCAND00012,Acinco,Acinco,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Praefectus,legionis secundae adiutricis partis superioris,,,,,,,,UNMATCHED,,,,,0
PLCAND00013,Adada,Adada,1,Place,Dux Syriae,Oriens,equites,,Equites promoti indigenae,,,,,,,,AMBIGUOUS,EXACT,638733 | 668178 | 894070,Adada | Adada? | Qasr al-Hayr al-Sharqi/Adada?,Adada,3
PLCAND00014,Adatha,Adatha,1,Place,Dux Foenicis,Oriens,equites,,Equites sagittarii indigenae,,,,,,,,MATCH,EXACT,658366,Adatha,Adatha,1
PLCAND00015,Adiuuense,Adiuuense,1,Place,Dux Pannoniae primae,Occidentis,unknown,Praefectus,legionis primae Noricorum militum liburnariorum cohortis Quintae partis superioris,,,,,,,,UNMATCHED,,,,,0
PLCAND00016,Admatha,Admatha,1,Place,Dux Palaestinae,Oriens,ala,,Ala Antana dromedariorum,,,,,,,,AMBIGUOUS,EXACT,678131 | 697629,Ammatha | Emmatha,Admatha,2
PLCAND00017,Adnamantia,Adnamantia,1,Place,Dux provinciae Valeriae,Occidentis,equites,,Equites Dalmatae,,,,,,,,UNMATCHED,,,,,0
PLCAND00018,Adtitha,Adtitha,1,Place,Dux Arabiae,Oriens,cohort,,Cohors prima miliaria Thracum,,,,,,,,UNMATCHED,,,,,0
PLCAND00019,Aegeta,Aegeta,1,Place,Dux Daciae ripensis,Oriens,unknown,Praefectus,legionis tertiaedecimae geminae,,,,,,,,UNMATCHED,,,,,0
PLCAND00020,Aegetae,Aegetae,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum scutariorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00021,Aegetae,Aegetae,1,Place,Dux Daciae ripensis,Oriens,unknown,Praefectus,classis Histricae,,,,,,,,UNMATCHED,,,,,0
PLCAND00022,Aegissos,Aegissos,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum armigerorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00023,Aeliae,Aeliae,1,Place,Dux Palaestinae,Oriens,equites,,Equites Mauri Illyriciani,,,,,,,,MATCH,EXACT,324657,Aeliae?,Aeliae,1
PLCAND00024,Aeliana,Aeliana,1,Place,Dux Armeniae,Oriens,ala,,Ala secunda Gallorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00025,Aequinoctoiae,Aequinoctoiae,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,,UNMATCHED,,,,,0
PLCAND00026,Aesica,Aesica,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Asturum,,,,,,,,MATCH,EXACT,89095,(A)Esica,Aesica,1
PLCAND00027,Affrodito,Affrodito,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors quarta Iuthungorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00029,Afro,Afro,1,Place,Dux Palaestinae,Oriens,cohort,,Cohors duodecima Valeria,,,,,,,,MATCH,EXACT,699887,Afro,Afro,1
PLCAND00030,Ailae,Ailae,1,Place,Dux Palaestinae,Oriens,unknown,Praefectus,legionis decimae Fretensis,,,,,,,,MATCH,LATIN_VARIANT,746700,Aelana/Aila,Aila,1
PLCAND00031,Aiy,Aiy,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors secunda Ituraeorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00032,Ala Nova,Ala Nova,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,,MATCH,EXACT,128354,Ala Nova,Ala Nova,1
PLCAND00033,Aladaleariza,Aladaleariza,1,Place,Dux Armeniae,Oriens,ala,,Ala Rizena,,,,,,,,UNMATCHED,,,,,0
PLCAND00034,Albano,Albano,1,Place,Dux Pannoniae,Occidentis,equites,,Equites Dalmatae,,,,,,,,UNMATCHED,,,,,0
PLCAND00035,Alesacae,Alesacae,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Tribunus,cohortis,,,,,,,,UNMATCHED,,,,,0
PLCAND00036,Aleto,Aleto,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Martensium,,,,,,,,UNMATCHED,,,,,0
PLCAND00037,Alione,Alione,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis tertiae Neruiorum,,,,,,,,MATCH,EXACT,89097,Alauna/Alione,Alione,1
PLCAND00038,Aliscae,Aliscae,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Praefectus,legionis secundae adiutricis cohortis quintae partis superioris,,,,,,,,MATCH,LATIN_VARIANT,197103,Alisca,Alisca,1
PLCAND00039,Almo,Almo,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum stablesianorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00040,Alta Ripa,Alta Ripa,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum Martensium,,,,,,,,AMBIGUOUS,EXACT,108735 | 197109,Alta Ripa,Alta Ripa,2
PLCAND00041,Altino,Altino,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites navclarii Altinenses,,,,,,,,UNMATCHED,,,,,0
PLCAND00042,Altino,Altino,1,Place,Dux provinciae Valeriae,Occidentis,cuneus,,Cuneus equitum Fortensium,,,,,,,,UNMATCHED,,,,,0
PLCAND00043,Amboglanna,Amboglanna,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Aeliae Dacorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00044,Amidae,Amidae,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites ducatores Illyriciani,,,,,,,,MATCH,LATIN_VARIANT,874298,Ad Tygrem/Amida,Amida,1
PLCAND00045,Amidae,Amidae,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites scutarii Illyriciani,,,,,,,,MATCH,LATIN_VARIANT,874298,Ad Tygrem/Amida,Amida,1
PLCAND00046,Ammattha,Ammattha,1,Place,Dux Syriae,Oriens,cohort,,Cohors prima victorum,,,,,,,,MATCH,EXACT,668183,Ammattha,Ammattha,1
PLCAND00047,Ammuda,Ammuda,1,Place,Dux Syriae,Oriens,ala,,Ala prima nova Herculia,,,,,,,,UNMATCHED,,,,,0
PLCAND00048,Analiba,Analiba,1,Place,Dux Armeniae,Oriens,cohort,,Cohors quarta Raetorum,,,,,,,,MATCH,EXACT,628922,Analib(l)a,Analiba,1
PLCAND00049,Anatha,Anatha,1,Place,Dux Syriae,Oriens,equites,,Equites sagittarii indigenae,,,,,,,,MATCH,EXACT,668196,Aracha/Anatha/‘Harae’,Anatha,1
PLCAND00050,Anderidos,Anderidos,1,Place,Comes litoris Saxonici per Britanniam,Occidentis,unknown,Praepositus,numeri Abulcorum,,,,,,,,MATCH,EXACT,79293,Anderidos,Anderidos,1
