pleiadesId,romanized,attested,language,nameType
677995, Adamana,,,geographic
687913, Addida,,,geographic
687913, Adida,,,geographic
677995, Admana,,,geographic
678002, Adraa,,,geographic
678002, Adraha,,,geographic
554175, Agameia,,,geographic
554175, Agammeia,,,geographic
716505, Ainesippa,,,geographic
716505, Ainesippeia,,,geographic
550766, Akokome,,,geographic
355628, Alasit,,,geographic
550561, Alesion Pedion,,,geographic
349571, Amantes,,,geographic
349571, Amantes Garamantes,,,geographic
785971, Aphrodites,,,geographic
785971, Aphrodites Oros,,,geographic
736889, Aphrodito,,,geographic
736889, Aphroditopolis,,,geographic
615331, Apo,,,geographic
615331, Apokome,,,geographic
599511, Arai,,,geographic
599511, Araiai,,,geographic
805592, Arca,,,geographic
805592, Arcas,,,geographic
736892, Argaitidos,,,geographic
736892, Argaitidos Diorux,,,geographic
550449, Arginousai,,,geographic
550449, Arginoussai,,,geographic
599612, Arsinoe,,,geographic
599612, Arsinoeia,,,geographic
805592, Arta,,,geographic
805592, Artas,,,geographic
550468, Astyra,,,geographic
550468, Astyria,,,geographic
614622, Azita,,,geographic
614622, Azitta,,,geographic
687838, Azotos,,,geographic
687838, Azotos Mesogeios,,,geographic
778432, Bait,,,geographic
778432, Bait…,,,geographic
682532, Basca,,,geographic
682532, Bascama,,,geographic
741441, Berenike he Nea,,,geographic
741441, Berenike he Nea Potamos,,,geographic
511185, Bergoule,,,geographic
511185, Bergule,,,geographic
678057, Berotai,,,geographic
678057, Berothai,,,geographic
609342, Beudos,,,geographic
609342, Beudos Palaion,,,geographic
554205, Blados,,,geographic
554205, Blaundos,,,geographic
349578, Boin,,,geographic
349578, Boinag,,,geographic
511347, Bornos,,,geographic
746721, Bossia,,,geographic
741444, Boubastou,,,geographic
741444, Boubastou Diorux,,,geographic
683277, Canatha,,,geographic
683277, Canatha alia,,,geographic
860795, Chabaka,,,geographic
860795, Chabakta,,,geographic
678089, Chaspho,,,geographic
678089, Chaspo,,,geographic
716542, Chatanoi,,,geographic
716542, Chattanoi,,,geographic
716544, Cheimo,,,geographic
730102, Chi,,,geographic
716544, Chimo,,,geographic
730102, Chimo,,,geographic
857091, Choloe,,,geographic
806350, Cistaepe,,,geographic
806350, Cistepe,,,geographic
550434, Col. Augusta Alexandria Troas,,,geographic
609351, Col. Iulia Aug. Felix Germa,,,geographic
857091, Coloe,,,geographic
550508, Daldis,,,geographic
550508, Daldis Phlabiokaisareia,,,geographic
511435, Deramoska,,,geographic
678121, Dor,,,geographic
678121, Dora,,,geographic
511241, Drousipara,,,geographic
511241, Drusipara,,,geographic
741457, Drymeitidos,,,geographic
741457, Drymeitidos Diorux,,,geographic
736906, Epagathiane,,,geographic
736906, Epagathiane Diorux,,,geographic
599644, Eudonos,,,geographic
718023, Euthicu,,,geographic
718023, Euticu,,,geographic
776173, Exotero,,,geographic
776173, Exotero Oasis,,,geographic
678143, Galaaditis,,,geographic
678143, Galaditis,,,geographic
748962, Gerasa,,,geographic
609351, Germa,,,geographic
550577, Germe,,,geographic
554230, Gethone,,,geographic
554230, Getone,,,geographic
678163, Ginai,,,geographic
678163, Ginaia,,,geographic
355628, Halasit,,,geographic
550561, Halesion Pedion,,,geographic
511271, Heraion,,,geographic
511271, Heraion Teichos,,,geographic
741471, Hermoithou,,,geographic
741471, Hermoithou Diorux,,,geographic
599644, Heudonos,,,geographic
550577, Hiera Germe,,,geographic
845084, Hisaronu, Hisarönü,tr,geographic
550580, Hormoita,,,geographic
599663, Iasikos,,,geographic
599663, Iasios,,,geographic
550576, Iera,,,geographic
606311, Ipnous,,,geographic
606311, Ipnousia,,,geographic
550576, Ira,,,geographic
363951, Iscina,,,geographic
554246, Kambre,,,geographic
554246, Kame,,,geographic
599694, Karyanda,,,geographic
599694, Karyanda Neapolis,,,geographic
614695, Kelenoi,,,geographic
614695, Kellenoi,,,geographic
614699, Kikidassenos,,,geographic
614699, Kikidiassenos,,,geographic
550640, Kilbianoi,,,geographic
550641, Kilbianoi,,,geographic
550640, Kilbianoi Ano,,,geographic
550641, Kilbianoi Kato,,,geographic
678260, Korea,,,geographic
