provinceId,provinceName,chapter
PRO00001,Memoriae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00002,Epistolarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00003,Libellorum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00004,Urbis Romae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00005,Italiae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00006,Africae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00007,Hispaniarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00008,Septem provinciarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00009,Britanniarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00010,Tingitaniae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00011,Tractus Argentoratensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00012,Litoris Saxonici per Britannias,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00013,Venetiae et Histriae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00014,Aemiliae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00015,Liguriae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00016,Flaminiae et Piceni annonarii,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00017,Tusciae et Umbriae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00018,Piceni suburbicarii,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00019,Campaniae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00020,Siciliae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00021,Byzacii,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00022,Numidiae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00023,Baeticae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00024,Lusitaniae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00025,Callaeciae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00026,Viennensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00027,Lugdunensis primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00028,Germaniae primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00029,Germaniae secundae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00030,Belgicae primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00031,Belgicae secundae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00032,Maximae Caesariensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00033,Valentiae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00034,Apuliae et Calabriae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00035,Lucaniae et Brittiorum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00036,Dalmaticarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00037,Pannoniae primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00038,Norici mediterranei,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00039,Norici ripensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00040,Alpium Cottiarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00041,Raetiae primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00042,Raetiae secundae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00043,Samnii,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00044,Valeriae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00045,Saradiniae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00046,Corsicae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00047,Mauretaniae Sitifensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00048,Tripolitanae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00049,Tarraconensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00050,Carthagiensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00051,Insularum Balearum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00052,Alpum maritimarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00053,Alpium Poeninarum et Graiarum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00054,Maximae Sequanorum,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00055,Aquitanicae primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00056,Aquitanicae secundae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00057,Novempopulanae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00058,Narbonensis primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00059,Narbonensis secundae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00060,Lugdunensis secundae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00061,Lugdunensis tertiae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00062,Lugdunensis Senonicae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00063,Britanniae primae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00064,Britanniae secundae,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00065,Flaviae Caesariensis,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
PRO00066,Italia,Insignia viri illustris praefecti praetorio per Italias.
PRO00067,Illyricum,Insignia viri illustris praefecti praetorio per Italias.
PRO00068,Africa,Insignia viri illustris praefecti praetorio per Italias.
PRO00069,Venetiae,Insignia viri illustris praefecti praetorio per Italias.
PRO00070,Aemilae,Insignia viri illustris praefecti praetorio per Italias.
PRO00071,Apuliae et Campaniae,Insignia viri illustris praefecti praetorio per Italias.
PRO00072,Pannoniae secundae,Insignia viri illustris praefecti praetorio per Italias.
PRO00073,Saviae,Insignia viri illustris praefecti praetorio per Italias.
PRO00074,Dalmatiarum,Insignia viri illustris praefecti praetorio per Italias.
PRO00075,Byzacium,Insignia viri illustris praefecti praetorio per Italias.
PRO00076,Numidia,Insignia viri illustris praefecti praetorio per Italias.
PRO00077,Mauretaniae Caesariensis,Insignia viri illustris praefecti praetorio per Italias.
PRO00078,Tripolis,Insignia viri illustris praefecti praetorio per Italias.
PRO00079,Praefectus annonae Africae,Insignia viri illustris praefecti praetorio per Italias.
PRO00080,Praefectus fundorum patrimonialium,Insignia viri illustris praefecti praetorio per Italias.
PRO00081,Princeps,Insignia viri illustris praefecti praetorio per Italias.
PRO00082,Cornicularius,Insignia viri illustris praefecti praetorio per Italias.
PRO00083,Adiutor,Insignia viri illustris praefecti praetorio per Italias.
PRO00084,Commentariensis,Insignia viri illustris praefecti praetorio per Italias.
PRO00085,Ab actis,Insignia viri illustris praefecti praetorio per Italias.
PRO00086,Numerarii,Insignia viri illustris praefecti praetorio per Italias.
PRO00087,Subadiuuae,Insignia viri illustris praefecti praetorio per Italias.
PRO00088,Cura epistolarum,Insignia viri illustris praefecti praetorio per Italias.
PRO00089,Regerendarius,Insignia viri illustris praefecti praetorio per Italias.
PRO00090,Exceptores,Insignia viri illustris praefecti praetorio per Italias.
PRO00091,Adiutores,Insignia viri illustris praefecti praetorio per Italias.
PRO00092,Singularii,Insignia viri illustris praefecti praetorio per Italias.
PRO00093,Baetica,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00094,Lusitania,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00095,Callaecia,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00096,Carthaginensis,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00097,Tingitania,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00098,Baleares,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00099,Germania primae,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00100,Germania secundae,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00101,Belgica prima,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00102,Belgica secunda,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00103,Alpes maritimae,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00104,Alpes Poeninae et Graiae,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00105,Maxima Sequanorum,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00106,Aquitania prima,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00107,Aquitania secunda,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00108,Novem populi,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00109,Narbonensis prima,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00110,Narbonensis secunda,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00111,Lugdunensis secunda,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00112,Lugdunensis tertia,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00113,Lugdunensis Senonia,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00114,Maxima Caesariensis,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00115,Valentia,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00116,Britannia prima,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00117,Britannia decunda,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00118,Flavia Caesariensis,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00119,Primiscrinius,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00120,Regrendarius,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00121,Censuales,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00122,Nomenculatores,Sub dispositione viri illustris praefecti praetorio Galliarum dioceses infrascriptae:
PRO00123,Tripolitani,Insignia viri illustris magistri peditum.
PRO00124,Valeriae ripensis,Insignia viri illustris magistri peditum.
PRO00125,Pannoniae primae et Norici ripensis,Insignia viri illustris magistri peditum.
PRO00126,Raetiae primae et scundae,Insignia viri illustris magistri peditum.
PRO00127,Mogontiacensis,Insignia viri illustris magistri peditum.
PRO00128,Ioviani seniores,Insignia viri illustris magistri peditum.
PRO00129,Herculiani seniores,Insignia viri illustris magistri peditum.
PRO00130,Divitenses seniores,Insignia viri illustris magistri peditum.
PRO00131,Tongrecani seniores,Insignia viri illustris magistri peditum.
PRO00132,Pannoniciani seniores,Insignia viri illustris magistri peditum.
PRO00133,Moesiaci seniores,Insignia viri illustris magistri peditum.
PRO00134,Armigeri propugnatores seniores,Insignia viri illustris magistri peditum.
