provinceId,canonicalName,document,notitiaForms,sourceRefs,geoObjectIds,geojsonNames,geojsonDioceses,mappingType,status,note,evidenceUrl
P0001,Achaia,Oriens,Achaia,Oriens:213 | Oriens:658,22,ACHAIA,MOESIAE,DIRECT,MATCH,,
P0002,Aegyptus,Oriens,Aegyptus | Aegypti,Oriens:39 | Oriens:87 | Oriens:161 | Oriens:707,5,AEGYPTUS IOVIA,ORIENS,HISTORICAL_PARENT,APPROXIMATE,GeoJSON is the earlier Aegyptus Iovia.,
P0003,Aemilia,Occidens,Aemilia | Aemiliae | Aemilae,Occidentis:58 | Occidentis:136,77,AEMILIA ET LIGURIA,ITALIA,SHARED_GEOJSON,SHARED,,
P0004,Alpes Maritimae,Occidens,Alpes Maritimae | Alpum maritimarum | Alpes maritimae,Occidentis:111 | Occidentis:202,62,ALPES MARITIMAE,VIENNENSIS,DIRECT,MATCH,,
P0005,Alpes Poeninae et Graiae,Occidens,Alpes Poeninae et Graiae | Alpium Poeninarum et Graiarum,Occidentis:112 | Occidentis:203 | Occidentis:1026,75,ALPES GRAIAE ET POENINAE,GALLIAE,NAME_VARIANT,MATCH,,
P0006,Apulia et Calabria,Occidens,Apulia et Calabria | Apuliae et Calabriae | Apuliae et Campaniae,Occidentis:84 | Occidentis:143 | Occidentis:949,39,APULIA ET CALABRIA,ITALIA,DIRECT,MATCH,,
P0007,Aquitania Prima,Occidens,Aquitania Prima | Aquitanicae primae | Aquitania prima,Occidentis:114 | Occidentis:205 | Occidentis:1028,83,AQUITANIA I,VIENNENSIS,DIRECT,MATCH,,
P0008,Aquitania Secunda,Occidens,Aquitania Secunda | Aquitanicae secundae | Aquitania secunda,Occidentis:115 | Occidentis:206 | Occidentis:1029,84,AQUITANIA II,VIENNENSIS,DIRECT,MATCH,,
P0009,Arabia,Oriens,Arabia,Oriens:147 | Oriens:688,16,ARABIA,ORIENS,DIRECT,MATCH,,
P0010,Arcadia,Oriens,Arcadia | Arcadiae,Oriens:88 | Oriens:162 | Oriens:708,6,AEGYPTUS HERCULIA,ORIENS,HISTORICAL_PARENT,APPROXIMATE,Arcadia was created in the late 4th century from Augustamnica; GeoJSON AEGYPTUS HERCULIA is therefore an earlier parent boundary.,https://en.wikipedia.org/wiki/Arcadia_Aegypti
P0011,Armenia Prima,Oriens,Armenia Prima | Armeniae primae | Armenia prima,Oriens:112 | Oriens:182 | Oriens:755,64,ARMENIA MINOR,PONTICA,SHARED_GEOJSON,SHARED,,
P0012,Armenia Secunda,Oriens,Armenia Secunda | Armeniae secundae | Armenia secunda,Oriens:113 | Oriens:183 | Oriens:756,64,ARMENIA MINOR,PONTICA,SHARED_GEOJSON,SHARED,,
P0013,Baetica,Occidens,Baetica | Baeticae,Occidentis:69 | Occidentis:188 | Occidentis:994,25,BAETICA,HISPANIAE,DIRECT,MATCH,,
P0014,Baleares,Occidens,Baleares | Insularum Balearum,Occidentis:109 | Occidentis:194 | Occidentis:1001,48,CARTBAGINIENSIS,HISPANIAE,HISTORICAL_PARENT,APPROXIMATE,Late province split from Carthaginiensis.,
P0015,Belgica Prima,Occidens,Belgica Prima | Belgicae primae | Belgica prima,Occidentis:77 | Occidentis:200 | Occidentis:1022,92,BELGICA I,GALLIAE,DIRECT,MATCH,,
P0016,Belgica Secunda,Occidens,Belgica Secunda | Belgicae secundae | Belgica secunda,Occidentis:49 | Occidentis:78 | Occidentis:201 | Occidentis:286 | Occidentis:1023,94,BELGICA II,GALLIAE,DIRECT,MATCH,,
P0017,Bithynia,Oriens,Bithynia | Bithyniae,Oriens:73 | Oriens:176 | Oriens:746,54,BITHYNIA,PONTICA,DIRECT,MATCH,,
P0018,Britannia Prima,Occidens,Britannia Prima | Britanniae primae | Britannia prima,Occidentis:123 | Occidentis:216 | Occidentis:1055,96,BRITANNIAE I AND II,BRITTANIAE,COARSE_GEOJSON,APPROXIMATE,,
P0019,Britannia Secunda,Occidens,Britannia Secunda | Britanniae secundae | Britannia decunda,Occidentis:124 | Occidentis:217 | Occidentis:1056,96,BRITANNIAE I AND II,BRITTANIAE,COARSE_GEOJSON,APPROXIMATE,,
P0020,Byzacium,Occidens,Byzacium | Byzacii,Occidentis:66 | Occidentis:160 | Occidentis:972,7,BYZACENA,AFRICA,NAME_VARIANT,MATCH,,
P0021,Callaecia,Occidens,Callaecia | Callaeciae,Occidentis:71 | Occidentis:190 | Occidentis:996,69,GALLAECIA,HISPANIAE,NAME_VARIANT,MATCH,,
P0022,Campania,Occidens,Campania | Campaniae,Occidentis:63 | Occidentis:141 | Occidentis:944,35,CAMPANIA,ITALIA,DIRECT,MATCH,,
P0023,Cappadocia Prima,Oriens,Cappadocia Prima | Cappadociae primae | Cappadocia prima,Oriens:108 | Oriens:178 | Oriens:751,51,CAPPADOCIA,PONTICA,SHARED_GEOJSON,SHARED,,
P0024,Cappadocia Secunda,Oriens,Cappadocia Secunda | Cappadociae secundae | Cappadocia secunda,Oriens:109 | Oriens:179 | Oriens:752,51,CAPPADOCIA,PONTICA,SHARED_GEOJSON,SHARED,,
P0025,Caria,Oriens,Caria | Cariae,Oriens:104 | Oriens:172 | Oriens:726,23,CARIA,ASIANA,DIRECT,MATCH,,
P0026,Carthaginiensis,Occidens,Carthaginiensis | Carthagiensis | Carthaginensis,Occidentis:107 | Occidentis:192 | Occidentis:999,48,CARTBAGINIENSIS,HISPANIAE,NAME_VARIANT,MATCH,GeoJSON uses CARTBAGINIENSIS.,
P0027,Cilicia,Oriens,Cilicia | Ciliciae,Oriens:65 | Oriens:145 | Oriens:678,38,CILICIA,ORIENS,DIRECT,MATCH,,
P0028,Cilicia Secunda,Oriens,Cilicia Secunda | Ciliciae secundae | Cilicia secunda,Oriens:97 | Oriens:156 | Oriens:686,38,CILICIA,ORIENS,SHARED_GEOJSON,SHARED,,
P0029,Corsica,Occidens,Corsica | Corsicae,Occidentis:101 | Occidentis:151 | Occidentis:954,46,CORSICA,ITALIA,DIRECT,MATCH,,
P0030,Creta,Oriens,Creta | Cretae,Oriens:78 | Oriens:215,9,CRETA,MOESIAE,DIRECT,MATCH,,
P0031,Cyprus,Oriens,Cyprus | Cypri,Oriens:66 | Oriens:146 | Oriens:677,21,CYPRUS,ORIENS,DIRECT,MATCH,,
P0032,Dacia Mediterranea,Oriens,Dacia Mediterranea | Daciae mediterraneae | Dacia mediterranea,Oriens:80 | Oriens:220,58,DACIA MEDITERRANEA,MOESIAE,DIRECT,MATCH,,
P0033,Dacia Ripensis,Oriens,Dacia Ripensis | Daciae ripensis | Dacia ripensis,Oriens:58 | Oriens:124 | Oriens:221,71,DACIA RIPENSIS,MOESIAE,DIRECT,MATCH,,
P0034,Dalmatia,Occidens,Dalmatia | Dalmaticarum | Dalmatiarum,Occidentis:90 | Occidentis:155,72,DALMATIA,PANNONIAE,DIRECT,MATCH,,
P0035,Dardania,Oriens,Dardania | Dardaniae,Oriens:127 | Oriens:223,53,DARDANIA,MOESIAE,DIRECT,MATCH,,
P0036,Epirus Nova,Oriens,Epirus Nova | Epiri nouae | Epirus noua et pars Macedoniae salutaris,Oriens:123 | Oriens:218,42,EPIRUS NOVA,MOESIAE,DIRECT,MATCH,,
P0037,Epirus Vetus,Oriens,Epirus Vetus | Epiri ueteris | Epirus uetus,Oriens:122 | Oriens:217,28,EPIRUS VETUS,MOESIAE,DIRECT,MATCH,,
P0038,Euphratensis,Oriens,Euphratensis | Eufratensis,Oriens:93 | Oriens:152 | Oriens:682,41,AUGUSTA EUPHRATENSIS,ORIENS,NAME_VARIANT,MATCH,,
P0039,Europa,Oriens,Europa | Europae,Oriens:75 | Oriens:186 | Oriens:771,52,EUROPA,THRACIA,DIRECT,MATCH,,
P0040,Flaminia et Picenum Annonarium,Occidens,Flaminia et Picenum Annonarium | Flaminiae et Piceni annonarii,Occidentis:60 | Occidentis:138,55,FLAMINIA ET PICENUM,ITALIA,SHARED_GEOJSON,SHARED,,
P0041,Flavia Caesariensis,Occidens,Flavia Caesariensis | Flaviae Caesariensis,Occidentis:125 | Occidentis:218 | Occidentis:1057,96,BRITANNIAE I AND II,BRITTANIAE,COARSE_GEOJSON,APPROXIMATE,,
P0042,Foenice,Oriens,Foenice | Foenicis,Oriens:46 | Oriens:63 | Oriens:143 | Oriens:675,19,PHOENICE,ORIENS,NAME_VARIANT,MATCH,,
P0043,Foenice Libani,Oriens,Foenice Libani | Foenicis Libani,Oriens:92 | Oriens:151 | Oriens:681,20,AUGUSTA LIBANENSIS,ORIENS,NAME_VARIANT,MATCH,,
P0044,Galatia,Oriens,Galatia | Galatiae,Oriens:72 | Oriens:175 | Oriens:747,49,GALATIA,PONTICA,DIRECT,MATCH,,
P0045,Galatia Salutaris,Oriens,Galatia Salutaris | Galatiae salutaris | Galatia salutaris,Oriens:114 | Oriens:184 | Oriens:750,49,GALATIA,PONTICA,SHARED_GEOJSON,SHARED,,
P0046,Germania Prima,Occidens,Germania Prima | Germaniae primae | Germania primae,Occidentis:50 | Occidentis:75 | Occidentis:198 | Occidentis:287 | Occidentis:1020,93,GERMANIA I,GALLIAE,NAME_VARIANT,MATCH,,
P0047,Germania Secunda,Occidens,Germania Secunda | Germaniae secundae | Germania secundae,Occidentis:76 | Occidentis:199,95,GERMANIA II,GALLIAE,NAME_VARIANT,MATCH,,
P0048,Haemimontus,Oriens,Haemimontus | Haemimonti,Oriens:116 | Oriens:188 | Oriens:773,59,HAEMIMONTUS,THRACIA,DIRECT,MATCH,,
P0049,Helenopontus,Oriens,Helenopontus | Helenoponti,Oriens:110 | Oriens:181 | Oriens:753,68,DIOSPONTUS,PONTICA,HISTORICAL_RENAME,MATCH,Diospontus was later called Helenopontus.,
P0050,Hellespontus,Oriens,Hellespontus | Hellesponti,Oriens:69 | Oriens:165 | Oriens:642,97,HELLESPONTUS,ASIANA,DIRECT,MATCH,,
P0051,Honorias,Oriens,Honorias | Honoriados,Oriens:107 | Oriens:177 | Oriens:749,54,BITHYNIA,PONTICA,REPRESENTATIVE_GEOJSON,APPROXIMATE,"No exact ca. 303-324 polygon exists for Honorias. Use GeoJSON BITHYNIA as the representative boundary because Claudiopolis, the capital of Honorias, lies inside it; Honorias also incorporated territory from Paphlagonia.",https://en.wikipedia.org/wiki/Honorias
P0052,Insulae,Oriens,Insulae | Insularum,Oriens:105 | Oriens:173 | Oriens:641,17,INSULAE,ASIANA,DIRECT,MATCH,,
P0053,Isauria,Oriens,Isauria,Oriens:148 | Oriens:687,27,ISAURIA,ORIENS,DIRECT,MATCH,,
P0054,Libya Inferior,Oriens,Libya Inferior | Libyae inferioris | Libya inferior,Oriens:85 | Oriens:159 | Oriens:705,2,LIBYA INFERIOR,ORIENS,DIRECT,MATCH,,
P0055,Libya Superior,Oriens,Libya Superior | Libyae superioris | Libya superior,Oriens:84 | Oriens:158 | Oriens:704,3,LIBYA SUPERIOR,ORIENS,DIRECT,MATCH,,
P0056,Liguria,Occidens,Liguria | Liguriae,Occidentis:59 | Occidentis:137,77,AEMILIA ET LIGURIA,ITALIA,SHARED_GEOJSON,SHARED,,
P0057,Lucania et Bruttii,Occidens,Lucania et Bruttii | Lucaniae et Brittiorum,Occidentis:85 | Occidentis:144,31,LUCANIA ET BRUTTII,ITALIA,NAME_VARIANT,MATCH,,
P0058,Lugdunensis Prima,Occidens,Lugdunensis Prima | Lugdunensis primae,Occidentis:74 | Occidentis:197,87,LUGDUNENSIS I,GALLIAE,NAME_VARIANT,MATCH,,
P0059,Lugdunensis Secunda,Occidens,Lugdunensis Secunda | Lugdunensis secundae | Lugdunensis secunda,Occidentis:119 | Occidentis:210 | Occidentis:1033,91,LUGDUNENSIS II,GALLIAE,NAME_VARIANT,MATCH,,
P0060,Lugdunensis Senonia,Occidens,Lugdunensis Senonia | Lugdunensis Senonicae,Occidentis:121 | Occidentis:212,87,LUGDUNENSIS I,GALLIAE,HISTORICAL_PARENT,APPROXIMATE,Later split from Lugdunensis I.,
P0061,Lugdunensis Tertia,Occidens,Lugdunensis Tertia | Lugdunensis tertiae | Lugdunensis tertia,Occidentis:120 | Occidentis:211 | Occidentis:1034,91,LUGDUNENSIS II,GALLIAE,HISTORICAL_PARENT,APPROXIMATE,Later split from Lugdunensis II.,
P0062,Lusitania,Occidens,Lusitania | Lusitaniae,Occidentis:70 | Occidentis:189 | Occidentis:995,43,LUSITANIA,HISPANIAE,DIRECT,MATCH,,
P0063,Lycaonia,Oriens,Lycaonia | Lycaoniae,Oriens:100 | Oriens:168,33,PISIDIA,ASIANA,REPRESENTATIVE_GEOJSON,APPROXIMATE,"No exact ca. 303-324 polygon exists for Lycaonia. Use GeoJSON PISIDIA as the representative boundary because Iconium, the capital of the later province, lies inside it. The later province also absorbed territory from Isauria.",https://resolve.cambridge.org/core/journals/journal-of-roman-studies/article/studies-in-the-roman-province-galatia/EB43C6668EFFEDDA932A7A0BB14C1DFF
P0064,Lycia,Oriens,Lycia | Lyciae,Oriens:103 | Oriens:171 | Oriens:727,24,LYCIA ET PAMPHYLIA,ASIANA,SHARED_GEOJSON,SHARED,,
P0065,Lydia,Oriens,Lydia | Lydiae,Oriens:70 | Oriens:166 | Oriens:725,32,LYDIA,ASIANA,DIRECT,MATCH,,
P0066,Macedonia,Oriens,Macedonia | Macedoniae,Oriens:37 | Oriens:79 | Oriens:210 | Oriens:214,44,MACEDONIA,MOESIAE,DIRECT,MATCH,,
P0067,Macedonia Salutaris,Oriens,Macedonia Salutaris | Macedoniae salutaris,Oriens:128,42 | 50,EPIRUS NOVA | PRAEVALITANA,MOESIAE,NOTITIA_SUCCESSORS,APPROXIMATE,Notitia III says its territory is divided between Epirus Nova and Praevalitana.,
P0068,Mauretania Caesariensis,Occidens,Mauretania Caesariensis | Mauretaniae Caesariensis,Occidentis:163 | Occidentis:280,12,MAURETANIA CAESARIENSIS,AFRICA,DIRECT,MATCH,,
P0069,Mauretania Sitifensis,Occidens,Mauretania Sitifensis | Mauretaniae Sitifensis,Occidentis:103 | Occidentis:162,10,MAURETANIA SITIFENSIS,AFRICA,DIRECT,MATCH,,
P0070,Maxima Caesariensis,Occidens,Maxima Caesariensis | Maximae Caesariensis,Occidentis:80 | Occidentis:214 | Occidentis:1052,96,BRITANNIAE I AND II,BRITTANIAE,COARSE_GEOJSON,APPROXIMATE,,
P0071,Maxima Sequanorum,Occidens,Maxima Sequanorum | Maximae Sequanorum,Occidentis:113 | Occidentis:204 | Occidentis:1027,88,SEQUANIA,GALLIAE,NAME_VARIANT,MATCH,,
P0072,Mesopotamia,Oriens,Mesopotamia | Mesopotamiae,Oriens:50 | Oriens:96 | Oriens:155 | Oriens:685,45,MESOPOTAMIA,ORIENS,DIRECT,MATCH,,
P0073,Moesia Prima,Oriens,Moesia Prima | Moesiae primae | Moesia prima,Oriens:59 | Oriens:125 | Oriens:222,70,MOESIA SUPERIOR,MOESIAE,HISTORICAL_PARENT,APPROXIMATE,,
P0074,Moesia Secunda,Oriens,Moesia Secunda | Moesiae secundae | Moesia secunda,Oriens:55 | Oriens:118 | Oriens:190 | Oriens:775,74,MOESIA INFERIOR,THRACIA,HISTORICAL_PARENT,APPROXIMATE,,
P0075,Noricum Mediterraneum,Occidens,Noricum Mediterraneum | Norici mediterranei,Occidentis:92 | Occidentis:157,82,NORICUM MEDITERRANEUM,PANNONIAE,DIRECT,MATCH,,
P0076,Noricum Ripense,Occidens,Noricum Ripense | Norici ripensis,Occidentis:93 | Occidentis:158,89,NORICUM RIPENSE,PANNONIAE,DIRECT,MATCH,,
P0077,Novempopulana,Occidens,Novempopulana | Novempopulanae | Novem populi,Occidentis:116 | Occidentis:207 | Occidentis:1030,66,NOVEM POPULI,VIENNENSIS,NAME_VARIANT,MATCH,,
P0078,Numidia,Occidens,Numidia | Numidiae,Occidentis:67 | Occidentis:161 | Occidentis:973,13 | 8,NUMIDIA CIRTENSIS | NUMIDIA MILITIANA,AFRICA,MULTI_GEOJSON,MULTI,GeoJSON splits Numidia into two polygons.,
P0079,Osrhoena,Oriens,Osrhoena | Osroehenae,Oriens:95 | Oriens:154 | Oriens:684,37,OSRHOENE,ORIENS,NAME_VARIANT,MATCH,,
P0080,Palaestina,Oriens,Palaestina | Palaestinae,Oriens:48 | Oriens:62 | Oriens:142,11,PALAESTINA,ORIENS,DIRECT,MATCH,,
P0081,Palaestina Salutaris,Oriens,Palaestina Salutaris | Palaestinae salutaris | Palaestina salutaris,Oriens:90 | Oriens:149,11,PALAESTINA,ORIENS,REPRESENTATIVE_GEOJSON,APPROXIMATE,Use GeoJSON PALAESTINA only. The ca. 303-324 PALAESTINA polygon already contains Petra and the southern territory transferred from Arabia before Palaestina Salutaris was later separated.,https://www.persee.fr/doc/syria_0039-7946_1980_num_57_2_6705
P0082,Palaestina Secunda,Oriens,Palaestina Secunda | Palaestinae secundae | Palaestina secunda,Oriens:91 | Oriens:150,11,PALAESTINA,ORIENS,SHARED_GEOJSON,SHARED,,
P0083,Pamphylia,Oriens,Pamphylia | Pamfyliae | Pamfylia,Oriens:68 | Oriens:164 | Oriens:724,24,LYCIA ET PAMPHYLIA,ASIANA,SHARED_GEOJSON,SHARED,,
P0084,Pannonia Prima,Occidens,Pannonia Prima | Pannoniae primae,Occidentis:91 | Occidentis:156,86,PANNONIA SUPERIOR,PANNONIAE,HISTORICAL_PARENT,APPROXIMATE,,
P0085,Pannonia Secunda,Occidens,Pannonia Secunda | Pannoniae secundae,Occidentis:44 | Occidentis:153 | Occidentis:282,76,PANNONIA INFERIOR,PANNONIAE,HISTORICAL_PARENT,APPROXIMATE,,
