gisProvince,canonicalName,geojsonId,notitiaMatch,status
ACHAIA,ACHAIA,22,Achaia,MATCH
ACHAIA,ACHAIA,22,Achaiae,MATCH
AEMILIA ET LIGURIA,AEMILIA ET LIGURIA,77,Liguriae,MATCH
ALPES GRAIAE ET POENINAE,ALPES GRAIAE ET POENINAE,75,Alpium Poeninarum et Graiarum,MATCH
ALPES MARITIMAE,ALPES MARITIMAE,62,Alpium maritimarum,MATCH
APULIA ET CALABRIA,APULIA ET CALABRIA,39,Apuliae et Calabriae,MATCH
AQUITANIA I,AQUITANIA I,83,Aquitanicae primae,MATCH
AQUITANIA II,AQUITANIA II,84,Aquitanicae secundae,MATCH
ARABIA,ARABIA,16,Arabia,MATCH
ARABIA,ARABIA,16,Arabiae,MATCH
ASIA,ASIA,30,Asiae,MATCH
BAETICA,BAETICA,25,Baetica,MATCH
BAETICA,BAETICA,25,Baeticae,MATCH
BELGICA I,BELGICA I,92,Belgicae primae,MATCH
BELGICA II,BELGICA II,94,Belgicae secundae,MATCH
BITHYNIA,BITHYNIA,54,Bithynia,MATCH
BITHYNIA,BITHYNIA,54,Bithyniae,MATCH
BYZACENA,BYZACENA,7,Byzacii,MATCH
CAMPANIA,CAMPANIA,35,Campaniae,MATCH
CARIA,CARIA,23,Caria,MATCH
CARIA,CARIA,23,Cariae,MATCH
CILICIA,CILICIA,38,Cilicia,MATCH
CILICIA,CILICIA,38,Ciliciae,MATCH
CORSICA,CORSICA,46,Corsicae,MATCH
CRETA,CRETA,9,Cretae,MATCH
CYPRUS,CYPRUS,21,Cypri,MATCH
DACIA MEDITERRANEA,DACIA MEDITERRANEA,58,Dacia mediterranea,MATCH
DACIA MEDITERRANEA,DACIA MEDITERRANEA,58,Daciae mediterraneae,MATCH
DACIA RIPENSIS,DACIA RIPENSIS,71,Dacia ripensis,MATCH
DACIA RIPENSIS,DACIA RIPENSIS,71,Daciae ripensis,MATCH
DARDANIA,DARDANIA,53,Dardania,MATCH
DARDANIA,DARDANIA,53,Dardaniae,MATCH
EPIRUS NOVA,EPIRUS NOVA,42,Epiri nouae,MATCH
EPIRUS VETUS,EPIRUS VETUS,28,Epiri ueteris,MATCH
EUROPA,EUROPA,52,Europa,MATCH
EUROPA,EUROPA,52,Europae,MATCH
FLAMINIA ET PICENUM,FLAMINIA ET PICENUM,55,Flaminiae et Piceni annonarii,MATCH
GALATIA,GALATIA,49,Galatia,MATCH
GALATIA,GALATIA,49,Galatiae,MATCH
GALLAECIA,GALLAECIA,69,Callaeciae,MATCH
GERMANIA I,GERMANIA I,93,Germaniae primae,MATCH
GERMANIA II,GERMANIA II,95,Germaniae secundae,MATCH
HAEMIMONTUS,HAEMIMONTUS,59,Haemimonti,MATCH
HAEMIMONTUS,HAEMIMONTUS,59,Haemimontus,MATCH
HELLESPONTUS,HELLESPONTUS,97,Hellespontus,MATCH
INSULAE,INSULAE,17,Insularum,MATCH
ISAURIA,ISAURIA,27,Isauria,MATCH
ISAURIA,ISAURIA,27,Isauriae,MATCH
LIBYA INFERIOR,LIBYA INFERIOR,2,Libya inferior,MATCH
LIBYA INFERIOR,LIBYA INFERIOR,2,Libyae inferioris,MATCH
LIBYA SUPERIOR,LIBYA SUPERIOR,3,Libya superior,MATCH
LIBYA SUPERIOR,LIBYA SUPERIOR,3,Libyae superioris,MATCH
LUCANIA ET BRUTTII,LUCANIA ET BRUTTII,31,Lucaniae et Brittiorum,MATCH
LUGDUNENSIS I,LUGDUNENSIS I,87,Lugdunensis primae,MATCH
LUGDUNENSIS II,LUGDUNENSIS II,91,Lugdunensis secundae,MATCH
LUSITANIA,LUSITANIA,43,Lusitania,MATCH
LUSITANIA,LUSITANIA,43,Lusitaniae,MATCH
LYDIA,LYDIA,32,Lydia,MATCH
LYDIA,LYDIA,32,Lydiae,MATCH
MACEDONIA,MACEDONIA,44,Macedonia,MATCH
MACEDONIA,MACEDONIA,44,Macedoniae,MATCH
MESOPOTAMIA,MESOPOTAMIA,45,Mesopotamia,MATCH
MESOPOTAMIA,MESOPOTAMIA,45,Mesopotamiae,MATCH
NARBONENSIS I,NARBONENSIS I,63,Narbonensis primae,MATCH
NARBONENSIS II,NARBONENSIS II,56,Narbonensis secundae,MATCH
NOVEM POPULI,NOVEM POPULI,66,Novempopulanae,MATCH
OSRHOENE,OSRHOENE,37,Osrhoena,MATCH
OSRHOENE,OSRHOENE,37,Osrhoenae,MATCH
OSRHOENE,OSRHOENE,37,Osroehenae,MATCH
PALAESTINA,PALAESTINA,11,Palaestina,MATCH
PALAESTINA,PALAESTINA,11,Palaestinae,MATCH
PAPHLAGONIA,PAPHLAGONIA,65,Paflagoniae,MATCH
PHOENICE,PHOENICE,19,Foenice,MATCH
PHOENICE,PHOENICE,19,Foenicis,MATCH
PISIDIA,PISIDIA,33,Pisidia,MATCH
PISIDIA,PISIDIA,33,Pisidiae,MATCH
PONTUS POLEMONIACUS,PONTUS POLEMONIACUS,73,Ponti Polemoniaci,MATCH
PONTUS POLEMONIACUS,PONTUS POLEMONIACUS,73,Pontus Polemoniacus,MATCH
PRAEVALITANA,PRAEVALITANA,50,Praeualitanae,MATCH
RHODOPE,RHODOPE,47,Rhodopa,MATCH
RHODOPE,RHODOPE,47,Rhodopae,MATCH
SARDINIA,SARDINIA,34,Saradiniae,MATCH
SAVIA,SAVIA,79,Saviae,MATCH
SCYTHIA,SCYTHIA,81,Scythia,MATCH
SCYTHIA,SCYTHIA,81,Scythiae,MATCH
SEQUANIA,SEQUANIA,88,Maximae Sequanorum,MATCH
SICILIA,SICILIA,18,Siciliae,MATCH
THEBAIS,THEBAIS,1,Thebaidos,MATCH
THEBAIS,THEBAIS,1,Thebais,MATCH
THESSALIA,THESSALIA,29,Thessaliae,MATCH
THRACIA,THRACIA,57,Thracia,MATCH
THRACIA,THRACIA,57,Thraciae,MATCH
TRIPOLITANA,TRIPOLITANA,4,Tripolitanae,MATCH
TUSCIA ET UMBRIA,TUSCIA ET UMBRIA,60,Tusciae et Umbriae,MATCH
VALERIA,VALERIA,85,Valeriae,MATCH
VENETIA ET HISTRIA,VENETIA ET HISTRIA,80,Venetiae et Histriae,MATCH
VIENNENSIS,VIENNENSIS,78,Viennensis,MATCH
VENETIA ET HISTRIA,VENETIA ET HISTRIA,80,Venetiae,MATCH
AEMILIA ET LIGURIA,AEMILIA ET LIGURIA,77,Aemilae,MATCH
ALPES COTTIAE,ALPES COTTIAE,67,Alpium Cottiarum,MATCH
RAETIA,RAETIA,90,Raetiae primae,MATCH
RAETIA,RAETIA,90,Raetiae secundae,MATCH
PANNONIA INFERIOR,PANNONIA INFERIOR,76,Pannoniae secundae,MATCH
DALMATIA,DALMATIA,72,Dalmatiarum,MATCH
PANNONIA SUPERIOR,PANNONIA SUPERIOR,86,Pannoniae primae,MATCH
NORICUM MEDITERRANEUM,NORICUM MEDITERRANEUM,82,Norici mediterranei,MATCH
NORICUM RIPENSE,NORICUM RIPENSE,89,Norici ripensis,MATCH
BYZACENA,BYZACENA,7,Byzacium,MATCH
MAURETANIA SITIFENSIS,MAURETANIA SITIFENSIS,10,Mauretaniae Sitifensis,MATCH
MAURETANIA CAESARIENSIS,MAURETANIA CAESARIENSIS,12,Mauretaniae Caesariensis,MATCH
TRIPOLITANA,TRIPOLITANA,4,Tripolis,MATCH
GALLAECIA,GALLAECIA,69,Callaecia,MATCH
TARRACONENSIS,TARRACONENSIS,61,Tarraconensis,MATCH
CARTBAGINIENSIS,CARTBAGINIENSIS,48,Carthaginensis,MATCH
MAURETANIA TINGITANA,MAURETANIA TINGITANA,14,Tingitania,MATCH
GERMANIA I,GERMANIA I,93,Germania primae,MATCH
GERMANIA II,GERMANIA II,95,Germania secundae,MATCH
BELGICA I,BELGICA I,92,Belgica prima,MATCH
BELGICA II,BELGICA II,94,Belgica secunda,MATCH
ALPES MARITIMAE,ALPES MARITIMAE,62,Alpes maritimae,MATCH
ALPES GRAIAE ET POENINAE,ALPES GRAIAE ET POENINAE,75,Alpes Poeninae et Graiae,MATCH
SEQUANIA,SEQUANIA,88,Maxima Sequanorum,MATCH
AQUITANIA I,AQUITANIA I,83,Aquitania prima,MATCH
AQUITANIA II,AQUITANIA II,84,Aquitania secunda,MATCH
NOVEM POPULI,NOVEM POPULI,66,Novem populi,MATCH
NARBONENSIS I,NARBONENSIS I,63,Narbonensis prima,MATCH
NARBONENSIS II,NARBONENSIS II,56,Narbonensis secunda,MATCH
LUGDUNENSIS II,LUGDUNENSIS II,91,Lugdunensis secunda,MATCH
CYPRUS,CYPRUS,21,Cyprus,MATCH
ARABIA,ARABIA,16,Arabia [et dux et comes rei militaris],MATCH
PALAESTINA,PALAESTINA,11,Palaestina salutaris,MATCH
PALAESTINA,PALAESTINA,11,Palaestina secunda,MATCH
AUGUSTA LIBANENSIS,AUGUSTA LIBANENSIS,20,Foenice Libani,MATCH
AUGUSTA EUPHRATENSIS,AUGUSTA EUPHRATENSIS,41,Eufratensis,MATCH
CILICIA,CILICIA,38,Cilicia secunda,MATCH
LYCIA ET PAMPHYLIA,LYCIA ET PAMPHYLIA,24,Pamfylia,MATCH
PHRYGIA I,PHRYGIA I,36,Frygia Pacatiana,MATCH
PHRYGIA II,PHRYGIA II,40,Frygia salutaris,MATCH
LYCIA ET PAMPHYLIA,LYCIA ET PAMPHYLIA,24,Lycia,MATCH
INSULAE,INSULAE,17,Insulae,MATCH
CAPPADOCIA,CAPPADOCIA,51,Cappadocia prima,MATCH
CAPPADOCIA,CAPPADOCIA,51,Cappadocia secunda,MATCH
DIOSPONTUS,DIOSPONTUS,68,Helenopontus,MATCH
ARMENIA MINOR,ARMENIA MINOR,64,Armenia prima,MATCH
ARMENIA MINOR,ARMENIA MINOR,64,Armenia secunda,MATCH
GALATIA,GALATIA,49,Galatia salutaris,MATCH
MOESIA INFERIOR,MOESIA INFERIOR,74,Moesia secunda,MATCH
CRETA,CRETA,9,Creta,MATCH
THESSALIA,THESSALIA,29,Thessalia,MATCH
EPIRUS VETUS,EPIRUS VETUS,28,Epirus uetus,MATCH
EPIRUS NOVA,EPIRUS NOVA,42,Epirus noua et pars Macedoniae salutaris,MATCH
MOESIA SUPERIOR,MOESIA SUPERIOR,70,Moesia prima,MATCH
PRAEVALITANA,PRAEVALITANA,50,Praeualitana et pars Macedoniae salutaris,MATCH
BRITANNIAE I AND II,BRITANNIAE I AND II,96,Britannia prima,MATCH
BRITANNIAE I AND II,BRITANNIAE I AND II,96,Britannia decunda,MATCH
