sourceLine,provinceName,rank,score,method,pleiadesId,pleiadesTitle,matchedName,placeTypes,description
1756,Aegypti,1,1.000,NORMALIZED,766,Aegyptus,Aegyptus,province | region,The Roman province of Egypt (Aegyptus) was established in 30 BC after the defeat of Marcus Antonius and Cleopatra VII at the Battle of Actium.
1756,Aegypti,2,1.000,NORMALIZED,981503,Aegyptus,Aegyptus,province,"An ancient place, cited: BAtlas 100 M6 Aegyptus"
1756,Aegypti,3,0.750,SIMILAR,216694,Aegyssus,Aegyssus,fort,"An ancient place, cited: BAtlas 22 F3 Aegyssus"
1756,Aegypti,4,0.750,SIMILAR,1001943,Aigyptos,Aigyptos,province,"An ancient place, cited: BAtlas 102 F5 no. 57 (Aigyptos)"
1756,Aegypti,5,0.727,SIMILAR,991387,Aegyptus Iovia,Aegyptus Iovia,province,"An ancient place, cited: BAtlas 101 M5 Aegyptus Iovia"
60,Aemiliae,1,1.000,NORMALIZED,393372,Aemilia,Aemilia,unknown,"An ancient place, cited: BAtlas 40 A3 Aemilia"
60,Aemiliae,2,1.000,NORMALIZED,814891878,tribus Aemilia,Aemilia,unlocated | tribus,The tribus Aemilia is counted among the twenty-one oldest rural tribes of Rome. Its location is uncertain. 
60,Aemiliae,3,0.857,SIMILAR,752122699,tribus Camilia,Camilia,tribus,The tribus Camilia is one of the sixteen oldest rural tribes of Rome.
60,Aemiliae,4,0.857,SIMILAR,324657,Aeliae?,Aeliae,settlement,"An ancient place, cited: BAtlas 33 F2 Aeliae?"
60,Aemiliae,5,0.833,SIMILAR,845019,Milia,Milia,station,"An ancient place, cited: BAtlas 86 B3 Milia"
97,Alpium Cottiarum,1,0.880,SIMILAR,167743,Druantium/*Alpis Cottia/Summae Alpes,Alpis Cottia,settlement,"An ancient place, cited: BAtlas 17 H4 Druantium/*Alpis Cottia/Summae Alpes"
97,Alpium Cottiarum,2,0.769,SIMILAR,167636,Alpes Cottiae,Alpes Cottiae,mountain,Alpes Cottiae (Cottian Alps) are a mountain range located the southwestern part of the Alps. They take their name from Marcus Julius Cottius.
97,Alpium Cottiarum,3,0.769,SIMILAR,982258,Alpes Cottiae,Alpes Cottiae,province,"An ancient place, cited: BAtlas 100 H3 no. 2 (Alpes Cottiae)"
97,Alpium Cottiarum,4,0.710,SIMILAR,157940,Tropaeum Augusti/Alpium Tropaeum/Alpis Summa/Alpis Maritima,Alpium Tropaeum,monument,"A victory monument built by Augustus (5 B.C.) to commemorate the subjugation of the tribes of the western Alps. The Romans considered the spot to be ""In Alpe Maritima""."
113,Alpum maritimarum,1,0.857,SIMILAR,157940,Tropaeum Augusti/Alpium Tropaeum/Alpis Summa/Alpis Maritima,Alpis Maritima,monument,"A victory monument built by Augustus (5 B.C.) to commemorate the subjugation of the tribes of the western Alps. The Romans considered the spot to be ""In Alpe Maritima""."
113,Alpum maritimarum,2,0.828,SIMILAR,157806,Alpes Maritimae,Alpes Maritimae,province | region,"An ancient place, cited: BAtlas 16 B1 Alpes Maritimae"
113,Alpum maritimarum,3,0.828,SIMILAR,982259,Alpes Maritimae,Alpes Maritimae,province,"An ancient place, cited: BAtlas 100 H3 no. 3 (Alpes Maritimae)"
113,Alpum maritimarum,4,0.727,SIMILAR,148125,Maritima,Maritima,settlement,"An ancient place, cited: BAtlas 15 E3 Maritima"
113,Alpum maritimarum,5,0.727,SIMILAR,462243,Hiera/Maritima Ins.,Maritima,island,The second largest of the Aegadian Islands.
1720,Arabiae,1,1.000,NORMALIZED,29475,Arabia,Arabia,unknown,"An ancient place, cited: BAtlas 3 D4 Arabia"
1720,Arabiae,2,1.000,NORMALIZED,912809,Arabia,Arabia,region,"An ancient place, cited: BAtlas 93 B4 Arabia"
1720,Arabiae,3,1.000,NORMALIZED,756537,Arabia,Arabia,labeled feature,"An ancient place, cited: BAtlas 77 F2 Arabia"
1720,Arabiae,4,1.000,NORMALIZED,874334,Arabia,Arabia,unknown,"An ancient place, cited: BAtlas 89 B3 Arabia"
1720,Arabiae,5,1.000,NORMALIZED,981506,Arabia,Arabia,province,"An ancient place, cited: BAtlas 100 N6 Arabia"
1757,Arcadiae,1,1.000,NORMALIZED,570102,Arcadia,Arcadia,region,The ancient region of Arcadia comprised the highlands at the center of the Peloponnese.
1757,Arcadiae,2,0.857,SIMILAR,589710,Arkades,Arkadia,settlement,"An ancient place, cited: BAtlas 60 D2 Arkades"
1757,Arcadiae,3,0.857,SIMILAR,59702,Arigaion/Acadira,Acadira,settlement,"An ancient place, cited: BAtlas 6 C3 Arigaion/Acadira"
1757,Arcadiae,4,0.857,SIMILAR,442433,Accadia,Accadia,settlement,"An ancient place, cited: BAtlas 45 B2 Accadia"
1757,Arcadiae,5,0.857,SIMILAR,536062,Arkadia,Arkadia,unlocated,"An ancient place, cited: BAtlas 54 unlocated Arkadia"
1722,Armeniae,1,1.000,NORMALIZED,874350,Armenia,Armenia,region,A plateau region between the Black and Caspian Seas
1722,Armeniae,2,1.000,NORMALIZED,981507,Armenia,Armenia,province,"An ancient place, cited: BAtlas 100 Q4 Armenia"
1722,Armeniae,3,0.933,SIMILAR,422971,Marmenia,Marmenia,villa,"An ancient place, cited: BAtlas 43 C2 Marmenia"
1722,Armeniae,4,0.875,SIMILAR,1001926,Armenia I,Armenia I,province,"An ancient place, cited: BAtlas 102 G4 no. 40 (Armenia I)"
1722,Armeniae,5,0.857,SIMILAR,844865,Armene,Armene,settlement,"An ancient place, cited: BAtlas 86 F1 Armene"
1781,Armeniae primae,1,0.897,SIMILAR,876570,Armeniae Pylae,Armeniae Pylae,unlocated,"An ancient place, cited: BAtlas 89 unlocated Armeniae Pylae"
1781,Armeniae primae,2,0.783,SIMILAR,1001926,Armenia I,Armenia I,province,"An ancient place, cited: BAtlas 102 G4 no. 40 (Armenia I)"
1781,Armeniae primae,3,0.750,SIMILAR,1001927,Armenia II,Armenia II,province,"An ancient place, cited: BAtlas 102 G4 no. 41 (Armenia II)"
1781,Armeniae primae,4,0.741,SIMILAR,863747,Armenia Maior,Armenia Maior,province,"An ancient place, cited: BAtlas 88 B4 Armenia Maior"
1781,Armeniae primae,5,0.714,SIMILAR,622140,Garmias/Karima,Garmias/Karima,unlocated,"An ancient place, cited: BAtlas 63 unlocated Garmias/‘Karima’"
1782,Armeniae secundae,1,0.710,SIMILAR,876570,Armeniae Pylae,Armeniae Pylae,unlocated,"An ancient place, cited: BAtlas 89 unlocated Armeniae Pylae"
1799,Augustamnicae,1,0.818,SIMILAR,118581,Augustiana,Augustiana,fort,"An ancient place, cited: BAtlas 12 I4 Augustiana"
1799,Augustamnicae,2,0.786,SIMILAR,1001944,Augoustamnike I,Augoustamnike I,province,"An ancient place, cited: BAtlas 102 F5 no. 58 (Augoustamnike I)"
1799,Augustamnicae,3,0.762,SIMILAR,619115,Argustana,Argustana,station,"An ancient place, cited: BAtlas 63 E3 Argustana"
1799,Augustamnicae,4,0.762,SIMILAR,471887,Augustae,Augustae,settlement,"An ancient place, cited: BAtlas 48 B2 Augustae"
1799,Augustamnicae,5,0.762,SIMILAR,216719,Augustae,Augustae,fort,"An ancient place, cited: BAtlas 22 A5 Augustae"
53,Britanniae,1,1.000,NORMALIZED,20419,Britannia/Albion (island),Britannia,island,The island of Great Britain is located to the northwest of continental Europe and is the ninth largest island in the world.
53,Britanniae,2,1.000,NORMALIZED,981513,Britannia,Britannia,province,"An ancient place, cited: BAtlas 100 F1 Britannia"
53,Britanniae,3,1.000,NORMALIZED,992071,Britanniae,Britanniae,province,"An ancient place, cited: BAtlas 101 F1 Britanniae"
53,Britanniae,4,0.900,SIMILAR,991321,Britannia I,Britannia I,province,"An ancient place, cited: BAtlas 101 F1 Britannia I"
53,Britanniae,5,0.857,SIMILAR,991322,Britannia II?,Britannia II,province,"An ancient place, cited: BAtlas 101 F1 Britannia II?"
125,Britanniae primae,1,0.815,SIMILAR,991321,Britannia I,Britannia I,province,"An ancient place, cited: BAtlas 101 F1 Britannia I"
125,Britanniae primae,2,0.786,SIMILAR,991322,Britannia II?,Britannia II,province,"An ancient place, cited: BAtlas 101 F1 Britannia II?"
125,Britanniae primae,3,0.769,SIMILAR,992071,Britanniae,Britanniae,province,"An ancient place, cited: BAtlas 101 F1 Britanniae"
125,Britanniae primae,4,0.727,SIMILAR,20420,Britannicum Mare,Britannicum Mare,water-open,"Britannicum Mare (The English Channel) is an extension of the Atlantic Ocean that separates England from northern France, and also joins the North Sea to the Atlantic."
125,Britanniae primae,5,0.720,SIMILAR,20419,Britannia/Albion (island),Britannia,island,The island of Great Britain is located to the northwest of continental Europe and is the ninth largest island in the world.
126,Britanniae secundae,1,0.714,SIMILAR,992071,Britanniae,Britanniae,province,"An ancient place, cited: BAtlas 101 F1 Britanniae"
1777,Cappadociae primae,1,0.741,SIMILAR,628949,Cappadocia,Cappadocia,labeled feature,"An ancient place, cited: BAtlas 64 B2 Cappadocia"
1777,Cappadociae primae,2,0.741,SIMILAR,991402,Cappadocia,Cappadocia,province,"An ancient place, cited: BAtlas 101 P4 Cappadocia"
1778,Cappadociae secundae,1,0.722,SIMILAR,795794,Cataracta Secunda,Cataracta Secunda,rapid,The Second Cataract (or Great Cataract) was located in Nubia.
109,Carthagiensis,1,0.929,SIMILAR,991327,Carthaginiensis,Carthaginiensis,province,"An ancient place, cited: BAtlas 101 F4 Carthaginiensis"
109,Carthagiensis,2,0.762,SIMILAR,314921,Carthago,Carthage,villa | theatre | circus | cemetery | bath | church | settlement | amphitheatre | port,"The ancient city of Carthage, located in modern Tunis (Tunisia)."
109,Carthagiensis,3,0.727,SIMILAR,236357,Aurium/Aurenses/Auriensis,Auriensis,settlement,"An ancient place, cited: BAtlas 24 D2 Aurium/Aurenses/Auriensis"
109,Carthagiensis,4,0.720,SIMILAR,329241,Tagaraiensis/Tagariatana Plebs,Tagaraiensis,unlocated,"An ancient place, cited: BAtlas 33 unlocated Tagaraiensis/Tagariatana Plebs"
109,Carthagiensis,5,0.720,SIMILAR,334510,Caprarienses?,Caprarienses,unknown,"An ancient place, cited: BAtlas 34 B3 Caprarienses?"
1766,Ciliciae secundae,,,,,,,,
92,Dalmaticarum,1,0.941,SIMILAR,197240,Dalmatia,Dalmatia,region,"Dalmatia is an historical region of present-day Croatia, located to the east of the Adriatic Sea."
92,Dalmaticarum,2,0.941,SIMILAR,981522,Dalmatia,Dalmatia,province,"An ancient place, cited: BAtlas 100 K3 Dalmatia"
92,Dalmaticarum,3,0.842,SIMILAR,236642,Salmantica,Salmantica,settlement,"Salmantica (modern Salamanca) was an indigenous Celtic center before falling to the Carthaginians and, later, the Romans."
92,Dalmaticarum,4,0.824,SIMILAR,589751,Damatria,Damatria,unknown,"An ancient place, cited: BAtlas 60 G3 Damatria"
92,Dalmaticarum,5,0.824,SIMILAR,438824,Salmatia,Salmatia,unlocated,"An ancient place, cited: BAtlas 44 unlocated ‘Salmatia’"
1762,Eufratensis,1,0.857,SIMILAR,1001934,Euphratesia,Euphratesia,province,Euphratesia was as a Roman province of Greater Syria and a part of the late Roman Diocese of the East. Around AD 341 the province was created from the territory of Syria Coele.
1762,Eufratensis,2,0.842,SIMILAR,912849,Euphrates,Euphrates,river,"The longest river of Western Asia, the Euphrates flows from the Kara Su and the Murat Su to the confluence with the Tigris fl."
1762,Eufratensis,3,0.762,SIMILAR,295261,Feratenses,Feratenses,people,"An ancient place, cited: BAtlas 30 H3 Feratenses"
1762,Eufratensis,4,0.737,SIMILAR,554250,Karseai/Karseis/Kerasai/Kerateis,Kerateis,unlocated,"An ancient place, cited: BAtlas 56 unlocated Karseai/Karseis/Kerasai/Kerateis"
1762,Eufratensis,5,0.737,SIMILAR,540765,Erateini,Erateini,settlement,"An ancient place, cited: BAtlas 55 C4 Erateini"
1716,Eufratensis et Syriae,,,,,,,,
127,Flaviae Caesariensis,1,0.791,SIMILAR,285482,Mauretania Caesariensis,Mauretania Caesariensis,province,"Mauretania Caesariensis was the easternmost of the North African Roman provinces, with its capital located at Caesarea (now Cherchell)."
127,Flaviae Caesariensis,2,0.791,SIMILAR,981532,Mauretania Caesariensis,Mauretania Caesariensis,province,"An ancient place, cited: BAtlas 100 G4 Mauretania Caesariensis"
1761,Foenicis Libani,1,0.759,SIMILAR,456051,Clibanus M.,mons Clibanus,unlocated | mountain,"An ancient place, cited: BAtlas 46 unlocated Clibanus M."
1761,Foenicis Libani,2,0.700,SIMILAR,648635,Germanicopolis/Clibanus?,Germanicopolis/Clibanus?,settlement,"An ancient place, cited: BAtlas 66 B3 Germanicopolis/Clibanus?"
1770,Frygiae Pacatianae,1,0.882,SIMILAR,1001908,Phrygia Pakatiane,Phrygia Pakatiane,province,"An ancient place, cited: BAtlas 102 E4 no. 22 (Phrygia Pakatiane)"
1770,Frygiae Pacatianae,2,0.765,SIMILAR,462099,Aquae Segestanae,Aquae Pacatianae,bath,"An ancient place, cited: BAtlas 47 B3 Aquae Segestanae"
1771,Frygiae salutaris,1,0.882,SIMILAR,1001912,Phrygia Saloutaria,Phrygia Saloutaria,province,"An ancient place, cited: BAtlas 102 F4 no. 26 (Phrygia Saloutaria)"
1783,Galatiae salutaris,1,0.889,SIMILAR,1001921,Galatia Saloutaria,Galatia Saloutaria,province,"An ancient place, cited: BAtlas 102 F4 no. 35 (Galatia Saloutaria)"
1738,Hellesponti,1,1.000,NORMALIZED,501434,Hellespontus,Hellespontus,water-open,A narrow strait of northwestern Turkey that connect the Aegean Sea to Propontis (Sea of Marmara).
1738,Hellesponti,2,1.000,NORMALIZED,981526,Hellespontus,Hellespontus,province,"An ancient place, cited: BAtlas 100 M3 Hellespontus"
1738,Hellesponti,3,0.917,SIMILAR,1001907,Hellespontos,Hellespontos,province,"An ancient place, cited: BAtlas 102 E4 no. 21 (Hellespontos)"
1738,Hellesponti,4,0.778,SIMILAR,236479,Helleni,Helleni,unknown,"An ancient place, cited: BAtlas 24 C2 Helleni"
1738,Hellesponti,5,0.750,SIMILAR,1001924,Helenopontos,Helenopontos,province,"An ancient place, cited: BAtlas 102 G3 no. 38 (Helenopontos)"
1776,Honoriados,1,0.889,SIMILAR,1001918,Honorias,Honorias,province,"An ancient place, cited: BAtlas 102 F3 no. 32 (Honorias)"
1776,Honoriados,2,0.737,SIMILAR,648727,Orymagdos fl.,Orymagdos,river,"An ancient place, cited: BAtlas 66 B4 Orymagdos fl."
1776,Honoriados,3,0.737,SIMILAR,658556,Oeniandos/Epiphaneia,Oeniandos,settlement,"An ancient place, cited: BAtlas 67 C3 Oeniandos/Epiphaneia"
1776,Honoriados,4,0.737,SIMILAR,606341,Naryandos,Naryandos,unlocated,"An ancient place, cited: BAtlas 61 unlocated Naryandos"
1776,Honoriados,5,0.706,SIMILAR,906020,Onoadas,Onoadas,unlocated,"An ancient place, cited: BAtlas 92 unlocated Onoadas"
111,Insularum Balearum,,,,,,,,
1712,Libyarum,1,1.000,NORMALIZED,716588,Libya,Libya,region,"An ancient place, cited: None"
1712,Libyarum,2,1.000,NORMALIZED,246469,Libia,Libia,settlement,"An ancient place, cited: BAtlas 25 B3 Libia"
1712,Libyarum,3,0.909,SIMILAR,216869,(L)Ibida,Libida,fort,"An ancient place, cited: BAtlas 22 F4 (L)Ibida"
1712,Libyarum,4,0.909,SIMILAR,589911,Libeia? Ins.,Libeia,island,"An ancient place, cited: BAtlas 60 C5 Libeia? Ins."
1712,Libyarum,5,0.909,SIMILAR,236516,Libyca (river),Libyca,river,"An ancient place, cited: BAtlas 24 C1 Libyca fl."
61,Liguriae,1,1.000,NORMALIZED,383698,Liguria,Liguria,region,Liguria is a coastal region of northwest Italy.
61,Liguriae,2,0.833,SIMILAR,148116,Liria? (river),Liria,river,"An ancient place, cited: BAtlas 15 A3 Liria? fl."
61,Liguriae,3,0.800,SIMILAR,543769,Ligynae,Ligynae,unlocated,"An ancient place, cited: BAtlas 55 unlocated Ligynae"
61,Liguriae,4,0.800,SIMILAR,570445,Lykouria?,Lykouria,unknown,"An ancient place, cited: BAtlas 58 C2 Lykouria?"
61,Liguriae,5,0.800,SIMILAR,197353,Liburnia,Liburnia,region | people,The land of the Liburians on the northeast coast of the Adriatic Sea.
44,Limites Tripolitani,1,0.757,SIMILAR,289939,Limes Muticitanus,Limes Muticitanus,unlocated,"An ancient place, cited: BAtlas 29 unlocated Limes Muticitanus"
43,Limitis Mauretaniae Caesariensis,1,0.836,SIMILAR,285482,Mauretania Caesariensis,Mauretania Caesariensis,province,"Mauretania Caesariensis was the easternmost of the North African Roman provinces, with its capital located at Caesarea (now Cherchell)."
43,Limitis Mauretaniae Caesariensis,2,0.836,SIMILAR,981532,Mauretania Caesariensis,Mauretania Caesariensis,province,"An ancient place, cited: BAtlas 100 G4 Mauretania Caesariensis"
123,Lugdunensis Senonicae,1,0.788,SIMILAR,991332,Lugdunensis I,Lugdunensis I,province,"An ancient place, cited: BAtlas 101 G2 Lugdunensis I"
123,Lugdunensis Senonicae,2,0.765,SIMILAR,991324,Lugdunensis II,Lugdunensis II,province,"An ancient place, cited: BAtlas 101 F2 Lugdunensis II"
123,Lugdunensis Senonicae,3,0.710,SIMILAR,167817,Lugdunensis,Lugdunensis,unknown,"An ancient place, cited: BAtlas 17 C2 Lugdunensis"
123,Lugdunensis Senonicae,4,0.710,SIMILAR,981528,Lugdunensis,Lugdunensis,province,"An ancient place, cited: BAtlas 100 F2 Lugdunensis"
122,Lugdunensis tertiae,1,0.839,SIMILAR,991332,Lugdunensis I,Lugdunensis I,province,"An ancient place, cited: BAtlas 101 G2 Lugdunensis I"
