nodeId,parentId,level,kind,line,text
S00001,,0,document,,Occidentis
S00002,S00001,1,chapter,3,I
S00003,S00002,2,title,3,Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis
S00004,S00002,2,entry,5,Praefectus praetorio Italiae.
S00005,S00002,2,entry,6,Praefectus praetorio Galliarum.
S00006,S00002,2,entry,7,Praefectus urbis Romae.
S00007,S00002,2,entry,8,Magister peditum in praesenti.
S00008,S00002,2,entry,9,Magister equitum in praesenti.
S00009,S00002,2,entry,10,Magister equitum per Gallias.
S00010,S00002,2,entry,11,Praepositus sacri cubiculi.
S00011,S00002,2,entry,12,Magister officiorum.
S00012,S00002,2,entry,13,Quaestor.
S00013,S00002,2,entry,14,Comes sacrarum largitionum.
S00014,S00002,2,entry,15,Comes rerum privatum.
S00015,S00002,2,entry,16,Comes domesticorum equitum.
S00016,S00002,2,entry,17,Comes domesticorum peditum.
S00017,S00002,2,entry,18,Primicerius sacri cubiculi.
S00018,S00002,2,entry,19,Primicerius notariorum.
S00019,S00002,2,entry,20,Castrensis sacri palatii.
S00020,S00002,2,heading,21,Magistri scriniorum:
S00021,S00020,3,entry,22,Memoriae.
S00022,S00020,3,entry,23,Epistolarum.
S00023,S00020,3,entry,24,Libellorum.
S00024,S00020,3,entry,25,Proconsul Africae.
S00025,S00002,2,heading,26,Vicarii sex:
S00026,S00025,3,entry,27,Urbis Romae.
S00027,S00002,2,heading,28,Italiae.
S00028,S00002,2,heading,29,Africae.
S00029,S00002,2,heading,30,Hispaniarum.
S00030,S00002,2,heading,31,Septem provinciarum.
S00031,S00002,2,heading,32,Britanniarum.
S00032,S00002,2,heading,33,Comites rei militaris sex:
S00033,S00002,2,heading,34,Italiae.
S00034,S00002,2,heading,35,Africae.
S00035,S00034,3,entry,36,Tingitaniae.
S00036,S00034,3,entry,37,Tractus Argentoratensis.
S00037,S00002,2,heading,38,Britanniarum.
S00038,S00037,3,entry,39,Litoris Saxonici per Britannias.
S00039,S00002,2,heading,40,Duces duodecim:
S00040,S00039,3,entry,41,Limitis Mauretaniae Caesariensis.
S00041,S00039,3,entry,42,Limites Tripolitani.
S00042,S00039,3,entry,43,Pannoniae primae et Norici ripensis.
S00043,S00039,3,entry,44,Pannoniae secundae.
S00044,S00039,3,entry,45,Valeriae ripensis.
S00045,S00039,3,entry,46,Raetiae primae et secundae.
S00046,S00039,3,entry,47,Sequanicae.
S00047,S00039,3,entry,48,Tractus Armoricani et Neruicani.
S00048,S00039,3,entry,49,Belgicae secundae.
S00049,S00039,3,entry,50,Germaniae primae.
S00050,S00039,3,entry,51,Britanniae.
S00051,S00039,3,entry,52,Mogontiacensis.
S00052,S00002,2,heading,53,Consulares viginti duo:
S00053,S00002,2,block,54,Per Pannoniam unus:
S00054,S00053,3,entry,55,Pannoniae.
S00055,S00002,2,block,56,Per Italias octo:
S00056,S00055,3,entry,57,Venetiae et Histriae.
S00057,S00055,3,entry,58,Aemiliae.
S00058,S00055,3,entry,59,Liguriae.
S00059,S00055,3,entry,60,Flaminiae et Piceni annonarii.
S00060,S00055,3,entry,61,Tusciae et Umbriae.
S00061,S00055,3,entry,62,Piceni suburbicarii.
S00062,S00055,3,entry,63,Campaniae
S00063,S00055,3,entry,64,Siciliae.
S00064,S00002,2,block,65,Per Africam duo:
S00065,S00064,3,entry,66,Byzacii.
S00066,S00064,3,entry,67,Numidiae.
S00067,S00002,2,block,68,Per Hispanias tres:
S00068,S00067,3,entry,69,Baeticae.
S00069,S00067,3,entry,70,Lusitaniae.
S00070,S00067,3,entry,71,Callaeciae.
S00071,S00002,2,block,72,Per Gallias sex:
S00072,S00071,3,entry,73,Viennensis.
S00073,S00071,3,entry,74,Lugdunensis primae.
S00074,S00071,3,entry,75,Germaniae primae.
S00075,S00071,3,entry,76,Germaniae secundae.
S00076,S00071,3,entry,77,Belgicae primae.
S00077,S00071,3,entry,78,Belgicae secundae.
S00078,S00002,2,block,79,Per Britannias duo:
S00079,S00078,3,entry,80,Maximae Caesariensis.
S00080,S00078,3,entry,81,Valentiae.
S00081,S00002,2,heading,82,Correctores tres:
S00082,S00002,2,block,83,Per Italiam duo:
S00083,S00082,3,entry,84,Apuliae et Calabriae.
S00084,S00082,3,entry,85,Lucaniae et Brittiorum.
S00085,S00002,2,block,86,Per Pannoniam unum:
S00086,S00085,3,entry,87,Saviae.
S00087,S00002,2,heading,88,Praesides triginta unum:
S00088,S00002,2,block,89,Per Illyricum quattuor:
S00089,S00088,3,entry,90,Dalmaticarum.
S00090,S00088,3,entry,91,Pannoniae primae.
S00091,S00088,3,entry,92,Norici mediterranei.
S00092,S00088,3,entry,93,Norici ripensis
S00093,S00002,2,block,94,Per Italias septem:
S00094,S00093,3,entry,95,Alpium Cottiarum.
S00095,S00093,3,entry,96,Raetiae primae
S00096,S00093,3,entry,97,Raetiae secundae.
S00097,S00093,3,entry,98,Samnii.
S00098,S00093,3,entry,99,Valeriae.
S00099,S00093,3,entry,100,Saradiniae.
S00100,S00093,3,entry,101,Corsicae.
S00101,S00002,2,block,102,Per Africam duo:
S00102,S00101,3,entry,103,Mauretaniae Sitifensis.
S00103,S00101,3,entry,104,Tripolitanae.
S00104,S00002,2,block,105,Per Hispanias Quattuor:
S00105,S00104,3,entry,106,Tarraconensis.
S00106,S00104,3,entry,107,Carthagiensis.
S00107,S00104,3,entry,108,Tingitaniae.
S00108,S00104,3,entry,109,Insularum Balearum.
S00109,S00002,2,block,110,Per Gallias undecim:
S00110,S00109,3,entry,111,Alpum maritimarum.
S00111,S00109,3,entry,112,Alpium Poeninarum et Graiarum.
S00112,S00109,3,entry,113,Maximae Sequanorum.
S00113,S00109,3,entry,114,Aquitanicae primae
S00114,S00109,3,entry,115,Aquitanicae secundae.
S00115,S00109,3,entry,116,Novempopulanae.
S00116,S00109,3,entry,117,Narbonensis primae.
S00117,S00109,3,entry,118,Narbonensis secundae.
S00118,S00109,3,entry,119,Lugdunensis secundae.
S00119,S00109,3,entry,120,Lugdunensis tertiae.
S00120,S00109,3,entry,121,Lugdunensis Senonicae.
S00121,S00002,2,block,122,Per Britannias tres:
S00122,S00121,3,entry,123,Britanniae primae.
S00123,S00121,3,entry,124,Britanniae secundae.
S00124,S00121,3,entry,125,Flaviae Caesariensis.
S00125,S00001,1,chapter,127,II
S00126,S00125,2,title,127,Insignia viri illustris praefecti praetorio per Italias
S00127,S00125,2,block,129,Sub dispositione viri illustris praefecti praetorio Italiae dioceses infrascriptae:
S00128,S00127,3,entry,130,Italia.
