placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000046,,OCC000046,Tamuco,275732,Tamucus,35.559201,-5.411197,unknown,Occidentis,Comes Tingitaniae,Praefectus,alae Herculeae,1110,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,MAURETANIA TINGITANA,,,,
OCC000053,,OCC000053,Friglas,275629,Friglas,34.96001,-6.150002,unknown,Occidentis,Comes Tingitaniae,Tribunus,cohortis Friglensis,1117,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,MAURETANIA TINGITANA,,,,
OCC000056,,OCC000056,Othonae,79631,Othona,51.724124,0.900334,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,numeri Fortensium,1137,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BRITANNIAE I AND II,,,,
OCC000059,,OCC000059,Branoduno,79346,Branodunum,52.962911,0.636879,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,equitum Dalmatarum Branodunensium,1140,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BRITANNIAE I AND II,,,,
OCC000061,,OCC000061,Regulbio,79654,Regulbium,51.379537,1.199796,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Tribunus,cohortis primae Baetasiorum,1142,EXACT_NO_CONTEXT,confirmed,NO_POLYGON,,,,,
OCC000063,,OCC000063,Anderidos,79293,Anderidos,50.819309,0.334063,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,numeri Abulcorum,1144,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BRITANNIAE I AND II,,,,
OCC000064,,OCC000064,Portum Adurni,79645,Portus Adurni,50.838011,-1.114417,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,numeri exploratorum,1145,FUZZY_NO_CONTEXT,confirmed,NO_POLYGON,,,,,
OCC000067,,OCC000067,Cornacii,197227,Cornacum,45.295094,19.09733,unknown,Occidentis,Dux Pannoniae,,Cuneus equitum scutariorum,1223,,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000069,,OCC000069,Burgenas,207001,Burgenae,44.949991,20.283336,unknown,Occidentis,Dux Pannoniae,,Cuneus equitum Constantianorum,1225,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000071,,OCC000071,Aciminci,206874,Acumincum,45.13739,20.260639,unknown,Occidentis,Dux Pannoniae,,Cuneus equitum constantium,1227,,confirmed,SOFT_NEAR_MATCH,,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
