gazetteerId,placeName,sourcePlaceName,pleiadesId,pleiadesName,latitude,longitude,featureType,description,uri,confidence
GAZ00001,Abina,Abina,915818,Abina,,,unknown,"An ancient place, cited: BAtlas 93 unlocated Abin(n)a",http://pleiades.stoa.org/places/915818,confirmed
GAZ00002,Abusina,Abusina,118539,Abusina,48.850022,11.77073,unknown,"Abusina was the site of a Roman auxiliary fort along the Danube, some 30 km SW of Regensburg.",http://pleiades.stoa.org/places/118539,confirmed
GAZ00003,Acadama,Acadama,668177,Acadama,35.083196,38.423851,unknown,"An ancient place, cited: BAtlas 68 F3 Acadama",http://pleiades.stoa.org/places/668177,confirmed
GAZ00004,Adatha,Adatha,658366,Adatha,37.702358,37.409481,unknown,"An ancient place, cited: BAtlas 67 E1 Adatha",http://pleiades.stoa.org/places/658366,confirmed
GAZ00005,Aeliae,Aeliae,324657,Aeliae,35.4232,10.437678,unknown,"An ancient place, cited: BAtlas 33 F2 Aeliae?",http://pleiades.stoa.org/places/324657,confirmed
GAZ00006,Aesica,Aesica,89095,Aesica,54.994861,-2.464486,unknown,"(A)Esica, also known as Great Chesters, was a fort on the line of Hadrian's Wall.",http://pleiades.stoa.org/places/89095,confirmed
GAZ00007,Afro,Afro,699887,Afro,,,unknown,"An ancient place, cited: BAtlas 71 unlocated Afro",http://pleiades.stoa.org/places/699887,confirmed
GAZ00008,Ailae,Ailae,746700,Aila,29.796591,34.94276,unknown,The city of Aqaba on the Red Sea.,http://pleiades.stoa.org/places/746700,confirmed
GAZ00009,Ala Nova,Ala Nova,128354,Ala Nova,48.141031,16.477115,unknown,"An ancient place, cited: BAtlas 13 B4 Ala Nova",http://pleiades.stoa.org/places/128354,confirmed
GAZ00010,Albano,Albano,197099,Albanum,45.663601,18.773792,unknown,"An ancient place, cited: BAtlas 20 F4 Albanum",http://pleiades.stoa.org/places/197099,confirmed
GAZ00011,Aleto,Aleto,69556,Aletum,48.635814,-2.027308,unknown,"An ancient place, cited: BAtlas 7 D3 Reginca/Aletum",http://pleiades.stoa.org/places/69556,confirmed
GAZ00012,Alione,Alione,89097,Alione,54.720887,-3.49391,unknown,"A Roman fort at present-day Maryport, cited: BAtlas 9 D6 Alauna/Alione. Part of Cumbrian coastal defenses.",http://pleiades.stoa.org/places/89097,confirmed
GAZ00013,Aliscae,Aliscae,197103,Alisca,46.312562,18.757918,unknown,"An ancient place, cited: BAtlas 20 F3 Alisca",http://pleiades.stoa.org/places/197103,confirmed
GAZ00014,Amidae,Amidae,874298,Amida,37.911777,40.224033,unknown,"An ancient place, cited: BAtlas 89 C3 Ad Tygrem/Amida",http://pleiades.stoa.org/places/874298,confirmed
GAZ00015,Ammattha,Ammattha,668183,Ammattha,35.684651,37.65125,unknown,"An ancient place, cited: BAtlas 68 E2 Ammattha",http://pleiades.stoa.org/places/668183,confirmed
GAZ00016,Analiba,Analiba,628922,Analiba,39.528217,38.582014,unknown,"An ancient place, cited: BAtlas 64 H1 Analib(l)a",http://pleiades.stoa.org/places/628922,confirmed
GAZ00017,Anatha,Anatha,668196,Anatha,34.671287,38.582516,unknown,"An ancient place, cited: BAtlas 68 G4 Aracha/Anatha/‘Harae’",http://pleiades.stoa.org/places/668196,confirmed
GAZ00018,Anderidos,Anderidos,79293,Anderidos,50.819309,0.334063,unknown,"An ancient place, cited: BAtlas 8 H4 Anderidos",http://pleiades.stoa.org/places/79293,confirmed
GAZ00019,Apatna,Apatna,894133,Apatna,35.379381,40.564031,unknown,"An ancient place, cited: BAtlas 91 B2 Tell Fidain/Appadana?/Neapolis?",http://pleiades.stoa.org/places/894133,confirmed
GAZ00020,Apollonos superioris,Apollonos superioris,785976,Apollonos,24.498288,34.748068,unknown,"An ancient place, cited: BAtlas 80 F4 Apollonos",http://pleiades.stoa.org/places/785976,confirmed
GAZ00021,Appiaria,Appiaria,216707,Appiaria,43.987675,26.245621,unknown,"An ancient place, cited: BAtlas 22 D5 Appiaria",http://pleiades.stoa.org/places/216707,confirmed
GAZ00022,Apuliae,Apuliae,442469,Apulia,,,unknown,Apulia is a region of the south-eastern Italian peninsula.,http://pleiades.stoa.org/places/442469,confirmed
GAZ00023,Arbeia,Arbeia,89104,Arbeia,55.00434,-1.430879,unknown,A Roman fort at present-day South Shields. Cited as: BAtlas 9 F6 Arbeia,http://pleiades.stoa.org/places/89104,confirmed
GAZ00024,Arieldela,Arieldela,746715,Arieldela,30.08098,35.236212,unknown,"A Roman site in modern Jordan, known today as ‘Ayn Gharandal. It includes remains of a late Roman fort and bathhouse.",http://pleiades.stoa.org/places/746715,confirmed
GAZ00025,Arlape,Arlape,118571,Arlape,48.211913,15.208959,unknown,"An ancient place, cited: BAtlas 12 I4 Ar(e)lape",http://pleiades.stoa.org/places/118571,confirmed
GAZ00026,Arrabonae,Arrabonae,197141,Arrabona,,,unknown,"An ancient place, cited: BAtlas 20 E2 Arrabona",http://pleiades.stoa.org/places/197141,confirmed
GAZ00027,Arubio,Arubio,216712,Arubium,45.253041,28.137099,unknown,"An ancient place, cited: BAtlas 22 F3 Arubium",http://pleiades.stoa.org/places/216712,confirmed
