canonicalProvinceId,notitiaName,normalizedName,gisName,matchType
CP00001,Pannoniae,PANNONIA,,unmatched
CP00002,Venetiae et Histriae,VENETIA ET HISTRIA,"VENETIA ET
HISTRIA",automatic
CP00003,Aemiliae,AEMILIA,,unmatched
CP00004,Liguriae,LIGURIA,,unmatched
CP00005,Flaminiae et Piceni annonarii,FLAMINIA ET PICENUS ANNONARIUS,,unmatched
CP00006,Tusciae et Umbriae,TUSCIA ET UMBRIA,TUSCIA ET UMBRIA,automatic
CP00007,Piceni suburbicarii,PICENUS SUBURBICARIUS,,unmatched
CP00008,Campaniae,CAMPANIA,CAMPANIA,automatic
CP00009,Siciliae,SICILIA,SICILIA,automatic
CP00010,Byzacii,BYZACENA,BYZACENA,automatic
CP00011,Numidiae,NUMIDIA,,unmatched
CP00012,Baeticae,BAETICA,BAETICA,automatic
CP00013,Lusitaniae,LUSITANIA,LUSITANIA,automatic
CP00014,Callaeciae,GALLAECIA,GALLAECIA,automatic
CP00015,Viennensis,VIENNENSIS,VIENNENSIS,automatic
CP00016,Lugdunensis primae,LUGDUNENSIS PRIMA,,unmatched
CP00017,Germaniae primae,GERMANIA PRIMA,,unmatched
CP00018,Germaniae secundae,GERMANIA SECUNDA,,unmatched
CP00019,Belgicae primae,BELGICA PRIMA,,unmatched
CP00020,Belgicae secundae,BELGICA SECUNDA,,unmatched
CP00021,Maximae Caesariensis,MAXIMA CAESARIENSIS,,unmatched
CP00022,Valentiae,VALENTIA,,unmatched
CP00023,Apuliae et Calabriae,APULIA ET CALABRIA,APULIA ET CALABRIA,automatic
CP00024,Lucaniae et Brittiorum,LUCANIA ET BRUTTIUM,,unmatched
CP00025,Saviae,SAVIA,SAVIA,automatic
CP00026,Tusciae et umbriae,TUSCIA ET UMBRIA,TUSCIA ET UMBRIA,automatic
CP00027,Bruttiorum et Lucaniae,LUCANIA ET BRUTTIUM,,unmatched
CP00028,Samnii,SAMNIUS,,unmatched
CP00029,Saradiniae,SARADINIA,,unmatched
CP00030,Corsicae,CORSICA,CORSICA,automatic
CP00031,Valeriae,VALERIA,VALERIA,automatic
CP00032,Lugdunensis,LUGDUNENSIS,,unmatched
CP00033,Germanae secundae,GERMANA SECUNDA,,unmatched
CP00034,Alpium maritimarum,ALPIUM MARITIMARUM,,unmatched
CP00035,Alpium Poeninarum et Graiarum,ALPES POENINAE ET GRAIAE,,unmatched
CP00036,Maximae Sequanorum,MAXIMA SEQUANORUM,,unmatched
CP00037,Aquitanicae primae,AQUITANICA PRIMA,,unmatched
CP00038,Aquitanicae secundae,AQUITANICA SECUNDA,,unmatched
CP00039,Novempopulanae,NOVEMPOPULANA,,unmatched
CP00040,Narbonensis primae,NARBONENSIS PRIMA,,unmatched
CP00041,Narbonensis secundae,NARBONENSIS SECUNDA,,unmatched
CP00042,Lugdunensis secundae,LUGDUNENSIS SECUNDA,,unmatched
CP00043,Lugdunensis tertiae,LUGDUNENSIS TERTIA,,unmatched
CP00044,Lugdunensis Senoniae,LUGDUNENSIS SENONIA,,unmatched
CP00045,Britanniae primae,BRITANNIA PRIMA,,unmatched
CP00046,Britanniae secundae,BRITANNIA SECUNDA,,unmatched
CP00047,Flaviae Caesariensis,FLAVIA CAESARIENSIS,,unmatched
CP00048,Asiae,ASIA,ASIA,automatic
CP00049,Achaiae,ACHAIA,ACHAIA,automatic
CP00050,Palaestinae,PALAESTINA,PALAESTINA,automatic
CP00051,Foenicis,FOENICIS,,unmatched
CP00052,Syriae,SYRIA,,unmatched
CP00053,Ciliciae,CILICIA,CILICIA,automatic
CP00054,Cypri,CYPRUS,CYPRUS,automatic
CP00055,Pamfyliae,PAMFYLIA,,unmatched
CP00056,Hellesponti,HELLESPONTUS,HELLESPONTUS,automatic
CP00057,Lydiae,LYDIA,LYDIA,automatic
CP00058,Galatiae,GALATIA,GALATIA,automatic
CP00059,Bithyniae,BITHYNIA,BITHYNIA,automatic
CP00060,Europae,EUROPA,EUROPA,automatic
CP00061,Thraciae,THRACIA,THRACIA,automatic
CP00062,Cretae,CRETA,CRETA,automatic
CP00063,Macedoniae,MACEDONIA,MACEDONIA,automatic
CP00064,Daciae mediterraneae,DACIA MEDITERRANEA,DACIA MEDITERRANEA,automatic
CP00065,Libyae superioris,LIBYA SUPERIORIS,,unmatched
CP00066,Libyae inferioris,LIBYA INFERIORIS,,unmatched
CP00067,Thebaidos,THEBAIDOS,,unmatched
CP00068,Aegypti,AEGYPTUS,,unmatched
CP00069,Arcadiae,ARCADIA,,unmatched
