mentionId;document;line;literalForm;source;pointEligible;issue;nodeType;officeType;office;unit;chapter;groupPath;sourceText
PM000001;Occidentis;41;Mauretaniae Caesariensis;limes;1;;unknown;;;Limitis Mauretaniae Caesariensis;Notitia dignitatum omnium tam civilium quam militarium in partibus Occidentis;Duces duodecim;Limitis Mauretaniae Caesariensis.
PM000002;Occidentis;716;Sirmensis;factory;1;;unknown;;;Sirmensis scutorum, scordiscorum et armorum.;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Illyrico;Sirmensis scutorum, scordiscorum et armorum.
PM000003;Occidentis;717;Acincensis;factory;1;;unknown;;;Acincensis scutaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Illyrico;Acincensis scutaria.
PM000004;Occidentis;718;Cornutensis;factory;1;;unknown;;;Cornutensis scutaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Illyrico;Cornutensis scutaria.
PM000005;Occidentis;719;Lauriacensis;factory;1;;unknown;;;Lauriacensis scutaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Illyrico;Lauriacensis scutaria.
PM000006;Occidentis;720;Salonitana;factory;1;;unknown;;;Salonitana armorum;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Illyrico;Salonitana armorum.
PM000007;Occidentis;722;Concordensis;factory;1;;unknown;;;Concordensis sagittaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / Italiae;Concordensis sagittaria.
PM000008;Occidentis;723;Veronensis;factory;1;;unknown;;;Veronensis scutaria et armorum;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / Italiae;Veronensis scutaria et armorum.
PM000009;Occidentis;724;Manutuana;factory;1;;unknown;;;Manutuana loricaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / Italiae;Manutuana loricaria.
PM000010;Occidentis;725;Cremonensis;factory;1;;unknown;;;Cremonensis scutaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / Italiae;Cremonensis scutaria.
PM000011;Occidentis;726;Ticenensis;factory;1;;unknown;;;Ticenensis arcuaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / Italiae;Ticenensis arcuaria.
PM000012;Occidentis;727;Lucensis;factory;1;;unknown;;;Lucensis spatharia;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / Italiae;Lucensis spatharia.
PM000013;Occidentis;729;Argentomagensis;factory;1;;unknown;;;Argentomagensis armorum omnium;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Galliis;Argentomagensis armorum omnium.
PM000014;Occidentis;730;Matisconensis;factory;1;;unknown;;;Matisconensis sagittaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Galliis;Matisconensis sagittaria.
PM000015;Occidentis;731;Augustodunensis;factory;1;;unknown;;;Augustodunensis loricaria, balistaria et clibanaria.;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Galliis;Augustodunensis loricaria, balistaria et clibanaria.
PM000016;Occidentis;732;Augustodunensis;factory;1;;unknown;;;Augustodunensis scutaria;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Galliis;Augustodunensis scutaria.
PM000017;Occidentis;733;Suessionensis;factory;1;;unknown;;;Suessionensis.......;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Galliis;Suessionensis........
PM000018;Occidentis;734;Remensis;factory;1;;unknown;;;Remensis spatharia;Insignia viri illustris magistri officiorum;Fabricae infrascriptae / In Galliis;Remensis spatharia.
